"","found_taxa","worms_name","verbatim_name","gbif_name","ncbi_name","ncbi_commonname","gbif_usagekey","ncbi_uid","gbif_status","worms_aphiaid","worms_status","freshwater_only","kingdom","phylum","class","order","family","genus","compare_name","in_region"
"344","Cephalopholis microprion","Cephalopholis microprion","Cephalopholis microprion","Cephalopholis microprion","Cephalopholis microprion","freckled hind",2388881,603996,"accepted",279150,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Cephalopholis","Cephalopholis microprion","no"
"345","Eleutheronema rhadinum","Eleutheronema rhadinum","Eleutheronema rhadinum","Eleutheronema rhadinum","Eleutheronema rhadinum","East Asian fourfinger threadfin",2393383,1367094,"accepted",280638,"accepted",0,"Animalia","Chordata","Teleostei","Carangaria incertae sedis","Polynemidae","Eleutheronema","Eleutheronema rhadinum","no"
"346","Pseudobalistes naufragium","Pseudobalistes naufragium","Pseudobalistes naufragium","Pseudobalistes naufragium","Pseudobalistes naufragium","stone triggerfish",2407179,882191,"accepted",279161,"accepted",0,"Animalia","Chordata","Teleostei","Tetraodontiformes","Balistidae","Pseudobalistes","Pseudobalistes naufragium","yes"
"347","Osphronemus goramy","Osphronemus goramy","Osphronemus goramy","Osphronemus goramy","Osphronemus goramy","giant gourami",2394154,270604,"accepted",281942,"accepted",0,"Animalia","Chordata","Teleostei","Anabantiformes","Osphronemidae","Osphronemus","Osphronemus goramy","no"
"348","Scophthalmus aquosus","Scophthalmus aquosus","Scophthalmus aquosus","Scophthalmus aquosus","Scophthalmus aquosus","windowpane",2409401,183654,"accepted",158907,"accepted",0,"Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus","no"
"349","Mastacembelus micropectus","Mastacembelus micropectus","Mastacembelus micropectus","Mastacembelus micropectus","Mastacembelus micropectus",NA,2351823,762266,"accepted",1013667,"accepted",1,"Animalia","Chordata","Teleostei","Synbranchiformes","Mastacembelidae","Mastacembelus","Mastacembelus micropectus","no"
"350","Mastacembelus ellipsifer","Mastacembelus ellipsifer","Mastacembelus ellipsifer","Mastacembelus ellipsifer","Mastacembelus ellipsifer",NA,2351884,762264,"accepted",1019002,"accepted",1,"Animalia","Chordata","Teleostei","Synbranchiformes","Mastacembelidae","Mastacembelus","Mastacembelus ellipsifer","no"
"351","Mene maculata","Mene maculata","Mene maculata","Mene maculata","Mene maculata",NA,2391421,206145,"accepted",218450,"accepted",0,"Animalia","Chordata","Teleostei","Carangaria incertae sedis","Menidae","Mene","Mene maculata","no"
"352","Cephalopholis formosa","Cephalopholis formosa","Cephalopholis formosa","Cephalopholis formosa","Cephalopholis formosa","bluelined hind",2388839,306585,"accepted",218190,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Cephalopholis","Cephalopholis formosa","no"
"353","Plectranthias sheni","Plectranthias sheni","Plectranthias sheni","Plectranthias sheni","Plectranthias sheni","Shen's perchlet",2388040,2057047,"accepted",279026,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Plectranthias","Plectranthias sheni","no"
"354","Balistes capriscus","Balistes capriscus","Balistes capriscus","Balistes capriscus","Balistes capriscus","grey triggerfish",2407107,303685,"accepted",154721,"accepted",0,"Animalia","Chordata","Teleostei","Tetraodontiformes","Balistidae","Balistes","Balistes capriscus","no"
"355","Etheostoma proeliare","Etheostoma proeliare","Etheostoma proeliare","Etheostoma proeliare","Etheostoma proeliare","cypress darter",2382292,255464,"accepted",1466593,"accepted",1,"Animalia","Chordata","Teleostei","Perciformes","Percidae","Etheostoma","Etheostoma proeliare","no"
"356","Pseudorhombus arsius","Pseudorhombus arsius","Pseudorhombus arsius","Pseudorhombus arsius","Pseudorhombus arsius","largetooth flounder",2408813,253863,"accepted",220051,"accepted",0,"Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Pseudorhombus","Pseudorhombus arsius","no"
"357","Pseudorhombus cinnamoneus","Pseudorhombus cinnamoneus","Pseudorhombus cinnamoneus","Pseudorhombus cinnamoneus","Pseudorhombus cinnamoneus","cinnamon flounder",2408827,171416,"accepted",277075,"accepted",0,"Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Pseudorhombus","Pseudorhombus cinnamoneus","no"
"358","Chelidonichthys spinosus","Chelidonichthys spinosus","Chelidonichthys spinosus","Chelidonichthys spinosus","Chelidonichthys spinosus","red gurnard",2336783,450224,"accepted",274878,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys","Chelidonichthys spinosus","no"
"359","Anabas testudineus","Anabas testudineus","Anabas testudineus","Anabas testudineus","Anabas testudineus","climbing perch",2391579,64144,"accepted",279597,"accepted",0,"Animalia","Chordata","Teleostei","Anabantiformes","Anabantidae","Anabas","Anabas testudineus","no"
"360","Mastacembelus tanganicae","Mastacembelus tanganicae","Mastacembelus tanganicae","Mastacembelus tanganicae","Mastacembelus tanganicae",NA,2351833,762271,"accepted",1019359,"accepted",1,"Animalia","Chordata","Teleostei","Synbranchiformes","Mastacembelidae","Mastacembelus","Mastacembelus tanganicae","no"
"361","Gempylus serpens","Gempylus serpens","Gempylus serpens","Gempylus serpens","Gempylus serpens","snake mackerel",2397775,13543,"accepted",126862,"accepted",0,"Animalia","Chordata","Teleostei","Scombriformes","Gempylidae","Gempylus","Gempylus serpens","yes"
"362","Etropus microstomus","Etropus microstomus","Etropus microstomus","Etropus microstomus","Etropus microstomus",NA,2408956,195611,"accepted",158801,"accepted",0,"Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Etropus","Etropus microstomus","no"
"363","Sillago ingenuua","Sillago ingenuua","Sillago ingenuua","Sillago ingenuua","Sillago ingenuua","bay sillago",2391955,443724,"accepted",273942,"accepted",0,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sillaginidae","Sillago","Sillago ingenuua","no"
"364","Altrichthys azurelineatus","Altrichthys azurelineatus","Altrichthys azurelineatus","Altrichthys azurelineatus","Altrichthys azurelineatus","azure damsel",2398179,980614,"accepted",279570,"accepted",0,"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Altrichthys","Altrichthys azurelineatus","no"
"365","Etheostoma fonticola","Etheostoma fonticola","Etheostoma fonticola","Etheostoma fonticola","Etheostoma fonticola","fountain darter",2382361,641303,"accepted",1019817,"accepted",1,"Animalia","Chordata","Teleostei","Perciformes","Percidae","Etheostoma","Etheostoma fonticola","no"
"366","Eutrigla gurnardus","Eutrigla gurnardus","Eutrigla gurnardus","Eutrigla gurnardus","Eutrigla gurnardus","grey gurnard",2336597,426098,"accepted",150637,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Eutrigla","Eutrigla gurnardus","no"
"367","Stereolepis doederleini","Stereolepis doederleini","Stereolepis doederleini","Stereolepis doederleini","Stereolepis doederleini",NA,5211260,223804,"accepted",282883,"accepted",0,"Animalia","Chordata","Teleostei","Acropomatiformes","Polyprionidae","Stereolepis","Stereolepis doederleini","no"
"368","Ambloplites rupestris","Ambloplites rupestris","Ambloplites rupestris","Ambloplites rupestris","Ambloplites rupestris",NA,2394514,109273,"accepted",151293,"accepted",1,"Animalia","Chordata","Teleostei","Centrarchiformes","Centrarchidae","Ambloplites","Ambloplites rupestris","no"
"369","Chelidonichthys kumu","Chelidonichthys kumu","Chelidonichthys kumu","Chelidonichthys kumu","Chelidonichthys kumu","bluefin gurnard",2336668,334942,"accepted",218122,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys","Chelidonichthys kumu","no"
"370","Satyrichthys welchi","Satyrichthys welchi","Satyrichthys welchi","Satyrichthys welchi","Satyrichthys welchi","robust armoured-gurnard",2335030,1306635,"accepted",276950,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Peristediidae","Satyrichthys","Satyrichthys welchi","no"
"371","Trichogaster fasciata","Trichogaster fasciata","Trichogaster fasciata","Trichogaster fasciata","Trichogaster fasciata","banded gourami",5788257,313441,"accepted",315877,"accepted",1,"Animalia","Chordata","Teleostei","Anabantiformes","Osphronemidae","Trichogaster","Trichogaster fasciata","no"
"372","Chelidonichthys lucerna","Chelidonichthys lucerna","Chelidonichthys lucerna","Chelidonichthys lucerna","Chelidonichthys lucerna","tub gurnard",2336774,2576622,"accepted",127262,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys","Chelidonichthys lucerna","no"
"373","Chelidonichthys cuculus","Chelidonichthys cuculus","Chelidonichthys cuculus","Chelidonichthys cuculus","Chelidonichthys cuculus","red gurnard",2336745,426094,"accepted",127259,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys","Chelidonichthys cuculus","no"
"374","Chelidonichthys lastoviza","Chelidonichthys lastoviza","Trigloporus lastoviza",NA,NA,NA,NA,NA,NA,127261,"Superseded combination",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Trigloporus","Chelidonichthys lastoviza","no"
"375","Mastacembelus zebratus","Mastacembelus zebratus","Mastacembelus zebratus","Mastacembelus zebratus","Mastacembelus zebratus",NA,2351862,762272,"accepted",1383580,"accepted",1,"Animalia","Chordata","Teleostei","Synbranchiformes","Mastacembelidae","Mastacembelus","Mastacembelus zebratus","no"
"376","Mastacembelus apectoralis","Mastacembelus apectoralis","Mastacembelus apectoralis","Mastacembelus apectoralis","Mastacembelus apectoralis",NA,5961588,1853049,"accepted",1007878,"accepted",1,"Animalia","Chordata","Teleostei","Synbranchiformes","Mastacembelidae","Mastacembelus","Mastacembelus apectoralis","no"
"377","Cephalopholis urodeta","Cephalopholis urodeta","Cephalopholis urodeta","Cephalopholis urodeta","Cephalopholis urodeta","darkfin hind",2388937,160709,"accepted",218181,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Cephalopholis","Cephalopholis urodeta","yes"
"378","Poropanchax normani","Poropanchax normani","Poropanchax normani","Poropanchax normani","Poropanchax normani","Norman's lampeye",2349901,691897,"accepted",1015668,"accepted",1,"Animalia","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae","Poropanchax","Poropanchax normani","no"
"379","Crystallaria asprella","Crystallaria asprella","Crystallaria asprella","Crystallaria asprella","Crystallaria asprella","crystal darter",2382195,54325,"accepted",1042350,"accepted",1,"Animalia","Chordata","Teleostei","Perciformes","Percidae","Crystallaria","Crystallaria asprella","no"
"380","Remora brachyptera","Remora brachyptera","Remora brachyptera","Remora brachyptera","Remora brachyptera","spearfish remora",2375292,641292,"accepted",126851,"accepted",0,"Animalia","Chordata","Teleostei","Carangiformes","Echeneidae","Remora","Remora brachyptera","yes"
"381","Balistes polylepis","Balistes polylepis","Balistes polylepis","Balistes polylepis","Balistes polylepis","finescale triggerfish",2407118,303686,"accepted",275234,"accepted",0,"Animalia","Chordata","Teleostei","Tetraodontiformes","Balistidae","Balistes","Balistes polylepis","yes"
"382","Neoachiropsetta milfordi","Neoachiropsetta milfordi","Neoachiropsetta milfordi","Neoachiropsetta milfordi","Neoachiropsetta milfordi",NA,2409001,443798,"accepted",234804,"accepted",0,"Animalia","Chordata","Teleostei","Pleuronectiformes","Achiropsettidae","Neoachiropsetta","Neoachiropsetta milfordi","no"
"383","Lepidotrigla guentheri","Lepidotrigla guentheri","Lepidotrigla guentheri","Lepidotrigla guentheri","Lepidotrigla guentheri",NA,2336680,1609324,"accepted",274892,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Lepidotrigla","Lepidotrigla guentheri","no"
"384","Engyprosopon macrolepis","Engyprosopon macrolepis","Engyprosopon macrolepis","Engyprosopon macrolepis","Engyprosopon macrolepis","largescale dwarf flounder",2408417,1585498,"accepted",219804,"accepted",0,"Animalia","Chordata","Teleostei","Pleuronectiformes","Bothidae","Engyprosopon","Engyprosopon macrolepis","no"
"385","Pristolepis fasciata","Pristolepis fasciata","Pristolepis fasciata","Pristolepis fasciata","Pristolepis fasciata","Malayan leaffish",2399391,302777,"accepted",1418663,"accepted",1,"Animalia","Chordata","Teleostei","Anabantiformes","Pristolepididae","Pristolepis","Pristolepis fasciata","no"
"386","Lepidotrigla kishinouyi","Lepidotrigla kishinouyi","Lepidotrigla kishinouyi","Lepidotrigla kishinouyi","Lepidotrigla kishinouyi","devil searobin",2336709,1522389,"accepted",274897,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Lepidotrigla","Lepidotrigla kishinouyi","no"
"387","Lepidotrigla longifaciata","Lepidotrigla longifaciata","Lepidotrigla longifaciata","Lepidotrigla longifaciata","Lepidotrigla longifaciata","Lepidotrigla longifaciata Yatou, 1981",2336703,2202273,"accepted",274900,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Lepidotrigla","Lepidotrigla longifaciata","no"
"388","Pomadasys sp. CBM:ZF:18112",NA,"Pomadasys sp. CBM:ZF:18112",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Pomadasys","Pomadasys sp. CBM:ZF:18112",NA
"389","Lepidotrigla japonica","Lepidotrigla japonica","Lepidotrigla japonica","Lepidotrigla japonica","Lepidotrigla japonica",NA,2336678,1609325,"accepted",274894,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Lepidotrigla","Lepidotrigla japonica","no"
"390","Monacanthus tuckeri","Monacanthus tuckeri","Monacanthus tuckeri","Monacanthus tuckeri","Monacanthus tuckeri","slender filefish",2406877,1112860,"accepted",159499,"accepted",0,"Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Monacanthus","Monacanthus tuckeri","no"
"391","Balistes vetula","Balistes vetula","Balistes vetula","Balistes vetula","Balistes vetula","queen triggerfish",2407103,303687,"accepted",127397,"accepted",0,"Animalia","Chordata","Teleostei","Tetraodontiformes","Balistidae","Balistes","Balistes vetula","no"
"392","Pseudorhombus levisquamis","Pseudorhombus levisquamis","Pseudorhombus levisquamis","Pseudorhombus levisquamis","Pseudorhombus levisquamis",NA,2408842,367201,"accepted",277081,"accepted",0,"Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Pseudorhombus","Pseudorhombus levisquamis","no"
"393","Lepidotrigla sp. NMMBP 1282",NA,"Lepidotrigla sp. NMMBP 1282",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Lepidotrigla","Lepidotrigla sp. NMMBP 1282",NA
"394","Lepidotrigla abyssalis","Lepidotrigla abyssalis","Lepidotrigla abyssalis","Lepidotrigla abyssalis","Lepidotrigla abyssalis",NA,2336671,868563,"accepted",274879,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Lepidotrigla","Lepidotrigla abyssalis","no"
"395","Centrarchus macropterus","Centrarchus macropterus","Centrarchus macropterus","Centrarchus macropterus","Centrarchus macropterus",NA,2394521,201694,"accepted",1022967,"accepted",1,"Animalia","Chordata","Teleostei","Centrarchiformes","Centrarchidae","Centrarchus","Centrarchus macropterus","no"
"396","Lepidotrigla hime","Lepidotrigla hime","Lepidotrigla hime","Lepidotrigla hime","Lepidotrigla hime",NA,2336727,1585500,"accepted",274893,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Lepidotrigla","Lepidotrigla hime","no"
"397","Lepidotrigla alata","Lepidotrigla alata","Lepidotrigla alata","Lepidotrigla alata","Lepidotrigla alata","forksnout searobin",2336713,670522,"accepted",274880,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Lepidotrigla","Lepidotrigla alata","no"
"398","Sillago maculata","Sillago maculata","Sillago maculata","Sillago maculata","Sillago maculata","trumpeter sillago",2391922,435224,"accepted",273947,"accepted",0,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sillaginidae","Sillago","Sillago maculata","no"
"399","Neoclinus bryope","Neoclinus bryope","Neoclinus bryope","Neoclinus bryope","Neoclinus bryope",NA,2381423,270548,"accepted",281680,"accepted",0,"Animalia","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Neoclinus","Neoclinus bryope","yes"
"400","Mastacembelus plagiostomus","Mastacembelus plagiostomus","Mastacembelus plagiostomus","Mastacembelus plagiostomus","Mastacembelus plagiostomus",NA,2351838,762269,"accepted",1383579,"accepted",1,"Animalia","Chordata","Teleostei","Synbranchiformes","Mastacembelidae","Mastacembelus","Mastacembelus plagiostomus","no"
"401","Epinephelus radiatus","Epinephelus radiatus","Epinephelus radiatus","Epinephelus radiatus","Epinephelus radiatus","oblique-banded grouper",2388579,323803,"accepted",218222,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Epinephelus","Epinephelus radiatus","no"
"402","Acanthochromis polyacanthus","Acanthochromis polyacanthus","Acanthochromis polyacanthus","Acanthochromis polyacanthus","Acanthochromis polyacanthus","spiny chromis",5212126,80966,"accepted",279469,"accepted",0,"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Acanthochromis","Acanthochromis polyacanthus","no"
"403","Cephalopholis sexmaculata","Cephalopholis sexmaculata","Cephalopholis sexmaculata","Cephalopholis sexmaculata","Cephalopholis sexmaculata","sixblotch hind",2388884,334913,"accepted",218189,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Cephalopholis","Cephalopholis sexmaculata","no"
"404","Andinoacara pulcher","Andinoacara pulcher","Andinoacara pulcher","Andinoacara pulcher","Andinoacara pulcher","blue acara",7525430,172522,"accepted",991177,"accepted",1,"Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Andinoacara","Andinoacara pulcher","no"
"405","Cephalopholis sonnerati","Cephalopholis sonnerati","Cephalopholis sonnerati","Cephalopholis sonnerati","Cephalopholis sonnerati","tomato hind",2388927,160708,"accepted",218183,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Cephalopholis","Cephalopholis sonnerati","no"
"406","Cephalopholis oligosticta","Cephalopholis oligosticta","Cephalopholis oligosticta","Cephalopholis oligosticta","Cephalopholis oligosticta","vermillion hind",2388820,1550411,"accepted",218176,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Cephalopholis","Cephalopholis oligosticta","no"
"407","Leuroglossus schmidti","Leuroglossus schmidti","Leuroglossus schmidti","Leuroglossus schmidti","Leuroglossus schmidti","northern smooth-tongue",2410949,557346,"accepted",254551,"accepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus schmidti","yes"
"408","Lipolagus ochotensis","Lipolagus ochotensis","Lipolagus ochotensis","Lipolagus ochotensis","Lipolagus ochotensis","eared blacksmelt",2410940,170193,"accepted",281374,"accepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Bathylagidae","Lipolagus","Lipolagus ochotensis","yes"
"409","Bathylagus pacificus","Bathylagus pacificus","Bathylagus pacificus","Bathylagus pacificus","Bathylagus pacificus","slender blacksmelt",2410970,557336,"accepted",272919,"accepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Bathylagidae","Bathylagus","Bathylagus pacificus","yes"
"410","Melanolagus bericoides","Melanolagus bericoides","Melanolagus bericoides","Melanolagus bericoides","Melanolagus bericoides","bigscale deepsea smelt",2410934,1459833,"accepted",126721,"accepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Bathylagidae","Melanolagus","Melanolagus bericoides","yes"
"411","Pseudobathylagus milleri","Pseudobathylagus milleri","Pseudobathylagus milleri","Pseudobathylagus milleri","Pseudobathylagus milleri",NA,2410963,301820,"accepted",282406,"accepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Bathylagidae","Pseudobathylagus","Pseudobathylagus milleri","yes"
"412","Argentina kagoshimae","Argentina kagoshimae","Argentina kagoshimae","Argentina kagoshimae","Argentina kagoshimae","smallmouth argentine",5214442,486150,"accepted",272896,"accepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Argentinidae","Argentina","Argentina kagoshimae","no"
"413","Prosopium williamsoni","Prosopium williamsoni","Prosopium williamsoni","Prosopium williamsoni","Prosopium williamsoni","mountain whitefish",2351530,89337,"accepted",567546,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Prosopium","Prosopium williamsoni","no"
"414","Bathylagichthys greyae","Bathylagichthys greyae","Bathylagichthys greyae","Bathylagichthys greyae","Bathylagichthys greyae","Grey's deepsea smelt",2410982,1459823,"accepted",126718,"accepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Bathylagidae","Bathylagichthys","Bathylagichthys greyae","no"
"415","Nansenia groenlandica","Nansenia groenlandica","Nansenia groenlandica","Nansenia groenlandica","Nansenia groenlandica","Greenland argentine",5214222,1263172,"accepted",126725,"accepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Microstomatidae","Nansenia","Nansenia groenlandica","no"
"416","Nansenia oblita","Nansenia oblita","Nansenia oblita","Nansenia oblita","Nansenia oblita",NA,5214207,2995745,"accepted",126728,"accepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Microstomatidae","Nansenia","Nansenia oblita","no"
"417","Argentina silus","Argentina silus","Argentina silus","Argentina silus","Argentina silus","greater argentine",5214450,446415,"accepted",126715,"accepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Argentinidae","Argentina","Argentina silus","no"
"418","Prosopium cylindraceum","Prosopium cylindraceum","Prosopium cylindraceum","Prosopium cylindraceum","Prosopium cylindraceum","round whitefish",2351534,348696,"accepted",282373,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Prosopium","Prosopium cylindraceum","yes"
"419","Nansenia candida","Nansenia candida","Nansenia sanrikuensis","Nansenia sanrikuensis","Nansenia sanrikuensis",NA,5214212,1604543,"synonym",272926,"unaccepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Microstomatidae","Nansenia","Nansenia candida","no"
"420","Glossanodon kotakamaru","Glossanodon kotakamaru","Glossanodon kotakamaru","Glossanodon kotakamaru","Glossanodon kotakamaru",NA,5962337,2768234,"accepted",474905,"accepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Argentinidae","Glossanodon","Glossanodon kotakamaru","no"
"421","Tetragonurus cuvieri","Tetragonurus cuvieri","Tetragonurus cuvieri","Tetragonurus cuvieri","Tetragonurus cuvieri",NA,5209332,316150,"accepted",127080,"accepted",0,"Animalia","Chordata","Teleostei","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri","yes"
"422","Thymallus brevirostris","Thymallus brevirostris","Thymallus brevirostris","Thymallus brevirostris","Thymallus brevirostris","Mongolian grayling",5203998,201377,"accepted",1020060,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus brevirostris","no"
"423","Thymallus grubii","Thymallus grubii","Thymallus grubii","Thymallus grubii","Thymallus grubii","Amur grayling",5711977,201378,"accepted",293751,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus grubii","no"
"424","Thymallus burejensis","Thymallus burejensis","Thymallus burejensis","Thymallus burejensis","Thymallus burejensis",NA,5203997,565240,"accepted",1009352,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus burejensis","no"
"425","Thymallus tugarinae","Thymallus tugarinae","Thymallus tugarinae","Thymallus tugarinae","Thymallus tugarinae",NA,5203985,565241,"accepted",1008744,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus tugarinae","no"
"426","Nansenia ardesiaca","Nansenia ardesiaca","Nansenia ardesiaca","Nansenia ardesiaca","Nansenia ardesiaca","robust smallmouth",5214203,170199,"accepted",272924,"accepted",0,"Animalia","Chordata","Teleostei","Argentiniformes","Microstomatidae","Nansenia","Nansenia ardesiaca","no"
"427","Thymallus arcticus arcticus",NA,"Thymallus arcticus arcticus","Thymallus arcticus arcticus","Thymallus arcticus arcticus",NA,9067957,480041,"accepted",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus arcticus arcticus","no"
"428","Thymallus brevicephalus",NA,"Thymallus brevicephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus brevicephalus",NA
"429","Thymallus svetovidovi","Thymallus svetovidovi","Thymallus svetovidovi","Thymallus svetovidovi","Thymallus svetovidovi",NA,5203986,528212,"accepted",1008304,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus svetovidovi","no"
"430","Thymallus nikolskyi","Thymallus nikolskyi","Thymallus nikolskyi","Thymallus nikolskyi","Thymallus nikolskyi",NA,8765918,528211,"accepted",1494218,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus nikolskyi","no"
"431","Herichthys carpintis","Herichthys carpintis","Herichthys carpintis","Herichthys carpintis","Herichthys carpintis","lowland cichlid",2373122,131405,"accepted",1026797,"accepted",1,"Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Herichthys","Herichthys carpintis","no"
"432","Ruvettus pretiosus","Ruvettus pretiosus","Ruvettus pretiosus","Ruvettus pretiosus","Ruvettus pretiosus","oilfish",2397731,13662,"accepted",126867,"accepted",0,"Animalia","Chordata","Teleostei","Scombriformes","Gempylidae","Ruvettus","Ruvettus pretiosus","yes"
"433","Auxis rochei","Auxis rochei","Auxis rochei","Auxis rochei","Auxis rochei","bullet tuna",4286088,217026,"accepted",127015,"accepted",0,"Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Auxis","Auxis rochei","no"
"434","Thymallus arcticus","Thymallus arcticus","Thymallus arcticus","Thymallus arcticus","Thymallus arcticus","Arctic grayling",5711974,70285,"accepted",254571,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus arcticus","no"
"435","Thymallus flavomaculatus","Thymallus flavomaculatus","Thymallus grubii flavomaculatus","Thymallus grubii flavomaculatus","Thymallus grubii flavomaculatus","yellow-spotted grayling",6169601,1028180,"synonym",713089,"synonym",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus flavomaculatus","no"
"436","Thymallus nigrescens","Thymallus nigrescens","Thymallus nigrescens","Thymallus nigrescens","Thymallus nigrescens","Kosogol grayling",5203992,297513,"accepted",1424352,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus nigrescens","no"
"437","Thymallus mertensii","Thymallus mertensii","Thymallus mertensii","Thymallus mertensii","Thymallus mertensii",NA,5203995,1767050,"accepted",275330,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus mertensii","no"
"438","Thymallus baicalensis","Thymallus baicalensis","Thymallus baicalensis","Thymallus baicalensis","Thymallus baicalensis","Baikal black grayling",5816794,426380,"accepted",1421968,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus baicalensis","no"
"439","Thymallus aeliani",NA,"Thymallus aeliani","Thymallus aeliani","Thymallus aeliani",NA,5739514,1483149,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus aeliani","no"
"440","Bathymaster signatus","Bathymaster signatus","Bathymaster signatus","Bathymaster signatus","Bathymaster signatus","searcher",2394455,274808,"accepted",254513,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Bathymasteridae","Bathymaster","Bathymaster signatus","yes"
