"","found_taxa","worms_name","verbatim_name","gbif_name","ncbi_name","ncbi_commonname","gbif_usagekey","ncbi_uid","gbif_status","worms_aphiaid","worms_status","freshwater_only","kingdom","phylum","class","order","family","genus","compare_name","in_region"
"11","Coilia lindmani","Coilia lindmani","Coilia lindmani","Coilia lindmani","Coilia lindmani","Lindman's grenadier anchovy",2413738,686568,"accepted",279080,"accepted",0,"Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia","Coilia lindmani","no"
"12","Coilia grayii","Coilia grayii","Coilia grayii","Coilia grayii","Coilia grayii","Gray's grenadier anchovy",2413736,363190,"accepted",279079,"accepted",0,"Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia","Coilia grayii","no"
"13","Coilia nasus","Coilia nasus","Coilia nasus","Coilia nasus","Coilia nasus","Japanese grenadier anchovy",2413717,365059,"accepted",279083,"accepted",0,"Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia","Coilia nasus","no"
"14","Coilia brachygnathus","Coilia brachygnathus","Coilia brachygnathus","Coilia brachygnathus","Coilia brachygnathus","Yangtse grenadier anchovy",2413734,411919,"accepted",279077,"accepted",0,"Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia","Coilia brachygnathus","no"
"15","Gudusia chapra","Gudusia chapra","Gudusia chapra","Gudusia chapra","Gudusia chapra","Indian river shad",2413051,691797,"accepted",742989,"accepted",0,"Animalia","Chordata","Teleostei","Clupeiformes","Dorosomatidae","Gudusia","Gudusia chapra","no"
"16","Prochilodus harttii","Prochilodus harttii","Prochilodus harttii",NA,NA,NA,NA,NA,NA,1020334,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus","Prochilodus harttii","no"
"17","Prochilodus lineatus","Prochilodus lineatus","Prochilodus lineatus","Prochilodus lineatus","Prochilodus lineatus","curimbata",2352154,27695,"accepted",1016626,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus","Prochilodus lineatus","no"
"18","Prochilodus costatus","Prochilodus costatus","Prochilodus costatus","Prochilodus costatus","Prochilodus costatus",NA,2352169,357590,"accepted",1020354,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus","Prochilodus costatus","no"
"19","Prochilodus argenteus","Prochilodus argenteus","Prochilodus argenteus","Prochilodus argenteus","Prochilodus argenteus",NA,2352177,370024,"accepted",1022670,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus","Prochilodus argenteus","no"
"20","Elachocharax pulcher","Elachocharax pulcher","Elachocharax pulcher","Elachocharax pulcher","Elachocharax pulcher",NA,2352424,1633416,"accepted",1013488,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Crenuchidae","Elachocharax","Elachocharax pulcher","no"
"21","Prochilodus nigricans","Prochilodus nigricans","Prochilodus nigricans","Prochilodus nigricans","Prochilodus nigricans","black prochilodus",2352160,148991,"accepted",1011318,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus","Prochilodus nigricans","no"
"22","Conocara murrayi","Conocara murrayi","Conocara murrayi","Conocara murrayi","Conocara murrayi","Murray's smooth-head",2410757,492037,"accepted",126697,"accepted",0,"Animalia","Chordata","Teleostei","Alepocephaliformes","Alepocephalidae","Conocara","Conocara murrayi","no"
"23","Barbucca diabolica","Barbucca diabolica","Barbucca diabolica","Barbucca diabolica","Barbucca diabolica",NA,2358756,425500,"accepted",1011539,"accepted",1,"Animalia","Chordata","Teleostei","Cypriniformes","Barbuccidae","Barbucca","Barbucca diabolica","no"
