"","ncbi_species","canonicalname","rank","gbif_status","query","worms_query","worms_sciname","worms_aphiaid","original_aphiaid","worms_match","status","unacceptreason","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","compare_name","in_region"
"21","Prochilodus nigricans","Prochilodus nigricans","species","ACCEPTED","Prochilodus nigricans","Prochilodus+nigricans","Prochilodus nigricans",1011318,1011318,"Prochilodus nigricans","accepted",NA,"Spix & Agassiz, 1829","Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus",1,0,"Prochilodus nigricans","no"
"22","Conocara murrayi","Conocara murrayi","species","ACCEPTED","Conocara murrayi","Conocara+murrayi","Conocara murrayi",126697,126697,"Conocara murrayi","accepted",NA,"(Koefoed, 1927)","Animalia","Chordata","Teleostei","Alepocephaliformes","Alepocephalidae","Conocara",0,0,"Conocara murrayi","no"
"23","Barbucca diabolica","Barbucca diabolica","species","ACCEPTED","Barbucca diabolica","Barbucca+diabolica","Barbucca diabolica",1011539,1011539,"Barbucca diabolica","accepted",NA,"Roberts, 1989","Animalia","Chordata","Teleostei","Cypriniformes","Barbuccidae","Barbucca",1,0,"Barbucca diabolica","no"
"24","Liniparhomaloptera disparis disparis","Liniparhomaloptera disparis disparis","subspecies","SYNONYM","Liniparhomaloptera disparis disparis","Liniparhomaloptera+disparis+disparis","Liniparhomaloptera disparis",293622,281358,"Liniparhomaloptera disparis disparis","unaccepted",NA,"(Lin, 1934)","Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Liniparhomaloptera",0,0,"Liniparhomaloptera disparis","no"
"25","Prochilodus vimboides","Prochilodus vimboides","species","ACCEPTED","Prochilodus vimboides","Prochilodus+vimboides","Prochilodus vimboides",1018422,1018422,"Prochilodus vimboides","accepted",NA,"Kner, 1859","Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus",1,0,"Prochilodus vimboides","no"
"26","Semaprochilodus sp. CBM:ZF:13710",NA,NA,NA,"Semaprochilodus sp. CBM:ZF:13710","Semaprochilodus+sp.+CBM:ZF:13710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Semaprochilodus sp. CBM:ZF:13710","no"
"27","Semaprochilodus insignis","Semaprochilodus insignis","species","ACCEPTED","Semaprochilodus insignis","Semaprochilodus+insignis","Semaprochilodus insignis",1018426,1018426,"Semaprochilodus insignis","accepted",NA,"(Jardine, 1841)","Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Semaprochilodus",1,0,"Semaprochilodus insignis","no"
"28","Copella arnoldi","Copella arnoldi","species","ACCEPTED","Copella arnoldi","Copella+arnoldi","Copella arnoldi",1017646,1017646,"Copella arnoldi","accepted",NA,"(Regan, 1912)","Animalia","Chordata","Teleostei","Characiformes","Lebiasinidae","Copella",1,0,"Copella arnoldi","no"
"29","Yunnanilus longibarbatus","Yunnanilus longibarbatus","species","ACCEPTED","Yunnanilus longibarbatus","Yunnanilus+longibarbatus","Yunnanilus longibarbatus",1008656,1008656,"Yunnanilus longibarbatus","accepted",NA,"Gan, Chen & Yang, 2007","Animalia","Chordata","Teleostei","Cypriniformes","Nemacheilidae","Yunnanilus",1,0,"Yunnanilus longibarbatus","no"
"30","Semaprochilodus sp. CBM:ZF:12566",NA,NA,NA,"Semaprochilodus sp. CBM:ZF:12566","Semaprochilodus+sp.+CBM:ZF:12566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Semaprochilodus sp. CBM:ZF:12566","no"
"31","Pseudogastromyzon fangi","Pseudogastromyzon fangi","species","ACCEPTED","Pseudogastromyzon fangi","Pseudogastromyzon+fangi","Pseudogastromyzon fangi",1015801,1015801,"Pseudogastromyzon fangi","accepted",NA,"(Nichols, 1931)","Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Pseudogastromyzon",1,0,"Pseudogastromyzon fangi","no"
"32","Piaractus brachypomus","Piaractus brachypomus","species","ACCEPTED","Piaractus brachypomus","Piaractus+brachypomus","Piaractus brachypomus",1022721,1022721,"Piaractus brachypomus","accepted",NA,"(Cuvier, 1818)","Animalia","Chordata","Teleostei","Characiformes","Serrasalmidae","Piaractus",1,0,"Piaractus brachypomus","no"
"33","Seriolella porosa","Seriolella porosa","species","ACCEPTED","Seriolella porosa","Seriolella+porosa","Seriolella porosa",282757,282757,"Seriolella porosa","accepted",NA,"Guichenot, 1848","Animalia","Chordata","Teleostei","Scombriformes","Centrolophidae","Seriolella",0,0,"Seriolella porosa","no"
