"","ncbi_species","canonicalname","rank","gbif_status","query","worms_query","worms_sciname","worms_aphiaid","original_aphiaid","worms_match","status","unacceptreason","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","compare_name","in_region"
"480","Katsuwonus pelamis","Katsuwonus pelamis","species","ACCEPTED","Katsuwonus pelamis","Katsuwonus+pelamis","Katsuwonus pelamis",127018,127018,"Katsuwonus pelamis","accepted",NA,"(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Katsuwonus",0,0,"Katsuwonus pelamis","yes"
"481","Pareques iwamotoi","Pareques iwamotoi","species","ACCEPTED","Pareques iwamotoi","Pareques+iwamotoi","Pareques iwamotoi",315192,315192,"Pareques iwamotoi","accepted",NA,"Miller & Woods, 1988","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Pareques",0,0,"Pareques iwamotoi","no"
"482","Tetragonurus pacificus","Tetragonurus pacificus","species","ACCEPTED","Tetragonurus pacificus","Tetragonurus+pacificus","Tetragonurus pacificus",274002,274002,"Tetragonurus pacificus","accepted",NA,"Abe, 1953","Animalia","Chordata","Teleostei","Scombriformes","Tetragonuridae","Tetragonurus",0,0,"Tetragonurus pacificus","no"
"483","Stichaeopsis nevelskoi","Stichaeopsis nevelskoi","species","ACCEPTED","Stichaeopsis nevelskoi","Stichaeopsis+nevelskoi","Stichaeopsis nevelskoi",282889,282889,"Stichaeopsis nevelskoi","accepted",NA,"(Schmidt, 1904)","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Stichaeopsis",0,0,"Stichaeopsis nevelskoi","no"
"484","Lycenchelys rassi","Lycenchelys rassi","species","ACCEPTED","Lycenchelys rassi","Lycenchelys+rassi","Lycenchelys rassi",274082,274082,"Lycenchelys rassi","accepted",NA,"Andriashev, 1955","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycenchelys",0,0,"Lycenchelys rassi","no"
"485","Psenes pellucidus","Psenes pellucidus","species","ACCEPTED","Psenes pellucidus","Psenes+pellucidus","Psenes pellucidus",126993,126993,"Psenes pellucidus","accepted",NA,"Lütken, 1880","Animalia","Chordata","Teleostei","Scombriformes","Nomeidae","Psenes",0,0,"Psenes pellucidus","yes"
"486","Hypoatherina golanii","Hypoatherina golanii","species","ACCEPTED","Hypoatherina golanii","Hypoatherina+golanii","Hypoatherina golanii",834910,834910,"Hypoatherina golanii","accepted",NA,"Sasaki & Kimura, 2012","Animalia","Chordata","Teleostei","Atheriniformes","Atherinidae","Hypoatherina",0,0,"Hypoatherina golanii","no"
"487","Gasterochisma melampus","Gasterochisma melampus","species","ACCEPTED","Gasterochisma melampus","Gasterochisma+melampus","Gasterochisma melampus",219709,219709,"Gasterochisma melampus","accepted",NA,"Richardson, 1845","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Gasterochisma",0,0,"Gasterochisma melampus","no"
"488","Ethmalosa fimbriata","Ethmalosa fimbriata","species","ACCEPTED","Ethmalosa fimbriata","Ethmalosa+fimbriata","Ethmalosa fimbriata",280725,280725,"Ethmalosa fimbriata","accepted",NA,"(Bowdich, 1825)","Animalia","Chordata","Teleostei","Clupeiformes","Dorosomatidae","Ethmalosa",0,0,"Ethmalosa fimbriata","no"
"489","Stichaeus punctatus","Stichaeus punctatus","species","ACCEPTED","Stichaeus punctatus","Stichaeus+punctatus","Stichaeus punctatus",159819,159819,"Stichaeus punctatus","accepted",NA,"(Fabricius, 1780)","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Stichaeus",0,0,"Stichaeus punctatus","yes"
"490","Decodon pacificus","Decodon pacificus","species","ACCEPTED","Decodon pacificus","Decodon+pacificus","Decodon pacificus",276746,276746,"Decodon pacificus","accepted",NA,"(Kamohara, 1952)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Decodon",0,0,"Decodon pacificus","no"
"491","Pterygotrigla hemisticta","Pterygotrigla hemisticta","species","ACCEPTED","Pterygotrigla hemisticta","Pterygotrigla+hemisticta","Pterygotrigla hemisticta",277041,277041,"Pterygotrigla hemisticta","accepted",NA,"(Temminck & Schlegel, 1843)","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Pterygotrigla",0,0,"Pterygotrigla hemisticta","no"
"492","Niphon spinosus","Niphon spinosus","species","ACCEPTED","Niphon spinosus","Niphon+spinosus","Niphon spinosus",281758,281758,"Niphon spinosus","accepted",NA,"Cuvier, 1828","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Niphon",0,0,"Niphon spinosus","no"
"493","Hypoatherina gobio","Hypoatherina gobio","species","SYNONYM","Hypoatherina gobio","Hypoatherina+gobio","Hypoatherina temminckii",217883,310978,"Hypoatherina gobio","unaccepted",NA,"(Bleeker, 1854)","Animalia","Chordata","Teleostei","Atheriniformes","Atherinidae","Hypoatherina",0,0,"Hypoatherina temminckii","no"
"494","Hypoatherina temminckii","Hypoatherina temminckii","species","ACCEPTED","Hypoatherina temminckii","Hypoatherina+temminckii","Hypoatherina temminckii",217883,217883,"Hypoatherina temminckii","accepted",NA,"(Bleeker, 1854)","Animalia","Chordata","Teleostei","Atheriniformes","Atherinidae","Hypoatherina",0,0,"Hypoatherina temminckii","no"
"495","Uaru amphiacanthoides","Uaru amphiacanthoides","species","ACCEPTED","Uaru amphiacanthoides","Uaru+amphiacanthoides","Uaru amphiacanthoides",1020068,1020068,"Uaru amphiacanthoides","accepted",NA,"Heckel, 1840","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Uaru",1,0,"Uaru amphiacanthoides","no"
"496","Caristius sp. CBM:ZF:15591",NA,NA,NA,"Caristius sp. CBM:ZF:15591","Caristius+sp.+CBM:ZF:15591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caristius sp. CBM:ZF:15591","no"
"497","Caristius macropus","Caristius macropus","species","ACCEPTED","Caristius macropus","Caristius+macropus","Caristius macropus",126824,126824,"Caristius macropus","accepted",NA,"(Bellotti, 1903)","Animalia","Chordata","Teleostei","Scombriformes","Caristiidae","Caristius",0,0,"Caristius macropus","yes"
"498","Thorichthys meeki","Thorichthys meeki","species","ACCEPTED","Thorichthys meeki","Thorichthys+meeki","Thorichthys meeki",991200,991200,"Thorichthys meeki","accepted",NA,"Brind, 1918","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Thorichthys",1,0,"Thorichthys meeki","no"
"499","Caristius groenlandicus","Caristius groenlandicus","species","SYNONYM","Caristius groenlandicus","Caristius+groenlandicus","Caristius fasciatus",873087,159659,"Caristius groenlandicus","unaccepted",NA,"(Borodin, 1930)","Animalia","Chordata","Teleostei","Scombriformes","Caristiidae","Caristius",0,0,"Caristius fasciatus","no"
"500","Micrenophrys lilljeborgii","Micrenophrys lilljeborgii","species","ACCEPTED","Micrenophrys lilljeborgii","Micrenophrys+lilljeborgii","Micrenophrys lilljeborgii",127201,127201,"Micrenophrys lilljeborgii","accepted",NA,"(Collett, 1875)","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Micrenophrys",0,0,"Micrenophrys lilljeborgii","no"
"501","Taurulus bubalis","Taurulus bubalis","species","ACCEPTED","Taurulus bubalis","Taurulus+bubalis","Taurulus bubalis",127204,127204,"Taurulus bubalis","accepted",NA,"(Euphrasen, 1786)","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Taurulus",0,0,"Taurulus bubalis","no"
"502","Siniperca fortis","Siniperca fortis","species","ACCEPTED","Siniperca fortis","Siniperca+fortis","Siniperca fortis",1015713,1015713,"Siniperca fortis","accepted",NA,"(Lin, 1932)","Animalia","Chordata","Teleostei","Centrarchiformes","Percichthyidae","Siniperca",1,0,"Siniperca fortis","no"
"503","Eumesogrammus praecisus","Eumesogrammus praecisus","species","ACCEPTED","Eumesogrammus praecisus","Eumesogrammus+praecisus","Eumesogrammus praecisus",159817,159817,"Eumesogrammus praecisus","accepted",NA,"(Krøyer, 1836)","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Eumesogrammus",0,0,"Eumesogrammus praecisus","yes"
"504","Opisthocentrus ocellatus","Opisthocentrus ocellatus","species","ACCEPTED","Opisthocentrus ocellatus","Opisthocentrus+ocellatus","Opisthocentrus ocellatus",281916,281916,"Opisthocentrus ocellatus","accepted",NA,"(Tilesius, 1811)","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Opisthocentrus",0,0,"Opisthocentrus ocellatus","no"
"505","Perca fluviatilis","Perca fluviatilis","species","ACCEPTED","Perca fluviatilis","Perca+fluviatilis","Perca fluviatilis",151353,151353,"Perca fluviatilis","accepted",NA,"Linnaeus, 1758","Animalia","Chordata","Teleostei","Perciformes","Percidae","Perca",0,0,"Perca fluviatilis","no"
"506","Lepidotrigla kanagashira","Lepidotrigla kanagashira","species","ACCEPTED","Lepidotrigla kanagashira","Lepidotrigla+kanagashira","Lepidotrigla kanagashira",274896,274896,"Lepidotrigla kanagashira","accepted",NA,"Kamohara, 1936","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Lepidotrigla",0,0,"Lepidotrigla kanagashira","no"
"507","Xenolumpenus longipterus","Xenolumpenus longipterus","species","ACCEPTED","Xenolumpenus longipterus","Xenolumpenus+longipterus","Xenolumpenus longipterus",712783,712783,"Xenolumpenus longipterus","accepted",NA,"Shinohara & Yabe, 2009","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Xenolumpenus",0,0,"Xenolumpenus longipterus","no"
"508","Pholis fangi","Pholis fangi","species","ACCEPTED","Pholis fangi","Pholis+fangi","Pholis fangi",273688,273688,"Pholis fangi","accepted",NA,"(Wang & Wang, 1935)","Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis",0,0,"Pholis fangi","no"
"509","Pholis crassispina","Pholis crassispina","species","ACCEPTED","Pholis crassispina","Pholis+crassispina","Pholis crassispina",273687,273687,"Pholis crassispina","accepted",NA,"(Temminck & Schlegel, 1845)","Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis",0,0,"Pholis crassispina","no"
"510","Ulvaria subbifurcata","Ulvaria subbifurcata","species","ACCEPTED","Ulvaria subbifurcata","Ulvaria+subbifurcata","Ulvaria subbifurcata",159821,159821,"Ulvaria subbifurcata","accepted",NA,"(Storer, 1839)","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Ulvaria",0,0,"Ulvaria subbifurcata","no"
"511","Satyrichthys cf. laticeps AN-2018","Satyrichthys laticeps","species","ACCEPTED","Satyrichthys laticeps","Satyrichthys+laticeps","Satyrichthys laticeps",1011966,1011966,"Satyrichthys laticeps","accepted",NA,"(Schlegel, 1852)","Animalia","Chordata","Teleostei","Perciformes","Peristediidae","Satyrichthys",0,0,"Satyrichthys laticeps","no"
"512","Stenatherina panatela","Stenatherina panatela","species","ACCEPTED","Stenatherina panatela","Stenatherina+panatela","Stenatherina panatela",282882,282882,"Stenatherina panatela","accepted",NA,"(Jordan & Richardson, 1908)","Animalia","Chordata","Teleostei","Atheriniformes","Atherinidae","Stenatherina",0,0,"Stenatherina panatela","no"
"513","Euthynnus affinis","Euthynnus affinis","species","ACCEPTED","Euthynnus affinis","Euthynnus+affinis","Euthynnus affinis",219708,219708,"Euthynnus affinis","accepted",NA,"(Cantor, 1849)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Euthynnus",0,0,"Euthynnus affinis","yes"
"514","Acanthocybium solandri","Acanthocybium solandri","species","ACCEPTED","Acanthocybium solandri","Acanthocybium+solandri","Acanthocybium solandri",127014,127014,"Acanthocybium solandri","accepted",NA,"(Cuvier, 1832)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Acanthocybium",0,0,"Acanthocybium solandri","yes"
"515","Astronesthes gemmifer","Astronesthes gemmifer","species","ACCEPTED","Astronesthes gemmifer","Astronesthes+gemmifer","Astronesthes gemmifer",127322,127322,"Astronesthes gemmifer","accepted",NA,"Goode & Bean, 1896","Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Astronesthes",0,0,"Astronesthes gemmifer","yes"
"516","Astronesthes sp. CBM:ZF:15526",NA,NA,NA,"Astronesthes sp. CBM:ZF:15526","Astronesthes+sp.+CBM:ZF:15526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Astronesthes sp. CBM:ZF:15526","no"
"517","Borostomias sp. CBM:ZF:14766",NA,NA,NA,"Borostomias sp. CBM:ZF:14766","Borostomias+sp.+CBM:ZF:14766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Borostomias sp. CBM:ZF:14766","no"
"518","Astronesthes sp. CBM:ZF:14326",NA,NA,NA,"Astronesthes sp. CBM:ZF:14326","Astronesthes+sp.+CBM:ZF:14326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Astronesthes sp. CBM:ZF:14326","no"
"519","Astronesthes sp. CBM:ZF:14679",NA,NA,NA,"Astronesthes sp. CBM:ZF:14679","Astronesthes+sp.+CBM:ZF:14679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Astronesthes sp. CBM:ZF:14679","no"
"520","Opisthocentrus zonope","Opisthocentrus zonope","species","ACCEPTED","Opisthocentrus zonope","Opisthocentrus+zonope","Opisthocentrus zonope",281918,281918,"Opisthocentrus zonope","accepted",NA,"Jordan & Snyder, 1902","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Opisthocentrus",0,0,"Opisthocentrus zonope","no"
"521","Opisthocentrus tenuis","Opisthocentrus tenuis","species","ACCEPTED","Opisthocentrus tenuis","Opisthocentrus+tenuis","Opisthocentrus tenuis",281917,281917,"Opisthocentrus tenuis","accepted",NA,"Bean & Bean, 1897","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Opisthocentrus",0,0,"Opisthocentrus tenuis","no"
"522","Stichaeopsis epallax","Stichaeopsis epallax","species","ACCEPTED","Stichaeopsis epallax","Stichaeopsis+epallax","Stichaeopsis epallax",282887,282887,"Stichaeopsis epallax","accepted",NA,"(Jordan & Snyder, 1902)","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Stichaeopsis",0,0,"Stichaeopsis epallax","no"
"523","Stichaeopsis nana","Stichaeopsis nana","species","ACCEPTED","Stichaeopsis nana","Stichaeopsis+nana","Stichaeopsis nana",282888,282888,"Stichaeopsis nana","accepted",NA,"Kner, 1870","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Stichaeopsis",0,0,"Stichaeopsis nana","no"
"524","Ernogrammus hexagrammus","Ernogrammus hexagrammus","species","ACCEPTED","Ernogrammus hexagrammus","Ernogrammus+hexagrammus","Ernogrammus hexagrammus",280705,280705,"Ernogrammus hexagrammus","accepted",NA,"(Schlegel, 1845)","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Ernogrammus",0,0,"Ernogrammus hexagrammus","no"
"525","Askoldia variegata","Askoldia variegata","species","ACCEPTED","Askoldia variegata","Askoldia+variegata","Askoldia variegata",279746,279746,"Askoldia variegata","accepted",NA,"Pavlenko, 1910","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Askoldia",0,0,"Askoldia variegata","no"
"526","Lycodes hubbsi","Lycodes hubbsi","species","ACCEPTED","Lycodes hubbsi","Lycodes+hubbsi","Lycodes hubbsi",274102,274102,"Lycodes hubbsi","accepted",NA,"Matsubara, 1955","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes",0,0,"Lycodes hubbsi","no"
"527","Lycodes caudimaculatus","Lycodes caudimaculatus","species","ACCEPTED","Lycodes caudimaculatus","Lycodes+caudimaculatus","Lycodes caudimaculatus",274096,274096,"Lycodes caudimaculatus","accepted",NA,"Matsubara, 1936","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes",0,0,"Lycodes caudimaculatus","no"
"528","Bathymaster derjugini","Bathymaster derjugini","species","ACCEPTED","Bathymaster derjugini","Bathymaster+derjugini","Bathymaster derjugini",279416,279416,"Bathymaster derjugini","accepted",NA,"Lindberg, 1930","Animalia","Chordata","Teleostei","Perciformes","Bathymasteridae","Bathymaster",0,0,"Bathymaster derjugini","yes"
"529","Mikrogeophagus altispinosus","Mikrogeophagus altispinosus","species","ACCEPTED","Mikrogeophagus altispinosus","Mikrogeophagus+altispinosus","Mikrogeophagus altispinosus",1017752,1017752,"Mikrogeophagus altispinosus","accepted",NA,"(Haseman, 1911)","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Mikrogeophagus",1,0,"Mikrogeophagus altispinosus","no"
"530","Stomias nebulosus","Stomias nebulosus","species","ACCEPTED","Stomias nebulosus","Stomias+nebulosus","Stomias nebulosus",217619,217619,"Stomias nebulosus","accepted",NA,"Alcock, 1889","Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Stomias",0,0,"Stomias nebulosus","no"
"531","Sarda chiliensis","Sarda chiliensis","species","ACCEPTED","Sarda chiliensis","Sarda+chiliensis","Sarda chiliensis",293729,293729,"Sarda chiliensis","accepted",NA,"(Cuvier, 1832)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Sarda",0,0,"Sarda chiliensis","yes"
"532","Cryptacanthodes giganteus","Cryptacanthodes giganteus","species","ACCEPTED","Cryptacanthodes giganteus","Cryptacanthodes+giganteus","Cryptacanthodes giganteus",276392,276392,"Cryptacanthodes giganteus","accepted",NA,"(Kittlitz, 1858)","Animalia","Chordata","Teleostei","Perciformes","Cryptacanthodidae","Cryptacanthodes",0,0,"Cryptacanthodes giganteus","yes"
"533","Perca schrenkii","Perca schrenkii","species","ACCEPTED","Perca schrenkii","Perca+schrenkii","Perca schrenkii",1020373,1020373,"Perca schrenkii","accepted",NA,"Kessler, 1874","Animalia","Chordata","Teleostei","Perciformes","Percidae","Perca",1,0,"Perca schrenkii","no"
"534","Satyrichthys moluccensis","Satyrichthys moluccensis","species","ACCEPTED","Satyrichthys moluccensis","Satyrichthys+moluccensis","Satyrichthys moluccensis",1011965,1011965,"Satyrichthys moluccensis","accepted",NA,"(Bleeker, 1850)","Animalia","Chordata","Teleostei","Perciformes","Peristediidae","Satyrichthys",0,0,"Satyrichthys moluccensis","no"
"535","Petenia splendida","Petenia splendida","species","ACCEPTED","Petenia splendida","Petenia+splendida","Petenia splendida",1021117,1021117,"Petenia splendida","accepted",NA,"Günther, 1862","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Petenia",1,0,"Petenia splendida","no"
"536","Siniperca scherzeri","Siniperca scherzeri","species","ACCEPTED","Siniperca scherzeri","Siniperca+scherzeri","Siniperca scherzeri",282799,282799,"Siniperca scherzeri","accepted",NA,"Steindachner, 1892","Animalia","Chordata","Teleostei","Centrarchiformes","Percichthyidae","Siniperca",0,0,"Siniperca scherzeri","no"
"537","Sarda sarda","Sarda sarda","species","ACCEPTED","Sarda sarda","Sarda+sarda","Sarda sarda",127021,127021,"Sarda sarda","accepted",NA,"(Bloch, 1793)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Sarda",0,0,"Sarda sarda","no"
"538","Rastrinus scutiger","Rastrinus scutiger","species","ACCEPTED","Rastrinus scutiger","Rastrinus+scutiger","Rastrinus scutiger",282552,282552,"Rastrinus scutiger","accepted",NA,"(Bean, 1890)","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Rastrinus",0,0,"Rastrinus scutiger","yes"
"539","Bathygobius petrophilus","Bathygobius petrophilus","species","ACCEPTED","Bathygobius petrophilus","Bathygobius+petrophilus","Bathygobius petrophilus",277635,277635,"Bathygobius petrophilus","accepted",NA,"(Bleeker, 1853)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Bathygobius",0,0,"Bathygobius petrophilus","no"
"540","Sander marinus","Sander marinus","species","ACCEPTED","Sander marinus","Sander+marinus","Sander marinus",275310,275310,"Sander marinus","accepted",NA,"(Cuvier, 1828)","Animalia","Chordata","Teleostei","Perciformes","Percidae","Sander",0,0,"Sander marinus","no"
"541","Dictyosoma burgeri","Dictyosoma burgeri","species","ACCEPTED","Dictyosoma burgeri","Dictyosoma+burgeri","Dictyosoma burgeri",280546,280546,"Dictyosoma burgeri","accepted",NA,"van der Hoeven, 1855","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Dictyosoma",0,0,"Dictyosoma burgeri","no"
"542","Leptostomias multifilis","Leptostomias multifilis","species","ACCEPTED","Leptostomias multifilis","Leptostomias+multifilis","Leptostomias multifilis",275159,275159,"Leptostomias multifilis","accepted",NA,"Imai, 1941","Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Leptostomias",0,0,"Leptostomias multifilis","yes"
"543","Argentina sphyraena","Argentina sphyraena","species","ACCEPTED","Argentina sphyraena","Argentina+sphyraena","Argentina sphyraena",126716,126716,"Argentina sphyraena","accepted",NA,"Linnaeus, 1758","Animalia","Chordata","Teleostei","Argentiniformes","Argentinidae","Argentina",0,0,"Argentina sphyraena","no"
"544","Rachycentron canadum","Rachycentron canadum","species","ACCEPTED","Rachycentron canadum","Rachycentron+canadum","Rachycentron canadum",127006,127006,"Rachycentron canadum","accepted",NA,"(Linnaeus, 1766)","Animalia","Chordata","Teleostei","Carangiformes","Rachycentridae","Rachycentron",0,0,"Rachycentron canadum","no"
"545","Petroschmidtia toyamensis","Petroschmidtia toyamensis","species","SYNONYM","Petroschmidtia toyamensis","Petroschmidtia+toyamensis","Lycodes toyamensis",274126,320189,"Petroschmidtia toyamensis","unaccepted",NA,"(Katayama, 1941)","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Petroschmidtia",0,0,"Lycodes toyamensis","no"
"546","Lycenchelys kolthoffi","Lycenchelys kolthoffi","species","ACCEPTED","Lycenchelys kolthoffi","Lycenchelys+kolthoffi","Lycenchelys kolthoffi",127098,127098,"Lycenchelys kolthoffi","accepted",NA,"Jensen, 1904","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycenchelys",0,0,"Lycenchelys kolthoffi","no"
"547","Cryptocentrus nigrocellatus","Cryptocentrus nigrocellatus","species","ACCEPTED","Cryptocentrus nigrocellatus","Cryptocentrus+nigrocellatus","Cryptocentrus nigrocellatus",278339,278339,"Cryptocentrus nigrocellatus","accepted",NA,"(Yanagisawa, 1978)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus",0,0,"Cryptocentrus nigrocellatus","no"
"548","Bajacalifornia megalops","Bajacalifornia megalops","species","ACCEPTED","Bajacalifornia megalops","Bajacalifornia+megalops","Bajacalifornia megalops",126687,126687,"Bajacalifornia megalops","accepted",NA,"(Lütken, 1898)","Animalia","Chordata","Teleostei","Alepocephaliformes","Alepocephalidae","Bajacalifornia",0,0,"Bajacalifornia megalops","yes"
"549","Sarda orientalis","Sarda orientalis","species","ACCEPTED","Sarda orientalis","Sarda+orientalis","Sarda orientalis",219713,219713,"Sarda orientalis","accepted",NA,"(Temminck & Schlegel, 1844)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Sarda",0,0,"Sarda orientalis","yes"
"550","Petroschmidtia albonotatus",NA,NA,NA,"Petroschmidtia albonotatus","Petroschmidtia+albonotatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Petroschmidtia albonotatus","no"
"551","Lycodapus microchir","Lycodapus microchir","species","ACCEPTED","Lycodapus microchir","Lycodapus+microchir","Lycodapus microchir",279392,279392,"Lycodapus microchir","accepted",NA,"Schmidt, 1950","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodapus",0,0,"Lycodapus microchir","no"
"552","Barbourisia rufa","Barbourisia rufa","species","ACCEPTED","Barbourisia rufa","Barbourisia+rufa","Barbourisia rufa",159425,159425,"Barbourisia rufa","accepted",NA,"Parr, 1945","Animalia","Chordata","Teleostei","Beryciformes","Barbourisiidae","Barbourisia",0,0,"Barbourisia rufa","yes"
"553","Icelus toyamensis","Icelus toyamensis","species","ACCEPTED","Icelus toyamensis","Icelus+toyamensis","Icelus toyamensis",274387,274387,"Icelus toyamensis","accepted",NA,"(Matsubara & Iwai, 1951)","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Icelus",0,0,"Icelus toyamensis","no"
"554","Lycenchelys paxillus","Lycenchelys paxillus","species","ACCEPTED","Lycenchelys paxillus","Lycenchelys+paxillus","Lycenchelys paxillus",159257,159257,"Lycenchelys paxillus","accepted",NA,"(Goode & Bean, 1879)","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycenchelys",0,0,"Lycenchelys paxillus","yes"
"555","Lycodes raridens","Lycodes raridens","species","ACCEPTED","Lycodes raridens","Lycodes+raridens","Lycodes raridens",254598,254598,"Lycodes raridens","accepted",NA,"Taranetz & Andriashev, 1937","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes",0,0,"Lycodes raridens","yes"
"556","Malacocottus zonurus","Malacocottus zonurus","species","ACCEPTED","Malacocottus zonurus","Malacocottus+zonurus","Malacocottus zonurus",254406,254406,"Malacocottus zonurus","accepted",NA,"Bean, 1890","Animalia","Chordata","Teleostei","Perciformes","Psychrolutidae","Malacocottus",0,0,"Malacocottus zonurus","yes"
"557","Megalocottus platycephalus","Megalocottus platycephalus","species","ACCEPTED","Megalocottus platycephalus","Megalocottus+platycephalus","Megalocottus platycephalus",254411,254411,"Megalocottus platycephalus","accepted",NA,"(Pallas, 1814)","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Megalocottus",0,0,"Megalocottus platycephalus","yes"
"558","Gymnocanthus tricuspis","Gymnocanthus tricuspis","species","ACCEPTED","Gymnocanthus tricuspis","Gymnocanthus+tricuspis","Gymnocanthus tricuspis",127198,127198,"Gymnocanthus tricuspis","accepted",NA,"(Reinhardt, 1830)","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Gymnocanthus",0,0,"Gymnocanthus tricuspis","yes"
"559","Malacocottus gibber","Malacocottus gibber","species","ACCEPTED","Malacocottus gibber","Malacocottus+gibber","Malacocottus gibber",279441,279441,"Malacocottus gibber","accepted",NA,"Sakamoto, 1930","Animalia","Chordata","Teleostei","Perciformes","Psychrolutidae","Malacocottus",0,0,"Malacocottus gibber","no"
"560","Pterygotrigla ryukyuensis","Pterygotrigla ryukyuensis","species","ACCEPTED","Pterygotrigla ryukyuensis","Pterygotrigla+ryukyuensis","Pterygotrigla ryukyuensis",277052,277052,"Pterygotrigla ryukyuensis","accepted",NA,"Matsubara & Hiyama, 1932","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Pterygotrigla",0,0,"Pterygotrigla ryukyuensis","no"
"561","Lycodapus mandibularis","Lycodapus mandibularis","species","ACCEPTED","Lycodapus mandibularis","Lycodapus+mandibularis","Lycodapus mandibularis",279391,279391,"Lycodapus mandibularis","accepted",NA,"Gilbert, 1915","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodapus",0,0,"Lycodapus mandibularis","yes"
"562","Bothrocarina nigrocaudata","Bothrocarina nigrocaudata","species","ACCEPTED","Bothrocarina nigrocaudata","Bothrocarina+nigrocaudata","Bothrocarina nigrocaudata",279949,279949,"Bothrocarina nigrocaudata","accepted",NA,"Suvorov, 1935","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Bothrocarina",0,0,"Bothrocarina nigrocaudata","no"
"563","Lycodapus parviceps","Lycodapus parviceps","species","ACCEPTED","Lycodapus parviceps","Lycodapus+parviceps","Lycodapus parviceps",279393,279393,"Lycodapus parviceps","accepted",NA,"Gilbert, 1896","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodapus",0,0,"Lycodapus parviceps","yes"
