row_names	input	filtered	denoisedF	denoisedR	merged	merged.1	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
GDS049-Pacific_S49_L001_R1_001.fastq.gz	100914	94247	94013	93167	88400	88400	76429	0	13.5418552036199	75.7367659591335
GDS050-Pacific_S50_L001_R1_001.fastq.gz	109379	102411	102169	101132	99695	99695	77550	0	22.2127488840965	70.9002642189086
GDS051-Pacific_S51_L001_R1_001.fastq.gz	118850	113669	113505	112029	109876	109876	85786	0	21.9247151334231	72.1800588977703
GDS052-Pacific_S52_L001_R1_001.fastq.gz	518	359	318	254	241	241	241	0	0	46.5250965250965
GDS053-Pacific_S53_L001_R1_001.fastq.gz	268	181	155	119	104	104	104	0	0	38.8059701492537
GDS054-Pacific_S54_L001_R1_001.fastq.gz	155839	147427	146616	144147	141871	141871	133148	0	6.14854339505607	85.4394599554669
GDS055-Pacific_S55_L001_R1_001.fastq.gz	151077	145118	144794	143185	141225	141225	136981	0	3.00513365197381	90.6696585185038
GDS056-Pacific_S56_L001_R1_001.fastq.gz	81810	77108	77033	76762	75076	75076	71458	0	4.81911662848313	87.346290184574
GDS057-Pacific_S57_L001_R1_001.fastq.gz	211494	202278	201857	198668	181765	181765	176317	0	2.99727670343576	83.3673768522984
GDS058-Pacific_S58_L001_R1_001.fastq.gz	105900	97173	97090	96736	87803	87803	84415	0	3.85863808753687	79.7119924457035
GDS059-Pacific_S59_L001_R1_001.fastq.gz	64760	60126	59978	59003	48627	48627	46228	0	4.93347317333992	71.3835701050031
GDS060-Pacific_S60_L001_R1_001.fastq.gz	2380	2115	2090	2012	1928	1928	1928	0	0	81.0084033613445
GDS061-Pacific_S61_L001_R1_001.fastq.gz	114590	109712	109672	109334	103659	103659	97914	0	5.54221051717651	85.4472467056462
GDS062-Pacific_S62_L001_R1_001.fastq.gz	103023	96713	96568	96088	93647	93647	76001	0	18.8431022883808	73.7709055259505
GDS063-Pacific_S63_L001_R1_001.fastq.gz	146466	139817	139368	136789	133860	133860	126961	0	5.15389212610189	86.6829161716712
GDS064-Pacific_S64_L001_R1_001.fastq.gz	17134	16135	16090	16012	14833	14833	13843	0	6.67430728780421	80.7925761643516
GDS065-Pacific_S65_L001_R1_001.fastq.gz	3827	3030	2891	2592	434	434	434	0	0	11.3404755683303
GDS066-Pacific_S66_L001_R1_001.fastq.gz	87193	79240	79148	78871	72095	72095	69593	0	3.47042097232818	79.8148933974058
GDS067-Pacific_S67_L001_R1_001.fastq.gz	176586	167672	166550	162548	100822	100822	89925	0	10.8081569498721	50.9241955760932
GDS068-Pacific_S68_L001_R1_001.fastq.gz	143186	136113	135719	133306	131577	131577	127053	0	3.43829088670512	88.7328370092048
GDS069-Pacific_S69_L001_R1_001.fastq.gz	120033	114263	113954	111972	108928	108928	87581	0	19.5973487074031	72.9641015387435
GDS070-Pacific_S70_L001_R1_001.fastq.gz	95183	88518	88231	88087	85369	85369	81392	0	4.65859972589581	85.5110681529265
GDS071-Pacific_S71_L001_R1_001.fastq.gz	114764	109190	108648	107906	105685	105685	100255	0	5.13790982637083	87.357533721376
GDS072-Pacific_S72_L001_R1_001.fastq.gz	90892	85487	85209	82876	80728	80728	77766	0	3.66911108908928	85.5586850327862
GDS073-Pacific_S73_L001_R1_001.fastq.gz	117323	107495	107144	104793	94943	94943	90431	0	4.75232507925809	77.078663177723
GDS074-Pacific_S74_L001_R1_001.fastq.gz	100430	94090	93991	93683	93370	93370	88816	0	4.8773696047981	88.4357263765807
GDS075-Pacific_S75_L001_R1_001.fastq.gz	204	121	86	65	49	49	49	0	0	24.0196078431373
GDS076-Pacific_S76_L001_R1_001.fastq.gz	104073	97079	96955	95906	92851	92851	87481	0	5.78345952116833	84.0573443640522
GDS077-Pacific_S77_L001_R1_001.fastq.gz	89569	85455	85408	85256	83260	83260	77725	0	6.64785010809513	86.7766749656689
GDS078-Pacific_S78_L001_R1_001.fastq.gz	96320	90192	90084	89681	89513	89513	83905	0	6.26501178599756	87.1106727574751
GDS079-Pacific_S79_L001_R1_001.fastq.gz	108281	102175	101969	100299	97328	97328	88542	0	9.02720697024495	81.7705784024898
GDS080-Pacific_S80_L001_R1_001.fastq.gz	310	162	141	116	106	106	106	0	0	34.1935483870968
