found_taxa,worms_sciname,ncbi_species,gbif_name,rank,gbif_status,query,worms_aphiaid,worms_status,unacceptreason,freshwater_only,kingdom,phylum,class,order,family,genus
Platichthys flesus,Platichthys flesus,Platichthys flesus,Platichthys flesus,species,ACCEPTED,Platichthys flesus,127141,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Platichthys
Platichthys bicoloratus,Platichthys bicoloratus,Kareius bicoloratus,Kareius bicoloratus,species,ACCEPTED,Kareius bicoloratus,305689,unaccepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Kareius
Hippoglossoides platessoides,Hippoglossoides platessoides,Hippoglossoides platessoides,Hippoglossoides platessoides,species,ACCEPTED,Hippoglossoides platessoides,127137,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossoides
Microstomus kitt,Microstomus kitt,Microstomus kitt,Microstomus kitt,species,ACCEPTED,Microstomus kitt,127140,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus
Pleuronectes platessa,Pleuronectes platessa,Pleuronectes platessa,Pleuronectes platessa,species,ACCEPTED,Pleuronectes platessa,127143,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes
Glyptocephalus cynoglossus,Glyptocephalus cynoglossus,Glyptocephalus cynoglossus,Glyptocephalus cynoglossus,species,ACCEPTED,Glyptocephalus cynoglossus,127136,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Glyptocephalus
Hippoglossoides elassodon,Hippoglossoides elassodon,Hippoglossoides elassodon,Hippoglossoides elassodon,species,ACCEPTED,Hippoglossoides elassodon,274289,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossoides
Limanda sakhalinensis,Limanda sakhalinensis,Limanda sakhalinensis,Limanda sakhalinensis,species,ACCEPTED,Limanda sakhalinensis,274292,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Limanda
Cleisthenes pinetorum,Cleisthenes pinetorum,Cleisthenes pinetorum,Cleisthenes pinetorum,species,ACCEPTED,Cleisthenes pinetorum,280211,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Cleisthenes
Isopsetta isolepis,Isopsetta isolepis,Isopsetta isolepis,Isopsetta isolepis,species,ACCEPTED,Isopsetta isolepis,281189,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Isopsetta
Psettichthys melanostictus,Psettichthys melanostictus,Psettichthys melanostictus,Psettichthys melanostictus,species,ACCEPTED,Psettichthys melanostictus,282396,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Psettichthys
Parophrys vetulus,Parophrys vetulus,Parophrys vetulus,Parophrys vetulus,species,ACCEPTED,Parophrys vetulus,254393,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Parophrys
Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,species,ACCEPTED,Pleuronectes quadrituberculatus,254564,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes
Cleisthenes herzensteini,NA,Cleisthenes herzensteini,Cleisthenes herzensteini,species,ACCEPTED,Cleisthenes herzensteini,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Cleisthenes
Microstomus achne,Microstomus achne,Microstomus achne,Microstomus achne,species,ACCEPTED,Microstomus achne,274293,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus
Hippoglossoides dubius,Hippoglossoides dubius,Hippoglossoides dubius,Hippoglossoides dubius,species,ACCEPTED,Hippoglossoides dubius,274288,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossoides
Hippoglossoides robustus,Hippoglossoides robustus,Hippoglossoides robustus,Hippoglossoides robustus,species,ACCEPTED,Hippoglossoides robustus,254561,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossoides
Pseudopleuronectes americanus,Pseudopleuronectes americanus,Pseudopleuronectes americanus,Pseudopleuronectes americanus,species,ACCEPTED,Pseudopleuronectes americanus,158885,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes
Limanda limanda,Limanda limanda,Limanda limanda,Limanda limanda,species,ACCEPTED,Limanda limanda,127139,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Limanda
Lepidopsetta bilineata,Lepidopsetta bilineata,Lepidopsetta bilineata,Lepidopsetta bilineata,species,ACCEPTED,Lepidopsetta bilineata,281305,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Lepidopsetta
Limanda aspera,Limanda aspera,Limanda aspera,Limanda aspera,species,ACCEPTED,Limanda aspera,254562,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Limanda
Lepidopsetta mochigarei,Lepidopsetta mochigarei,Lepidopsetta mochigarei,Lepidopsetta mochigarei,species,ACCEPTED,Lepidopsetta mochigarei,281306,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Lepidopsetta
Lepidopsetta polyxystra,Lepidopsetta polyxystra,Lepidopsetta polyxystra,Lepidopsetta polyxystra,species,ACCEPTED,Lepidopsetta polyxystra,281307,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Lepidopsetta
Acanthopsetta nadeshnyi,Acanthopsetta nadeshnyi,Acanthopsetta nadeshnyi,Acanthopsetta nadeshnyi,species,ACCEPTED,Acanthopsetta nadeshnyi,279481,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Acanthopsetta
Hippoglossus hippoglossus,Hippoglossus hippoglossus,Hippoglossus hippoglossus,Hippoglossus hippoglossus,species,ACCEPTED,Hippoglossus hippoglossus,127138,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossus
Pseudopleuronectes obscurus,Pseudopleuronectes obscurus,Pseudopleuronectes obscurus,Pseudopleuronectes obscurus,species,ACCEPTED,Pseudopleuronectes obscurus,275358,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes
Pseudopleuronectes yokohamae,Pseudopleuronectes yokohamae,Pseudopleuronectes yokohamae,Pseudopleuronectes yokohamae,species,ACCEPTED,Pseudopleuronectes yokohamae,275360,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes
Hippoglossus stenolepis,Hippoglossus stenolepis,Hippoglossus stenolepis,Hippoglossus stenolepis,species,ACCEPTED,Hippoglossus stenolepis,274290,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossus
Nesiarchus nasutus,Nesiarchus nasutus,Nesiarchus nasutus,Nesiarchus nasutus,species,ACCEPTED,Nesiarchus nasutus,126865,accepted,NA,0,Animalia,Chordata,Teleostei,Scombriformes,Gempylidae,Nesiarchus
Lyopsetta exilis,Lyopsetta exilis,Lyopsetta exilis,Lyopsetta exilis,species,ACCEPTED,Lyopsetta exilis,281452,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Lyopsetta
Pseudopleuronectes herzensteini,Pseudopleuronectes herzensteini,Pseudopleuronectes herzensteini,Pseudopleuronectes herzensteini,species,ACCEPTED,Pseudopleuronectes herzensteini,275357,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes
Glyptocephalus kitaharae,Glyptocephalus kitaharae,Glyptocephalus kitaharae,Glyptocephalus kitaharae,species,SYNONYM,Glyptocephalus kitaharae,1605268,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Glyptocephalus
Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,species,ACCEPTED,Reinhardtius hippoglossoides,127144,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Reinhardtius
Pseudopleuronectes schrenki,Pseudopleuronectes schrenki,Pseudopleuronectes schrenki,Pseudopleuronectes schrenki,species,ACCEPTED,Pseudopleuronectes schrenki,275359,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes
Verasper moseri,Verasper moseri,Verasper moseri,Verasper moseri,species,ACCEPTED,Verasper moseri,283141,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Verasper
Myzopsetta punctatissima,NA,Myzopsetta punctatissima,NA,NA,NA,Myzopsetta punctatissima,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Myzopsetta
Verasper variegatus,Verasper variegatus,Verasper variegatus,Verasper variegatus,species,ACCEPTED,Verasper variegatus,283142,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Verasper
Clidoderma asperrimum,Clidoderma asperrimum,Clidoderma asperrimum,Clidoderma asperrimum,species,ACCEPTED,Clidoderma asperrimum,280216,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Clidoderma
Dexistes rikuzenius,Dexistes rikuzenius,Dexistes rikuzenius,Dexistes rikuzenius,species,ACCEPTED,Dexistes rikuzenius,280516,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Dexistes
Microstomus bathybius,Microstomus bathybius,Embassichthys bathybius,Embassichthys bathybius,species,ACCEPTED,Embassichthys bathybius,305684,unaccepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Embassichthys
Eopsetta jordani,Eopsetta jordani,Eopsetta jordani,Eopsetta jordani,species,ACCEPTED,Eopsetta jordani,280690,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Eopsetta
Eopsetta grigorjewi,Eopsetta grigorjewi,Eopsetta grigorjewi,Eopsetta grigorjewi,species,ACCEPTED,Eopsetta grigorjewi,280689,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Eopsetta
Pleuronichthys cornutus,Pleuronichthys cornutus,Pleuronichthys cornutus,Pleuronichthys cornutus,species,ACCEPTED,Pleuronichthys cornutus,282291,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronichthys
Pleuronichthys lighti,NA,Pleuronichthys lighti,Pleuronichthys lighti,species,SYNONYM,Pleuronichthys lighti,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronichthys
Pleuronichthys japonicus,NA,Pleuronichthys japonicus,Pleuronichthys japonicus,species,ACCEPTED,Pleuronichthys japonicus,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronichthys
Pleuronichthys guttulatus,Pleuronichthys guttulatus,Hypsopsetta guttulata,Hypsopsetta guttulata,species,ACCEPTED,Hypsopsetta guttulata,293680,unaccepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hypsopsetta
Paralichthys californicus,Paralichthys californicus,Paralichthys californicus,Paralichthys californicus,species,ACCEPTED,Paralichthys californicus,275809,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys
Paralichthys albigutta,Paralichthys albigutta,Paralichthys albigutta,Paralichthys albigutta,species,ACCEPTED,Paralichthys albigutta,158825,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys
Pleuronichthys ritteri,Pleuronichthys ritteri,Pleuronichthys ritteri,Pleuronichthys ritteri,species,ACCEPTED,Pleuronichthys ritteri,282294,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronichthys
Paralichthys adspersus,Paralichthys adspersus,Paralichthys adspersus,Paralichthys adspersus,species,ACCEPTED,Paralichthys adspersus,275806,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys
Atheresthes stomias,Atheresthes stomias,Atheresthes stomias,Atheresthes stomias,species,ACCEPTED,Atheresthes stomias,279792,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Atheresthes
Atheresthes evermanni,Atheresthes evermanni,Atheresthes evermanni,Atheresthes evermanni,species,ACCEPTED,Atheresthes evermanni,279791,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Atheresthes
Xystreurys liolepis,Xystreurys liolepis,Xystreurys liolepis,Xystreurys liolepis,species,ACCEPTED,Xystreurys liolepis,283199,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Xystreurys
Hippoglossina oblonga,Hippoglossina oblonga,Hippoglossina oblonga,Hippoglossina oblonga,species,ACCEPTED,Hippoglossina oblonga,158833,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Hippoglossina
Pleuronichthys coenosus,Pleuronichthys coenosus,Pleuronichthys coenosus,Pleuronichthys coenosus,species,ACCEPTED,Pleuronichthys coenosus,282290,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronichthys
Pleuronichthys decurrens,Pleuronichthys decurrens,Pleuronichthys decurrens,Pleuronichthys decurrens,species,ACCEPTED,Pleuronichthys decurrens,282292,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronichthys
Paralichthys dentatus,Paralichthys dentatus,Paralichthys dentatus,Paralichthys dentatus,species,ACCEPTED,Paralichthys dentatus,158826,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys
Pleuronichthys verticalis,Pleuronichthys verticalis,Pleuronichthys verticalis,Pleuronichthys verticalis,species,ACCEPTED,Pleuronichthys verticalis,282295,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronichthys
Paralichthys lethostigma,Paralichthys lethostigma,Paralichthys lethostigma,Paralichthys lethostigma,species,ACCEPTED,Paralichthys lethostigma,158829,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys
Eleutheronema tetradactylum,Eleutheronema tetradactylum,Eleutheronema tetradactylum,Eleutheronema tetradactylum,species,ACCEPTED,Eleutheronema tetradactylum,280639,accepted,NA,0,Animalia,Chordata,Teleostei,Carangaria incertae sedis,Polynemidae,Eleutheronema
Xiphias gladius,Xiphias gladius,Xiphias gladius,Xiphias gladius,species,ACCEPTED,Xiphias gladius,127094,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Xiphiidae,Xiphias
Paralichthys squamilentus,Paralichthys squamilentus,Paralichthys squamilentus,Paralichthys squamilentus,species,ACCEPTED,Paralichthys squamilentus,158827,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys
Tetrapturus angustirostris,Tetrapturus angustirostris,Tetrapturus angustirostris,Tetrapturus angustirostris,species,ACCEPTED,Tetrapturus angustirostris,219734,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Istiophoridae,Tetrapturus
Micropterus salmoides,Micropterus salmoides,Micropterus salmoides,Micropterus salmoides,species,ACCEPTED,Micropterus salmoides,151295,accepted,NA,1,Animalia,Chordata,Teleostei,Centrarchiformes,Centrarchidae,Micropterus
Istiophorus platypterus,Istiophorus platypterus,Istiophorus platypterus,Istiophorus platypterus,species,ACCEPTED,Istiophorus platypterus,158812,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Istiophoridae,Istiophorus
Cephalopholis cyanostigma,Cephalopholis cyanostigma,Cephalopholis cyanostigma,Cephalopholis cyanostigma,species,ACCEPTED,Cephalopholis cyanostigma,279147,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Cephalopholis
Kajikia albida,Kajikia albida,Kajikia albida,Kajikia albida,species,ACCEPTED,Kajikia albida,712906,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Istiophoridae,Kajikia
Kajikia audax,Kajikia audax,Kajikia audax,Kajikia audax,species,ACCEPTED,Kajikia audax,712907,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Istiophoridae,Kajikia
Tetrapturus georgii,Tetrapturus georgii,Tetrapturus georgii,Tetrapturus georgii,species,ACCEPTED,Tetrapturus georgii,126953,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Istiophoridae,Tetrapturus
Tetrapturus belone,Tetrapturus belone,Tetrapturus belone,Tetrapturus belone,species,ACCEPTED,Tetrapturus belone,126952,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Istiophoridae,Tetrapturus
Tetrapturus pfluegeri,Tetrapturus pfluegeri,Tetrapturus pfluegeri,Tetrapturus pfluegeri,species,ACCEPTED,Tetrapturus pfluegeri,126954,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Istiophoridae,Tetrapturus
Makaira nigricans,Makaira nigricans,Makaira nigricans,Makaira nigricans,species,ACCEPTED,Makaira nigricans,126950,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Istiophoridae,Makaira
Istiophorus albicans,Istiophorus albicans,Istiophorus albicans,Istiophorus albicans,species,ACCEPTED,Istiophorus albicans,126949,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Istiophoridae,Istiophorus
Makaira mazara,Makaira mazara,Makaira mazara,Makaira mazara,species,ACCEPTED,Makaira mazara,219729,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Istiophoridae,Makaira
Istiompax indica,Istiompax indica,Istiompax indica,Istiompax indica,species,ACCEPTED,Istiompax indica,712905,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Istiophoridae,Istiompax
Ctenopoma acutirostre,Ctenopoma acutirostre,Ctenopoma acutirostre,Ctenopoma acutirostre,species,ACCEPTED,Ctenopoma acutirostre,1019019,accepted,NA,1,Animalia,Chordata,Teleostei,Anabantiformes,Anabantidae,Ctenopoma
Tetrapturus sp. JRM-2006,NA,Tetrapturus sp. JRM-2006,NA,NA,NA,Tetrapturus sp. JRM-2006,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Carangiformes,Istiophoridae,Tetrapturus
Micropterus dolomieu,Micropterus dolomieu,Micropterus dolomieu,Micropterus dolomieu,species,ACCEPTED,Micropterus dolomieu,151296,accepted,NA,1,Animalia,Chordata,Teleostei,Centrarchiformes,Centrarchidae,Micropterus
Micropterus salmoides salmoides,NA,Micropterus salmoides salmoides,NA,NA,NA,Micropterus salmoides salmoides,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Centrarchiformes,Centrarchidae,Micropterus
Micropterus floridanus,Micropterus floridanus,Micropterus floridanus,Micropterus floridanus,species,ACCEPTED,Micropterus floridanus,1022760,accepted,NA,1,Animalia,Chordata,Teleostei,Centrarchiformes,Centrarchidae,Micropterus
Micropterus punctulatus,Micropterus punctulatus,Micropterus punctulatus,Micropterus punctulatus,species,ACCEPTED,Micropterus punctulatus,1030583,accepted,NA,1,Animalia,Chordata,Teleostei,Centrarchiformes,Centrarchidae,Micropterus
Micropterus,Micropterus,Micropterus punctulatus,Micropterus punctulatus,species,ACCEPTED,Micropterus punctulatus,151294,unaccepted,NA,1,Animalia,Chordata,Teleostei,Centrarchiformes,Centrarchidae,Micropterus
Micropterus treculii,Micropterus treculii,Micropterus treculii,Micropterus treculii,species,ACCEPTED,Micropterus treculii,1463308,accepted,NA,1,Animalia,Chordata,Teleostei,Centrarchiformes,Centrarchidae,Micropterus
Mastacembelus flavidus,Mastacembelus flavidus,Mastacembelus flavidus,Mastacembelus flavidus,species,ACCEPTED,Mastacembelus flavidus,1013668,accepted,NA,1,Animalia,Chordata,Teleostei,Synbranchiformes,Mastacembelidae,Mastacembelus
Mastacembelus albomaculatus,Mastacembelus albomaculatus,Mastacembelus albomaculatus,Mastacembelus albomaculatus,species,ACCEPTED,Mastacembelus albomaculatus,1014100,accepted,NA,1,Animalia,Chordata,Teleostei,Synbranchiformes,Mastacembelidae,Mastacembelus
Alectis ciliaris,Alectis ciliaris,Alectis indica,Alectis indica,species,ACCEPTED,Alectis indica,159629,unaccepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Alectis
Alectis indica,Alectis indica,Alectis indica,Alectis indica,species,ACCEPTED,Alectis indica,401562,accepted,NA,0,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Alectis
Cephalopholis boenak,Cephalopholis boenak,Cephalopholis boenak,Cephalopholis boenak,species,ACCEPTED,Cephalopholis boenak,218182,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Cephalopholis
Cephalopholis microprion,Cephalopholis microprion,Cephalopholis microprion,Cephalopholis microprion,species,ACCEPTED,Cephalopholis microprion,279150,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Cephalopholis
Eleutheronema rhadinum,Eleutheronema rhadinum,Eleutheronema rhadinum,Eleutheronema rhadinum,species,ACCEPTED,Eleutheronema rhadinum,280638,accepted,NA,0,Animalia,Chordata,Teleostei,Carangaria incertae sedis,Polynemidae,Eleutheronema
Pseudobalistes naufragium,Pseudobalistes naufragium,Pseudobalistes naufragium,Pseudobalistes naufragium,species,ACCEPTED,Pseudobalistes naufragium,279161,accepted,NA,0,Animalia,Chordata,Teleostei,Tetraodontiformes,Balistidae,Pseudobalistes
Osphronemus goramy,Osphronemus goramy,Osphronemus goramy,Osphronemus goramy,species,ACCEPTED,Osphronemus goramy,281942,accepted,NA,0,Animalia,Chordata,Teleostei,Anabantiformes,Osphronemidae,Osphronemus
Scophthalmus aquosus,Scophthalmus aquosus,Scophthalmus aquosus,Scophthalmus aquosus,species,ACCEPTED,Scophthalmus aquosus,158907,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus
Mastacembelus micropectus,Mastacembelus micropectus,Mastacembelus micropectus,Mastacembelus micropectus,species,ACCEPTED,Mastacembelus micropectus,1013667,accepted,NA,1,Animalia,Chordata,Teleostei,Synbranchiformes,Mastacembelidae,Mastacembelus
Mastacembelus ellipsifer,Mastacembelus ellipsifer,Mastacembelus ellipsifer,Mastacembelus ellipsifer,species,ACCEPTED,Mastacembelus ellipsifer,1019002,accepted,NA,1,Animalia,Chordata,Teleostei,Synbranchiformes,Mastacembelidae,Mastacembelus
Mene maculata,Mene maculata,Mene maculata,Mene maculata,species,ACCEPTED,Mene maculata,218450,accepted,NA,0,Animalia,Chordata,Teleostei,Carangaria incertae sedis,Menidae,Mene
Cephalopholis formosa,Cephalopholis formosa,Cephalopholis formosa,Cephalopholis formosa,species,ACCEPTED,Cephalopholis formosa,218190,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Cephalopholis
Plectranthias sheni,Plectranthias sheni,Plectranthias sheni,Plectranthias sheni,species,ACCEPTED,Plectranthias sheni,279026,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Plectranthias
Balistes capriscus,Balistes capriscus,Balistes capriscus,Balistes capriscus,species,ACCEPTED,Balistes capriscus,154721,accepted,NA,0,Animalia,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistes
Etheostoma proeliare,Etheostoma proeliare,Etheostoma proeliare,Etheostoma proeliare,species,ACCEPTED,Etheostoma proeliare,1466593,accepted,NA,1,Animalia,Chordata,Teleostei,Perciformes,Percidae,Etheostoma
Pseudorhombus arsius,Pseudorhombus arsius,Pseudorhombus arsius,Pseudorhombus arsius,species,ACCEPTED,Pseudorhombus arsius,220051,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Pseudorhombus
Pseudorhombus cinnamoneus,Pseudorhombus cinnamoneus,Pseudorhombus cinnamoneus,Pseudorhombus cinnamoneus,species,ACCEPTED,Pseudorhombus cinnamoneus,277075,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Pseudorhombus
Chelidonichthys spinosus,Chelidonichthys spinosus,Chelidonichthys spinosus,Chelidonichthys spinosus,species,ACCEPTED,Chelidonichthys spinosus,274878,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Chelidonichthys
Anabas testudineus,Anabas testudineus,Anabas testudineus,Anabas testudineus,species,ACCEPTED,Anabas testudineus,279597,accepted,NA,0,Animalia,Chordata,Teleostei,Anabantiformes,Anabantidae,Anabas
Mastacembelus tanganicae,Mastacembelus tanganicae,Mastacembelus tanganicae,Mastacembelus tanganicae,species,ACCEPTED,Mastacembelus tanganicae,1019359,accepted,NA,1,Animalia,Chordata,Teleostei,Synbranchiformes,Mastacembelidae,Mastacembelus
Gempylus serpens,Gempylus serpens,Gempylus serpens,Gempylus serpens,species,ACCEPTED,Gempylus serpens,126862,accepted,NA,0,Animalia,Chordata,Teleostei,Scombriformes,Gempylidae,Gempylus
Etropus microstomus,Etropus microstomus,Etropus microstomus,Etropus microstomus,species,ACCEPTED,Etropus microstomus,158801,accepted,NA,0,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Etropus
Sillago ingenuua,Sillago ingenuua,Sillago ingenuua,Sillago ingenuua,species,ACCEPTED,Sillago ingenuua,273942,accepted,NA,0,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sillaginidae,Sillago
Altrichthys azurelineatus,Altrichthys azurelineatus,Altrichthys azurelineatus,Altrichthys azurelineatus,species,ACCEPTED,Altrichthys azurelineatus,279570,accepted,NA,0,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Altrichthys
Etheostoma fonticola,Etheostoma fonticola,Etheostoma fonticola,Etheostoma fonticola,species,ACCEPTED,Etheostoma fonticola,1019817,accepted,NA,1,Animalia,Chordata,Teleostei,Perciformes,Percidae,Etheostoma
Eutrigla gurnardus,Eutrigla gurnardus,Eutrigla gurnardus,Eutrigla gurnardus,species,ACCEPTED,Eutrigla gurnardus,150637,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Eutrigla
Stereolepis doederleini,Stereolepis doederleini,Stereolepis doederleini,Stereolepis doederleini,species,ACCEPTED,Stereolepis doederleini,282883,accepted,NA,0,Animalia,Chordata,Teleostei,Acropomatiformes,Polyprionidae,Stereolepis
Ambloplites rupestris,Ambloplites rupestris,Ambloplites rupestris,Ambloplites rupestris,species,ACCEPTED,Ambloplites rupestris,151293,accepted,NA,1,Animalia,Chordata,Teleostei,Centrarchiformes,Centrarchidae,Ambloplites
Chelidonichthys kumu,Chelidonichthys kumu,Chelidonichthys kumu,Chelidonichthys kumu,species,ACCEPTED,Chelidonichthys kumu,218122,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Chelidonichthys
Satyrichthys welchi,Satyrichthys welchi,Satyrichthys welchi,Satyrichthys welchi,species,ACCEPTED,Satyrichthys welchi,276950,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Peristediidae,Satyrichthys
Serranidae sp. JL-2015,NA,Serranidae sp. JL-2015,NA,NA,NA,Serranidae sp. JL-2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serranidae
