#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV149	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV150	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV151	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV152	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV153	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV155	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV156	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV157	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV158	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV159	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV160	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV161	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV162	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV163	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV164	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV165	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV166	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV167	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV168	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV169	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV170	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV171	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV172	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV173	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV174	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV175	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV176	kingdom	Bacteria	Bacteria	no identification	no identification	no identification	no identification	no identification	no identification	lca
ASV177	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV178	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV179	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV181	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV182	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV183	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV184	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV185	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV186	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV187	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV188	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV189	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV190	kingdom	Bacteria	Bacteria	no identification	no identification	no identification	no identification	no identification	no identification	lca
ASV191	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV192	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV193	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV194	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV195	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV196	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV197	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV198	order	Gadiformes	Eukaryota	Chordata	Actinopteri	Gadiformes	no identification	no identification	no identification	lca
ASV199	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV200	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV201	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV202	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV203	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV204	order	Gadiformes	Eukaryota	Chordata	Actinopteri	Gadiformes	no identification	no identification	no identification	lca
ASV205	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV206	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV207	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV208	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV209	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV210	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV212	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV213	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV214	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV215	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV216	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV217	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV218	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV219	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV220	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV221	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV222	family	Clupeidae	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	no identification	no identification	lca
ASV223	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV224	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV225	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV226	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV227	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV228	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV229	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV230	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV231	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV232	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV233	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV234	order	Burkholderiales	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	no identification	no identification	no identification	lca
ASV235	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
