#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV4479	species	Bathyraja spinicauda	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Arhynchobatidae	Bathyraja	Bathyraja spinicauda	best hit
ASV4481	species	Earleria	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Mitrocomidae	unknown genus	Earleria	best hit
ASV4483	species	Tubulanus lutescens	Eukaryota	Nemertea	Palaeonemertea	unknown order	Tubulanidae	Tubulanus	Tubulanus lutescens	best hit
ASV4490	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV4492	species	Praya dubia	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Prayidae	Praya	Praya dubia	best hit
ASV4533	species	Oncorhynchus kisutch	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus kisutch	best hit
ASV4539	species	Chordata	Eukaryota	unknown phylum	unknown class	unknown order	unknown family	unknown genus	Chordata	best hit
ASV4542	species	Ammodytes personatus	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes personatus	best hit
ASV4549	species	uncultured Kareniaceae	Eukaryota	Dinophyceae	Dinophyceae	Gymnodiniales	Kareniaceae	unknown genus	uncultured Kareniaceae	best hit
ASV4570	species	uncultured Kareniaceae	Eukaryota	Dinophyceae	Dinophyceae	Gymnodiniales	Kareniaceae	unknown genus	uncultured Kareniaceae	best hit
ASV4596	species	Oncorhynchus gorbuscha	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus gorbuscha	best hit
ASV4602	genus	Chromatonema	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Tiarannidae	Chromatonema	no identification	lca
ASV4613	species	Cottus asper	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Cottus	Cottus asper	best hit
ASV4632	genus	Dokdonia	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Dokdonia	no identification	lca
ASV4653	species	Polaribacter sp. Hel1_33_78	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter sp. Hel1_33_78	best hit
ASV467	species	Chuniphyes multidentata	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Clausophyidae	Chuniphyes	Chuniphyes multidentata	best hit
ASV4679	phylum	Cnidaria	Eukaryota	Cnidaria	no identification	no identification	no identification	no identification	no identification	lca
ASV4708	species	Grammonema striatula	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Grammonema	Grammonema striatula	best hit
ASV4753	species	Protoptilum carpenteri	Eukaryota	Cnidaria	Anthozoa	Pennatulacea	Protoptilidae	Protoptilum	Protoptilum carpenteri	best hit
ASV4755	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV4776	genus	Apolemia	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Apolemiidae	Apolemia	no identification	lca
ASV4786	genus	unknown genus	Eukaryota	Nemertea	Pilidiophora	Heteronemertea	Lineidae	unknown genus	no identification	lca
ASV4829	species	Clausocalanus lividus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus lividus	best hit
ASV4839	species	Pandeidae sp. USNM IZ 1658812	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	unknown genus	Pandeidae sp. USNM IZ 1658812	best hit
ASV4869	species	uncultured Kareniaceae	Eukaryota	Dinophyceae	Dinophyceae	Gymnodiniales	Kareniaceae	unknown genus	uncultured Kareniaceae	best hit
ASV4884	species	Cymatogaster aggregata	Eukaryota	Chordata	Actinopteri	unknown order	Embiotocidae	Cymatogaster	Cymatogaster aggregata	best hit
ASV4912	genus	Solmissus	Eukaryota	Cnidaria	Hydrozoa	Narcomedusae	Cuninidae	Solmissus	no identification	lca
ASV4919	species	Virgularia tuberculata	Eukaryota	Cnidaria	Anthozoa	Pennatulacea	Virgulariidae	Virgularia	Virgularia tuberculata	best hit
ASV492	species	Megaptera novaeangliae	Eukaryota	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Megaptera	Megaptera novaeangliae	best hit
ASV4923	species	Paraphelliactis xishaensis	Eukaryota	Cnidaria	Anthozoa	Actiniaria	Hormathiidae	Paraphelliactis	Paraphelliactis xishaensis	best hit
ASV4926	genus	Aequorea	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Aequorea	no identification	lca
ASV4946	genus	Cladosporium	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	no identification	lca
ASV4980	species	Caprella mutica	Eukaryota	Arthropoda	Malacostraca	Amphipoda	Caprellidae	Caprella	Caprella mutica	best hit
ASV4984	species	Hexagrammos decagrammus	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos decagrammus	best hit
ASV5029	species	Anoplopoma fimbria	Eukaryota	Chordata	Actinopteri	Perciformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	best hit
ASV5046	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV5057	species	Clupea pallasii	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV5088	species	uncultured Kareniaceae	Eukaryota	Dinophyceae	Dinophyceae	Gymnodiniales	Kareniaceae	unknown genus	uncultured Kareniaceae	best hit
ASV5131	species	Vibrio metschnikovii	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio metschnikovii	best hit
ASV514	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV5159	class	Anthozoa	Eukaryota	Cnidaria	Anthozoa	no identification	no identification	no identification	no identification	lca
ASV5166	genus	Apolemia	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Apolemiidae	Apolemia	no identification	lca
ASV5169	species	Corolla spectabilis	Eukaryota	Mollusca	Gastropoda	Pteropoda	Cymbuliidae	Corolla	Corolla spectabilis	best hit
ASV5182	genus	Dokdonia	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Dokdonia	no identification	lca
ASV5184	species	Halipteris californica	Eukaryota	Cnidaria	Anthozoa	Pennatulacea	Halipteridae	Halipteris	Halipteris californica	best hit
ASV519	species	Aureococcus anophagefferens	Eukaryota	Pelagophyceae	Pelagophyceae	Pelagomonadales	unknown family	Aureococcus	Aureococcus anophagefferens	best hit
ASV5194	family	Saprolegniaceae	Eukaryota	Oomycota	unknown class	Saprolegniales	Saprolegniaceae	no identification	no identification	lca
ASV5196	species	uncultured Kareniaceae	Eukaryota	Dinophyceae	Dinophyceae	Gymnodiniales	Kareniaceae	unknown genus	uncultured Kareniaceae	best hit
