"","accepted_name","verbatim_name","taxonomic_status","species","subspecies","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","fishbase_name"
"190","Pseudobatos leucorhynchus","Pseudobatos leucorhynchus","accepted","Pseudobatos leucorhynchus",NA,"species","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Pseudobatos",TRUE,FALSE,FALSE,1043484,NA,"Pseudobatos leucorhynchus"
"191","Priacanthus alalaua","Priacanthus alalaua","accepted","Priacanthus alalaua",NA,"species","Actinopteri","Eupercaria incertae sedis","Priacanthidae","Priacanthus",TRUE,FALSE,FALSE,273763,NA,"Priacanthus alalaua"
"192","Emblemaria walkeri","Emblemaria walkeri","accepted","Emblemaria walkeri",NA,"species","Actinopteri","Blenniiformes","Chaenopsidae","Emblemaria",TRUE,FALSE,FALSE,280657,NA,"Emblemaria walkeri"
"193","Kyphosus lutescens","Kyphosus lutescens","accepted","Kyphosus lutescens",NA,"species","Actinopteri","Centrarchiformes","Kyphosidae","Kyphosus",TRUE,FALSE,FALSE,273523,NA,"Kyphosus lutescens"
"194","Malacoctenus margaritae","Malacoctenus margaritae","accepted","Malacoctenus margaritae",NA,"species","Actinopteri","Blenniiformes","Labrisomidae","Malacoctenus",TRUE,FALSE,FALSE,281501,NA,"Malacoctenus margaritae"
"195","Rypticus courtenayi","Rypticus courtenayi","accepted","Rypticus courtenayi",NA,"species","Actinopteri","Perciformes","Serranidae","Rypticus",TRUE,FALSE,FALSE,275960,NA,"Rypticus courtenayi"
"196","Chaenopsis coheni","Chaenopsis coheni","accepted","Chaenopsis coheni",NA,"species","Actinopteri","Blenniiformes","Chaenopsidae","Chaenopsis",TRUE,FALSE,FALSE,280103,NA,"Chaenopsis coheni"
"197","Dactyloscopus byersi","Dactyloscopus byersi","accepted","Dactyloscopus byersi",NA,"species","Actinopteri","Blenniiformes","Dactyloscopidae","Dactyloscopus",TRUE,FALSE,FALSE,276395,NA,"Dactyloscopus byersorum"
"198","Paraclinus altivelis","Paraclinus altivelis","accepted","Paraclinus altivelis",NA,"species","Actinopteri","Blenniiformes","Labrisomidae","Paraclinus",TRUE,FALSE,FALSE,282015,NA,"Paraclinus altivelis"
"199","Umbrina dorsalis","Umbrina dorsalis","accepted","Umbrina dorsalis",NA,"species","Actinopteri","Eupercaria incertae sedis","Sciaenidae","Umbrina",TRUE,FALSE,FALSE,273797,NA,"Umbrina dorsalis"
