species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id
Pandalus jordani,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,515469,515469,15889,397977
Pandalus dispar,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,1337983,1337983,NA,397964
Pandalus borealis,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,107649,107649,19213,6703
Carcinus maenas,NA,Species,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,TRUE,TRUE,FALSE,107381,107381,28231,6759
Pandalus hypsinotus,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,515467,515467,9232,242778
Pandalus platyceros,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,423632,423632,15894,263425
Pandalus danae,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,515462,515462,15897,397975
Heteropolypus ritteri,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Heteropolypus,TRUE,NA,FALSE,724715,724715,NA,NA
Metacarcinus gracilis,NA,Species,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,TRUE,FALSE,FALSE,440387,440387,201873,88206
Cancer productus,NA,Species,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,TRUE,FALSE,FALSE,440382,440382,15841,88209
Metacarcinus magister,NA,Species,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,TRUE,FALSE,FALSE,440388,440388,201717,29965
Panopea generosa,NA,Species,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Panopea,TRUE,FALSE,FALSE,545994,545994,652946,1049056
Pisaster ochraceus,NA,Species,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,TRUE,FALSE,FALSE,240755,240755,25299,7612
Umbellula lindahli,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Umbellulidae,Umbellula,TRUE,FALSE,FALSE,128531,128531,516144,NA
Farrea occa,NA,Species,Porifera,Hexactinellida,Sceptrulophora,Farreidae,Farrea,TRUE,FALSE,FALSE,134391,134391,NA,97977
Ostrea lurida,NA,Species,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,TRUE,NA,NA,542155,542155,600784,627230
Callistephanus pacificus,NA,Species,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,Callistephanus,TRUE,NA,FALSE,1567760,1567760,NA,NA
Trissopathes pseudotristicha,NA,Species,Cnidaria,Anthozoa,Antipatharia,Cladopathidae,Trissopathes,TRUE,NA,NA,291243,291243,304537,639602
Rossia pacifica,NA,Species,Mollusca,Cephalopoda,Sepiida,Sepiolidae,Rossia,TRUE,NA,FALSE,346432,346432,26419,70207
Nanomia bijuga,NA,Species,Cnidaria,Hydrozoa,Siphonophorae,Agalmatidae,Nanomia,TRUE,FALSE,FALSE,135495,135495,24321,168759
Metridia pacifica,NA,Species,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,TRUE,FALSE,FALSE,196784,196784,28710,114067
Mitrocoma cellularia,NA,Species,Cnidaria,Hydrozoa,Leptothecata,Mitrocomidae,Mitrocoma,TRUE,FALSE,FALSE,292350,292350,NA,31874
Pandalus goniurus,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,254483,254483,19210,397976
Balticina californica,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Balticinidae,Balticina,TRUE,FALSE,FALSE,1392940,1392940,NA,NA
Strongylocentrotus fragilis,NA,Species,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,TRUE,FALSE,FALSE,569742,569742,254806,86255
Neocrangon communis,NA,Species,Arthropoda,Malacostraca,Decapoda,Crangonidae,Neocrangon,TRUE,FALSE,FALSE,423552,423552,606066,NA
Eucalanus bungii,NA,Species,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,TRUE,FALSE,FALSE,196775,196775,14421,121138
Acartia (Acartiura) longiremis,NA,Species,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,TRUE,FALSE,FALSE,346037,346037,NA,NA
Eusergestes similis,NA,Species,Arthropoda,Malacostraca,Decapoda,Sergestidae,Eusergestes,TRUE,FALSE,FALSE,514127,514127,606087,NA
Neocalanus plumchrus,NA,Species,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,TRUE,FALSE,FALSE,196772,196772,32386,119370
Neocalanus cristatus,NA,Species,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,TRUE,FALSE,FALSE,104470,104470,24528,119368
Parasagitta elegans,NA,Species,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,TRUE,FALSE,FALSE,105440,105440,216061,1562708
Calanus pacificus,NA,Species,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,TRUE,FALSE,FALSE,196771,196771,31238,84301
Paragorgia pacifica,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Paragorgia,TRUE,FALSE,FALSE,517887,517887,516133,1825780
Scolecithricella minor,Scolecithricella minor minor,Subspecies,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,TRUE,FALSE,FALSE,104811,1509944,NA,NA
Pasiphaea pacifica,NA,Species,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,TRUE,FALSE,FALSE,514245,514245,8410,397987
Poeobius meseres,NA,Species,Annelida,Polychaeta,Terebellida,Flabelligeridae,Poeobius,TRUE,FALSE,FALSE,330855,330855,201269,307605
Florometra serratissima,NA,Species,Echinodermata,Crinoidea,Comatulida,Antedonidae,Florometra,TRUE,FALSE,FALSE,714272,714272,13001,73431
Aglantha digitale,NA,Species,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,TRUE,NA,FALSE,117849,117849,303016,56245
Heterochone calyx,NA,Species,Porifera,Hexactinellida,Sceptrulophora,Aphrocallistidae,Heterochone,TRUE,FALSE,FALSE,171636,171636,245636,367901
Patiria miniata,NA,Species,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,TRUE,FALSE,FALSE,382131,382131,166465,46514
Oithona similis,NA,Species,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,TRUE,TRUE,TRUE,106656,106656,142599,324873
Rathbunaster californicus,NA,Species,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Rathbunaster,TRUE,FALSE,FALSE,254844,254844,30073,105876
Euphausia pacifica,NA,Species,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,TRUE,NA,NA,237851,237851,30905,102976
Limacina helicina,NA,Species,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,TRUE,NA,NA,140223,140223,30719,220647
Calanus marshallae,NA,Species,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,TRUE,FALSE,FALSE,196770,196770,31234,136139
Balanus glandula,NA,Species,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,TRUE,NA,NA,394848,394848,27883,110520
Lepeophtheirus salmonis,Lepeophtheirus salmonis salmonis,Subspecies,Arthropoda,Copepoda,Siphonostomatoida,Caligidae,Lepeophtheirus,TRUE,FALSE,FALSE,135782,762378,NA,1504303
Pannychia moseleyi,NA,Species,Echinodermata,Holothuroidea,Elasipodida,Laetmogonidae,Pannychia,TRUE,FALSE,FALSE,241954,241954,140291,396330
Themisto pacifica,NA,Species,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,TRUE,FALSE,FALSE,254453,254453,754994,1307125
Katharina tunicata,NA,Species,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Katharina,TRUE,NA,NA,386338,386338,30133,34587
Dimophyes arctica,NA,Species,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Dimophyes,TRUE,FALSE,FALSE,135418,135418,263625,645386
Paraeuchaeta elongata,NA,Species,Arthropoda,Copepoda,Calanoida,Euchaetidae,Paraeuchaeta,TRUE,FALSE,FALSE,196779,196779,310773,1707830
Callistephanus simplex,NA,Species,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,Callistephanus,TRUE,NA,FALSE,1608733,1608733,NA,NA
Callistephanus kofoidi,NA,Species,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,Callistephanus,TRUE,NA,FALSE,1608731,1608731,NA,NA
Stylaster parageus,NA,Species,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,TRUE,NA,FALSE,592250,592250,NA,NA
Strongylocentrotus purpuratus,NA,Species,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,TRUE,FALSE,FALSE,240747,240747,27321,7668
Oithona atlantica,NA,Species,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,TRUE,TRUE,TRUE,106642,106642,142598,1145023
Mytilus californianus,NA,Species,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,TRUE,NA,NA,367837,367837,33413,6549
Clione limacina,NA,Species,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,TRUE,NA,NA,139178,139178,30720,71516
Luidia foliolata,NA,Species,Echinodermata,Asteroidea,Paxillosida,Luidiidae,Luidia,TRUE,FALSE,FALSE,368114,368114,32894,105861
Stylaster californicus,NA,Species,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,TRUE,NA,FALSE,285860,285860,317270,520389
Cryptochiton stelleri,NA,Species,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,TRUE,FALSE,FALSE,240776,240776,30128,6655
Spirontocaris holmesi,NA,Species,Arthropoda,Malacostraca,Decapoda,Thoridae,Spirontocaris,TRUE,FALSE,FALSE,515330,515330,15453,397993
Munida quadrispina,NA,Species,Arthropoda,Malacostraca,Decapoda,Munididae,Munida,TRUE,FALSE,FALSE,392422,392422,8462,177235
Mesocentrotus franciscanus,NA,Species,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,TRUE,FALSE,FALSE,591102,591102,NA,1328066
Cyphocaris challengeri,NA,Species,Arthropoda,Malacostraca,Amphipoda,Cyphocarididae,Cyphocaris,TRUE,FALSE,FALSE,428630,428630,809289,NA
Aphrocallistes vastus,NA,Species,Porifera,Hexactinellida,Sceptrulophora,Aphrocallistidae,Aphrocallistes,TRUE,FALSE,FALSE,171632,171632,25624,83887
Primnoa pacifica,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Primnoa,TRUE,NA,FALSE,286539,286539,514206,328425
Pseudocalanus minutus,NA,Species,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,TRUE,FALSE,FALSE,104517,104517,32380,148993
Ditrichocorycaeus anglicus,NA,Species,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus,TRUE,TRUE,FALSE,128805,128805,683860,1582896
Eukrohnia hamata,NA,Species,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,TRUE,FALSE,FALSE,105416,105416,216108,58920
Pseudocalanus newmani,NA,Species,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,TRUE,FALSE,FALSE,157679,157679,32378,119373
Ruditapes philippinarum,NA,Species,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,TRUE,NA,FALSE,231750,231750,508061,129788
Pseudocalanus moultoni,NA,Species,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,TRUE,FALSE,FALSE,157678,157678,32379,119372
Balticina willemoesi,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Balticinidae,Balticina,TRUE,FALSE,FALSE,1393616,1393616,NA,NA
Centropages abdominalis,NA,Species,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,TRUE,FALSE,FALSE,196774,196774,31019,207955
Chionoecetes bairdi,NA,Species,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,TRUE,FALSE,FALSE,368558,368558,8500,232428
Pisaster giganteus,NA,Species,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,TRUE,FALSE,FALSE,240758,240758,164341,189915
Berryteuthis magister,NA,Species,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Berryteuthis,TRUE,NA,FALSE,342286,342286,25496,294704
Poecillastra tenuilaminaris,NA,Species,Porifera,Demospongiae,Tetractinellida,Vulcanellidae,Poecillastra,TRUE,FALSE,FALSE,170268,170268,NA,NA
Doryteuthis opalescens,NA,Species,Mollusca,Cephalopoda,Myopsida,Loliginidae,Doryteuthis,TRUE,FALSE,FALSE,574540,574540,462355,1051066
Pennatula phosphorea,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Pennatulidae,Pennatula,TRUE,FALSE,FALSE,128517,128517,381305,1150262
Microcalanus pygmaeus,NA,Species,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus,TRUE,FALSE,FALSE,104513,104513,766660,201645
Tomopteris septentrionalis,NA,Species,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,TRUE,FALSE,FALSE,131568,131568,526524,NA
Aetideus divergens,NA,Species,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus,TRUE,FALSE,FALSE,346076,346076,518636,NA
Chionoecetes tanneri,NA,Species,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,TRUE,FALSE,FALSE,442165,442165,8499,262399
Chromoplexaura marki,NA,Species,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,Chromoplexaura,TRUE,NA,FALSE,724231,724231,NA,1917407
Pycnopodia helianthoides,NA,Species,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,TRUE,FALSE,FALSE,240764,240764,82338,7614
Haliotis rufescens,NA,Species,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,TRUE,FALSE,FALSE,445357,445357,28759,6454
Mya arenaria,NA,Species,Mollusca,Bivalvia,Myida,Myidae,Mya,TRUE,NA,NA,140430,140430,30912,6604
Bathydorus spinosus,NA,Species,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Bathydorus,TRUE,FALSE,FALSE,172036,172036,246024,472226
Microcalanus pusillus,NA,Species,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus,TRUE,FALSE,FALSE,157675,157675,142589,NA
Apostichopus leukothele,NA,Species,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,TRUE,FALSE,FALSE,529431,529431,NA,2497127
Haliclona (Flagellia) edaphus,NA,Species,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,TRUE,FALSE,FALSE,1036226,1036226,NA,NA
Paracalanus indicus,NA,Species,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,TRUE,FALSE,FALSE,104683,104683,652985,883820
Chthamalus dalli,NA,Species,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,TRUE,NA,NA,423276,423276,27415,116181
Pandalus tridens,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,423633,423633,15880,98109
Anthoptilum grandiflorum,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Anthoptilidae,Anthoptilum,TRUE,FALSE,FALSE,128504,128504,395043,1150258
Leptogorgia chilensis,NA,Species,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,Leptogorgia,TRUE,NA,FALSE,286222,286222,172753,44243
Thysanoessa spinifera,NA,Species,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,TRUE,NA,NA,237874,237874,82128,329973
Thenea muricata,NA,Species,Porifera,Demospongiae,Tetractinellida,Theneidae,Thenea,TRUE,FALSE,FALSE,134106,134106,238902,281725
Swiftia torreyi,NA,Species,Cnidaria,Anthozoa,Malacalcyonacea,Plexauridae,Swiftia,TRUE,FALSE,FALSE,1036552,1036552,514322,NA
Ptilosarcus gurneyi,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Pennatulidae,Ptilosarcus,TRUE,FALSE,FALSE,290947,290947,349039,161601
Cyanea capillata,NA,Species,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea,TRUE,NA,NA,135301,135301,83386,27804
Primno abyssalis,NA,Species,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Primno,TRUE,FALSE,FALSE,421603,421603,109659,NA
Rhabdocalyptus dawsoni,NA,Species,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Rhabdocalyptus,TRUE,FALSE,FALSE,574368,574368,103788,472225
Thysanoessa longipes,NA,Species,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,TRUE,NA,NA,237873,237873,82023,210625
Stylasterias forreri,NA,Species,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Stylasterias,TRUE,FALSE,FALSE,255062,255062,30116,136953
Pollicipes polymerus,NA,Species,Arthropoda,Thecostraca,Pollicipedomorpha,Pollicipedidae,Pollicipes,TRUE,NA,NA,535329,535329,14067,36137
Semibalanus cariosus,NA,Species,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,TRUE,NA,NA,594746,594746,NA,261876
Magallana gigas,NA,Species,Mollusca,Bivalvia,Ostreida,Ostreidae,Magallana,TRUE,TRUE,NA,836033,836033,799831,2171618
Racovitzanus antarcticus,NA,Species,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Racovitzanus,TRUE,FALSE,FALSE,104784,104784,152194,503076
Crangon alaskensis,NA,Species,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,TRUE,FALSE,FALSE,515542,515542,8486,397943
Oithona setigera,Oithona setigera setigera,Subspecies,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,TRUE,FALSE,FALSE,106655,734517,NA,NA
Botrylloides violaceus,NA,Species,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,TRUE,NA,FALSE,148715,148715,NA,581057
Candacia columbiae,NA,Species,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia,TRUE,FALSE,FALSE,349800,349800,809286,507445
Apostichopus californicus,NA,Species,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,TRUE,FALSE,FALSE,529363,529363,280721,2032702
Chorilia longipes,NA,Species,Arthropoda,Malacostraca,Decapoda,Epialtidae,Chorilia,TRUE,FALSE,FALSE,441520,441520,8351,397940
Gonatopsis borealis,NA,Species,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatopsis,TRUE,NA,FALSE,342326,342326,25505,93049
Pisaster brevispinus,NA,Species,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,TRUE,FALSE,FALSE,240757,240757,104577,7611
Ctenodiscus crispatus,NA,Species,Echinodermata,Asteroidea,Paxillosida,Ctenodiscidae,Ctenodiscus,TRUE,FALSE,FALSE,123915,123915,99738,232941
Triconia borealis,NA,Species,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia,TRUE,FALSE,FALSE,128956,128956,684042,2056981
Caligus clemensi,NA,Species,Arthropoda,Copepoda,Siphonostomatoida,Caligidae,Caligus,TRUE,FALSE,FALSE,349592,349592,83469,344056
Farrea truncata,NA,Species,Porifera,Hexactinellida,Sceptrulophora,Farreidae,Farrea,TRUE,FALSE,FALSE,747394,747394,NA,NA
Mesocalanus tenuicornis,NA,Species,Arthropoda,Copepoda,Calanoida,Calanidae,Mesocalanus,TRUE,FALSE,FALSE,104468,104468,32384,149013
Parastenella ramosa,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Parastenella,TRUE,NA,FALSE,290684,290684,514195,1239273
Discoconchoecia elegans,NA,Species,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Discoconchoecia,TRUE,NA,FALSE,127782,127782,249212,702397
Chrysaora melanaster,NA,Species,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,TRUE,FALSE,FALSE,287209,287209,302997,168724
Mediaster aequalis,NA,Species,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,TRUE,FALSE,FALSE,242160,242160,13244,136944
Hippasteria phrygiana,NA,Species,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Hippasteria,TRUE,FALSE,FALSE,124043,124043,193686,1277726
Glebocarcinus oregonensis,NA,Species,Arthropoda,Malacostraca,Decapoda,Cancridae,Glebocarcinus,TRUE,FALSE,FALSE,440384,440384,606042,1842845
Grandidierella japonica,NA,Species,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,TRUE,NA,NA,238740,238740,675367,429032
Thysanoessa inspinata,NA,Species,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,TRUE,NA,NA,237872,237872,NA,NA
Oikopleura (Vexillaria) labradoriensis,NA,Species,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,TRUE,NA,NA,103413,103413,NA,NA
Thysanoessa inermis,NA,Species,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,TRUE,NA,NA,110708,110708,310776,210626
Paragorgia arborea,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Paragorgia,TRUE,FALSE,FALSE,125418,125418,506141,318094
Streblospio benedicti,NA,Species,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,TRUE,FALSE,TRUE,131191,131191,32479,95538
Arcuatula senhousia,NA,Species,Mollusca,Bivalvia,Mytilida,Mytilidae,Arcuatula,TRUE,FALSE,FALSE,505946,505946,799824,1954227
Heterorhabdus tanneri,NA,Species,Arthropoda,Copepoda,Calanoida,Heterorhabdidae,Heterorhabdus,TRUE,FALSE,FALSE,196782,196782,809291,507446
Psolus squamatus,NA,Species,Echinodermata,Holothuroidea,Dendrochirotida,Psolidae,Psolus,TRUE,FALSE,FALSE,124713,124713,223033,NA
Fusitriton oregonensis,NA,Species,Mollusca,Gastropoda,Littorinimorpha,Cymatiidae,Fusitriton,TRUE,NA,NA,476496,476496,159206,160012
Eualus suckleyi,NA,Species,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,TRUE,FALSE,FALSE,423366,423366,9048,397952
Iophon piceum,Iophon piceum pacificum,Subspecies,Porifera,Demospongiae,Poecilosclerida,Acarnidae,Iophon,TRUE,FALSE,FALSE,132972,167416,NA,NA
Chiridius gracilis,NA,Species,Arthropoda,Copepoda,Calanoida,Aetideidae,Chiridius,TRUE,FALSE,FALSE,104290,104290,152170,503050
Gaetanus minutus,NA,Species,Arthropoda,Copepoda,Calanoida,Aetideidae,Gaetanus,TRUE,FALSE,FALSE,346489,346489,152216,503030
Scina borealis,NA,Species,Arthropoda,Malacostraca,Amphipoda,Scinidae,Scina,TRUE,FALSE,FALSE,103278,103278,754999,472204
Harmothoe imbricata,NA,Species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,TRUE,FALSE,FALSE,130769,130769,177382,61848
Crassadoma gigantea,NA,Species,Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma,TRUE,FALSE,FALSE,240774,240774,261132,50415
Fritillaria borealis,NA,Species,Chordata,Appendicularia,Copelata,Fritillariidae,Fritillaria,TRUE,FALSE,FALSE,103375,103375,NA,2507563
Hemigrapsus oregonensis,NA,Species,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,TRUE,NA,NA,444778,444778,99594,106767
Oregonia gracilis,NA,Species,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Oregonia,TRUE,FALSE,FALSE,442171,442171,72586,553030
Isidella tentaculum,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Keratoisididae,Isidella,TRUE,NA,FALSE,582522,582522,514081,553415
Paracalanus parvus,Paracalanus parvus parvus,Subspecies,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,TRUE,FALSE,FALSE,104685,745865,NA,NA
Gemma gemma,NA,Species,Mollusca,Bivalvia,Venerida,Veneridae,Gemma,TRUE,NA,NA,156803,156803,80274,345461
Macoma petalum,NA,Species,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,TRUE,FALSE,FALSE,397131,397131,104964,425103
Branchinecta lynchi,NA,Species,Arthropoda,Branchiopoda,Anostraca,Branchinectidae,Branchinecta,NA,NA,TRUE,1214291,1214291,200048,577405
Heteromastus filiformis,NA,Species,Annelida,Polychaeta,NA,Capitellidae,Heteromastus,TRUE,FALSE,TRUE,129884,129884,370305,397554
Botryllus schlosseri,NA,Species,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,TRUE,NA,FALSE,103862,103862,28455,30301
Aegina citrea,NA,Species,Cnidaria,Hydrozoa,Narcomedusae,Aeginidae,Aegina,TRUE,FALSE,FALSE,117263,117263,NA,168710
Telmessus cheiragonus,NA,Species,Arthropoda,Malacostraca,Decapoda,Cheiragonidae,Telmessus,TRUE,FALSE,FALSE,254360,254360,25184,324081
Haliotis kamtschatkana,NA,Species,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,TRUE,FALSE,FALSE,405014,405014,26564,6457
Callogorgia kinoshitai,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Callogorgia,TRUE,FALSE,FALSE,1055877,1055877,NA,NA
Metridium farcimen,NA,Species,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,TRUE,NA,NA,283704,283704,293136,NA
Alitta succinea,NA,Species,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,TRUE,TRUE,TRUE,234850,234850,285932,981110
Micronephthys cornuta,NA,Species,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Micronephthys,TRUE,FALSE,FALSE,869884,869884,NA,NA
Enteroctopus dofleini,NA,Species,Mollusca,Cephalopoda,Octopoda,Enteroctopodidae,Enteroctopus,TRUE,NA,FALSE,342305,342305,160577,267067
Pentametrocrinus paucispinulus,NA,Species,Echinodermata,Crinoidea,Comatulida,Pentametrocrinidae,Pentametrocrinus,TRUE,FALSE,FALSE,472848,472848,NA,NA
Typhloscolex muelleri,NA,Species,Annelida,Polychaeta,Phyllodocida,Typhloscolecidae,Typhloscolex,TRUE,FALSE,FALSE,131582,131582,302999,588352
Poralia rufescens,NA,Species,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Poralia,TRUE,FALSE,FALSE,135310,135310,NA,880239
Megathura crenulata,NA,Species,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Megathura,TRUE,FALSE,FALSE,527885,527885,261137,55429
Hyalascus farallonesensis,NA,Species,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Hyalascus,TRUE,FALSE,FALSE,1296926,1296926,NA,NA
Paracrangon echinata,NA,Species,Arthropoda,Malacostraca,Decapoda,Crangonidae,Paracrangon,TRUE,FALSE,FALSE,515591,515591,99588,2172746
Crossaster papposus,NA,Species,Echinodermata,Asteroidea,Valvatida,Solasteridae,Crossaster,TRUE,FALSE,FALSE,124154,124154,32889,60567
Eualus barbatus,NA,Species,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,TRUE,FALSE,FALSE,515222,515222,15787,397949
Tortanus (Boreotortanus) discaudatus,NA,Species,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,TRUE,FALSE,FALSE,720592,720592,NA,NA
Pseudocalanus mimus,NA,Species,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,TRUE,FALSE,FALSE,355067,355067,13704,163483
