species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id
Astarte esquimalti,NA,Species,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,TRUE,NA,NA,423165,423165,600755,NA
Dendrobeania lichenoides,NA,Species,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Dendrobeania,TRUE,FALSE,FALSE,469234,469234,808584,2172686
Lanassa venusta,NA,Species,Annelida,Polychaeta,Terebellida,Terebellidae,Lanassa,TRUE,FALSE,FALSE,131494,131494,598192,NA
Paralvinella sulfincola,NA,Species,Annelida,Polychaeta,Terebellida,Alvinellidae,Paralvinella,TRUE,FALSE,FALSE,334364,334364,666778,644278
Ophiophthalmus normani,NA,Species,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiacanthidae,Ophiophthalmus,TRUE,FALSE,FALSE,245720,245720,219257,NA
Rictaxis punctocaelatus,NA,Species,Mollusca,Gastropoda,NA,Acteonidae,Rictaxis,TRUE,NA,NA,581391,581391,370516,431599
Foxiphalus obtusidens,NA,Species,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Foxiphalus,TRUE,FALSE,FALSE,548802,548802,370398,NA
Keenocardium blandum,NA,Species,Mollusca,Bivalvia,Cardiida,Cardiidae,Keenocardium,TRUE,FALSE,FALSE,381984,381984,495437,1421199
Onuphis elegans,NA,Species,Annelida,Polychaeta,Eunicida,Onuphidae,Onuphis,TRUE,FALSE,FALSE,334273,334273,170533,318793
Littorina keenae,NA,Species,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,TRUE,NA,NA,445651,445651,80582,45751
Flustrellidra corniculata,NA,Species,Bryozoa,Gymnolaemata,Ctenostomatida,Flustrellidridae,Flustrellidra,TRUE,FALSE,FALSE,111620,111620,802871,NA
Aoroides intermedius,NA,Species,Arthropoda,Malacostraca,Amphipoda,Aoridae,Aoroides,TRUE,NA,NA,488686,488686,314184,2304702
Lepeta concentrica,NA,Species,Mollusca,Gastropoda,NA,Lepetidae,Lepeta,TRUE,FALSE,FALSE,527810,527810,NA,NA
Akanthophoreus phillipsi,NA,Species,Arthropoda,Malacostraca,Tanaidacea,Akanthophoreidae,Akanthophoreus,TRUE,NA,NA,478741,478741,NA,NA
Gastropteron pacificum,NA,Species,Mollusca,Gastropoda,Cephalaspidea,Gastropteridae,Gastropteron,TRUE,NA,NA,511956,511956,387496,1421124
Euchirella rostrata,NA,Species,Arthropoda,Copepoda,Calanoida,Aetideidae,Euchirella,TRUE,FALSE,FALSE,104303,104303,152218,503028
Solamen columbianum,NA,Species,Mollusca,Bivalvia,Mytilida,Mytilidae,Solamen,TRUE,NA,NA,506181,506181,370519,NA
Anobothrus gracilis,NA,Species,Annelida,Polychaeta,Terebellida,Ampharetidae,Anobothrus,TRUE,FALSE,FALSE,129789,129789,516036,194193
Eremicaster pacificus,NA,Species,Echinodermata,Asteroidea,Paxillosida,Porcellanasteridae,Eremicaster,TRUE,FALSE,FALSE,234904,234904,140208,868590
Psolus chitonoides,NA,Species,Echinodermata,Holothuroidea,Dendrochirotida,Psolidae,Psolus,TRUE,FALSE,FALSE,247772,247772,33449,42201
Caprella laeviuscula,NA,Species,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,TRUE,FALSE,FALSE,430857,430857,386293,2304704
Siliqua lucida,NA,Species,Mollusca,Bivalvia,Adapedonta,Pharidae,Siliqua,TRUE,NA,NA,536683,536683,NA,NA
Tegula funebralis,NA,Species,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,TRUE,NA,NA,534190,534190,296223,80350
Scalibregma inflatum,NA,Species,Annelida,Polychaeta,NA,Scalibregmatidae,Scalibregma,TRUE,FALSE,FALSE,130980,130980,214519,195275
Protankyra brychia,NA,Species,Echinodermata,Holothuroidea,Apodida,Synaptidae,Protankyra,TRUE,FALSE,FALSE,183372,183372,NA,NA
Pteraster militaris,NA,Species,Echinodermata,Asteroidea,Velatida,Pterasteridae,Pteraster,TRUE,FALSE,FALSE,124147,124147,112291,331099
Clavularia grandiflora,NA,Species,Cnidaria,Anthozoa,Malacalcyonacea,Clavulariidae,Clavularia,TRUE,NA,FALSE,286025,286025,514092,NA
Pseudoamallothrix ovata,NA,Species,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Pseudoamallothrix,TRUE,FALSE,FALSE,345251,345251,NA,NA
Chone duneri,NA,Species,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,TRUE,FALSE,FALSE,130888,130888,306743,NA
Didemnum lahillei,NA,Species,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,TRUE,NA,FALSE,103569,103569,NA,NA
Crucigera zygophora,NA,Species,Annelida,Polychaeta,Sabellida,Serpulidae,Crucigera,TRUE,FALSE,FALSE,332723,332723,160497,356928
Lirularia lirulata,NA,Species,Mollusca,Gastropoda,Trochida,Trochidae,Lirularia,TRUE,NA,NA,528718,528718,722701,NA
Thysanocardia nigra,NA,Species,Annelida,NA,Sipuncula,Golfingiidae,Thysanocardia,TRUE,FALSE,FALSE,266470,266470,216490,210808
Nereis latescens,NA,Species,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,TRUE,FALSE,FALSE,329673,329673,NA,NA
