found_taxa,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,region
Sebastes helvomaculatus,Sebastes helvomaculatus,accepted,Sebastes helvomaculatus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274799,274799,10710,72079,Aleutian Islands
Gymnocanthus pistilliger,Gymnocanthus pistilliger,accepted,Gymnocanthus pistilliger,NA,species,Actinopteri,Perciformes,Cottidae,Gymnocanthus,TRUE,FALSE,FALSE,254519,254519,465584,1176151,Aleutian Islands
Beringraja stellulata,Beringraja stellulata,accepted,Beringraja stellulata,NA,species,Elasmobranchii,Rajiformes,Rajidae,Beringraja,TRUE,FALSE,FALSE,1461135,1461135,NA,NA,Aleutian Islands
Sebastes aurora,Sebastes aurora,accepted,Sebastes aurora,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274774,274774,33926,72058,Aleutian Islands
Gadus chalcogrammus,Gadus chalcogrammus,accepted,Gadus chalcogrammus,NA,species,Actinopteri,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,300735,300735,360473,1042646,Gulf of Alaska
Hippoglossoides elassodon,Hippoglossoides elassodon,accepted,Hippoglossoides elassodon,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossoides,TRUE,FALSE,FALSE,274289,274289,15397,30945,Gulf of Alaska
Ammodytes hexapterus,Ammodytes hexapterus,accepted,Ammodytes hexapterus,NA,species,Actinopteri,Perciformes,Ammodytidae,Ammodytes,TRUE,TRUE,FALSE,254510,254510,101085,476914,Gulf of Alaska
Gadus macrocephalus,Gadus macrocephalus,accepted,Gadus macrocephalus,NA,species,Actinopteri,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,254538,254538,19837,80720,Gulf of Alaska
Stenobrachius leucopsarus,Stenobrachius leucopsarus,accepted,Stenobrachius leucopsarus,NA,species,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,TRUE,FALSE,FALSE,254363,254363,33993,91658,Gulf of Alaska
Atheresthes stomias,Atheresthes stomias,accepted,Atheresthes stomias,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Atheresthes,TRUE,FALSE,FALSE,279792,279792,11835,428034,Gulf of Alaska
Glyptocephalus zachirus,Glyptocephalus zachirus,accepted,Glyptocephalus zachirus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Glyptocephalus,TRUE,FALSE,FALSE,274287,274287,17183,195612,Gulf of Alaska
Microstomus pacificus,Microstomus pacificus,accepted,Microstomus pacificus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Microstomus,TRUE,FALSE,FALSE,274294,274294,11827,89058,Gulf of Alaska
Mallotus villosus,Mallotus villosus,accepted,Mallotus villosus,NA,species,Actinopteri,Osmeriformes,Osmeridae,Mallotus,TRUE,TRUE,TRUE,126735,126735,34580,30960,Gulf of Alaska
Hexagrammos decagrammus,Hexagrammos decagrammus,accepted,Hexagrammos decagrammus,NA,species,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,240732,240732,33916,274741,Gulf of Alaska
Lepidopsetta polyxystra,Lepidopsetta polyxystra,accepted,Lepidopsetta polyxystra,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Lepidopsetta,TRUE,FALSE,FALSE,281307,281307,101140,433389,Gulf of Alaska
Hippoglossus stenolepis,Hippoglossus stenolepis,accepted,Hippoglossus stenolepis,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossus,TRUE,FALSE,FALSE,274290,274290,60118,195615,Gulf of Alaska
Lepidopsetta bilineata,Lepidopsetta bilineata,accepted,Lepidopsetta bilineata,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Lepidopsetta,TRUE,FALSE,FALSE,281305,281305,33919,NA,Gulf of Alaska
Platichthys stellatus,Platichthys stellatus,accepted,Platichthys stellatus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Platichthys,TRUE,TRUE,TRUE,154781,154781,33910,195632,Gulf of Alaska
Leuroglossus schmidti,Leuroglossus schmidti,accepted,Leuroglossus schmidti,NA,species,Actinopteri,Argentiniformes,Bathylagidae,Leuroglossus,TRUE,FALSE,FALSE,254551,254551,99720,557346,Gulf of Alaska
Anoplopoma fimbria,Anoplopoma fimbria,accepted,Anoplopoma fimbria,NA,species,Actinopteri,Perciformes,Anoplopomatidae,Anoplopoma,TRUE,FALSE,FALSE,159463,159463,13145,229290,Gulf of Alaska
Cryptacanthodes aleutensis,Cryptacanthodes aleutensis,accepted,Cryptacanthodes aleutensis,NA,species,Actinopteri,Perciformes,Cryptacanthodidae,Cryptacanthodes,TRUE,FALSE,FALSE,276390,276390,11136,557343,Gulf of Alaska
Hemilepidotus hemilepidotus,Hemilepidotus hemilepidotus,accepted,Hemilepidotus hemilepidotus,NA,species,Actinopteri,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,254521,254521,125589,433390,Gulf of Alaska
Bathyagonus alascanus,Bathyagonus alascanus,accepted,Bathyagonus alascanus,NA,species,Actinopteri,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254503,254503,101083,433408,Gulf of Alaska
Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,accepted,Pleuronectes quadrituberculatus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronectes,TRUE,FALSE,FALSE,254564,254564,122622,641111,Gulf of Alaska
Leptoclinus maculatus,Leptoclinus maculatus,accepted,Leptoclinus maculatus,NA,species,Actinopteri,Perciformes,Stichaeidae,Leptoclinus,TRUE,FALSE,FALSE,127072,127072,34578,980417,Gulf of Alaska
Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,accepted,Oncorhynchus tshawytscha,NA,species,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,158075,158075,10566,74940,Gulf of Alaska
Isopsetta isolepis,Isopsetta isolepis,accepted,Isopsetta isolepis,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,TRUE,FALSE,FALSE,281189,281189,101087,195617,Gulf of Alaska
Zaprora silenus,Zaprora silenus,accepted,Zaprora silenus,NA,species,Actinopteri,Perciformes,Zaproridae,Zaprora,TRUE,FALSE,FALSE,254353,254353,110749,320590,Gulf of Alaska
Artedius harringtoni,Artedius harringtoni,accepted,Artedius harringtoni,NA,species,Actinopteri,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279701,279701,125642,433399,Gulf of Alaska
Sebastes aleutianus,Sebastes aleutianus,accepted,Sebastes aleutianus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274771,274771,10783,214485,Gulf of Alaska
Sebastolobus alascanus,Sebastolobus alascanus,accepted,Sebastolobus alascanus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282740,282740,10767,72110,Gulf of Alaska
Hexagrammos lagocephalus,Hexagrammos lagocephalus,accepted,Hexagrammos lagocephalus,NA,species,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,240735,240735,125616,192377,Gulf of Alaska
Hexagrammos stelleri,Hexagrammos stelleri,accepted,Hexagrammos stelleri,NA,species,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,254545,254545,125577,192378,Gulf of Alaska
Sebastes variabilis,Sebastes variabilis,accepted,Sebastes variabilis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,398442,398442,122200,394707,Gulf of Alaska
Sebastes alutus,Sebastes alutus,accepted,Sebastes alutus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,254573,254573,10785,72055,Gulf of Alaska
Sebastes borealis,Sebastes borealis,accepted,Sebastes borealis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274777,274777,33881,394687,Gulf of Alaska
Poroclinus rothrocki,Poroclinus rothrocki,accepted,Poroclinus rothrocki,NA,species,Actinopteri,Perciformes,Stichaeidae,Poroclinus,TRUE,FALSE,FALSE,254385,254385,14797,557414,Gulf of Alaska
Protomyctophum thompsoni,Protomyctophum thompsoni,accepted,Protomyctophum thompsoni,NA,species,Actinopteri,Myctophiformes,Myctophidae,Protomyctophum,TRUE,FALSE,FALSE,272732,272732,140423,123331,Gulf of Alaska
Sebastes polyspinis,Sebastes polyspinis,accepted,Sebastes polyspinis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274837,274837,140837,394702,Gulf of Alaska
Radulinus asprellus,Radulinus asprellus,accepted,Radulinus asprellus,NA,species,Actinopteri,Perciformes,Cottidae,Radulinus,TRUE,FALSE,FALSE,282541,282541,34012,274768,Gulf of Alaska
Hexagrammos octogrammus,Hexagrammos octogrammus,accepted,Hexagrammos octogrammus,NA,species,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,254544,254544,110864,192375,Gulf of Alaska
Parophrys vetulus,Parophrys vetulus,accepted,Parophrys vetulus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Parophrys,TRUE,FALSE,FALSE,254393,254393,33893,172659,Gulf of Alaska
Pleurogrammus monopterygius,Pleurogrammus monopterygius,accepted,Pleurogrammus monopterygius,NA,species,Actinopteri,Perciformes,Hexagrammidae,Pleurogrammus,TRUE,FALSE,FALSE,282289,282289,110724,192379,Gulf of Alaska
Oncorhynchus keta,Oncorhynchus keta,accepted,Oncorhynchus keta,NA,species,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127183,127183,88757,8018,Gulf of Alaska
Bathylagus pacificus,Bathylagus pacificus,accepted,Bathylagus pacificus,NA,species,Actinopteri,Argentiniformes,Bathylagidae,Bathylagus,TRUE,FALSE,FALSE,272919,272919,91472,557336,Gulf of Alaska
Ronquilus jordani,Ronquilus jordani,accepted,Ronquilus jordani,NA,species,Actinopteri,Perciformes,Bathymasteridae,Ronquilus,TRUE,FALSE,FALSE,282629,282629,11160,428030,Gulf of Alaska
Liparis fucensis,Liparis fucensis,accepted,Liparis fucensis,NA,species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274515,274515,125626,433401,Gulf of Alaska
Squalus acanthias,Squalus acanthias,accepted,Squalus acanthias,NA,species,Elasmobranchii,Squaliformes,Squalidae,Squalus,TRUE,TRUE,FALSE,105923,105923,12653,7797,Gulf of Alaska
Limanda aspera,Limanda aspera,accepted,Limanda aspera,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Limanda,TRUE,FALSE,FALSE,254562,254562,101084,195624,Gulf of Alaska
Ophiodon elongatus,Ophiodon elongatus,accepted,Ophiodon elongatus,NA,species,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,TRUE,FALSE,FALSE,240745,240745,17835,225387,Gulf of Alaska
Lumpenus sagitta,Lumpenus sagitta,accepted,Lumpenus sagitta,NA,species,Actinopteri,Perciformes,Stichaeidae,Lumpenus,TRUE,FALSE,FALSE,254579,254579,13990,428036,Gulf of Alaska
Ruscarius meanyi,Ruscarius meanyi,accepted,Ruscarius meanyi,NA,species,Actinopteri,Perciformes,Cottidae,Ruscarius,TRUE,FALSE,FALSE,282637,282637,NA,459053,Gulf of Alaska
Psettichthys melanostictus,Psettichthys melanostictus,accepted,Psettichthys melanostictus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Psettichthys,TRUE,FALSE,FALSE,282396,282396,33913,195639,Gulf of Alaska
Sebastes babcocki,Sebastes babcocki,accepted,Sebastes babcocki,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274775,274775,10786,72059,Gulf of Alaska
Sebastes variegatus,Sebastes variegatus,accepted,Sebastes variegatus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274863,274863,34014,72106,Gulf of Alaska
Oncorhynchus nerka,Oncorhynchus nerka,accepted,Oncorhynchus nerka,NA,species,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,254569,254569,88747,8023,Gulf of Alaska
Ammodytes personatus,Ammodytes personatus,accepted,Ammodytes personatus,NA,species,Actinopteri,Perciformes,Ammodytidae,Ammodytes,TRUE,FALSE,FALSE,272967,272967,201830,215382,Gulf of Alaska
Bathyagonus infraspinatus,Bathyagonus infraspinatus,accepted,Bathyagonus infraspinatus,NA,species,Actinopteri,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254504,254504,34013,557335,Gulf of Alaska
Sebastes ruberrimus,Sebastes ruberrimus,accepted,Sebastes ruberrimus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274844,274844,10776,72098,Gulf of Alaska
Bathymaster signatus,Bathymaster signatus,accepted,Bathymaster signatus,NA,species,Actinopteri,Perciformes,Bathymasteridae,Bathymaster,TRUE,FALSE,FALSE,254513,254513,101098,274808,Gulf of Alaska
Somniosus pacificus,Somniosus pacificus,accepted,Somniosus pacificus,NA,species,Elasmobranchii,Squaliformes,Somniosidae,Somniosus,TRUE,FALSE,FALSE,271654,271654,33997,305516,Gulf of Alaska
Hemilepidotus jordani,Hemilepidotus jordani,accepted,Hemilepidotus jordani,NA,species,Actinopteri,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,254522,254522,101090,274759,Gulf of Alaska
Lumpenella longirostris,Lumpenella longirostris,accepted,Lumpenella longirostris,NA,species,Actinopteri,Perciformes,Stichaeidae,Lumpenella,TRUE,FALSE,FALSE,254351,254351,11193,557408,Gulf of Alaska
Sebastes zacentrus,Sebastes zacentrus,accepted,Sebastes zacentrus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274869,274869,10784,72108,Gulf of Alaska
Dasycottus setiger,Dasycottus setiger,accepted,Dasycottus setiger,NA,species,Actinopteri,Perciformes,Psychrolutidae,Dasycottus,TRUE,FALSE,FALSE,280488,280488,101082,274783,Gulf of Alaska
Embassichthys bathybius,Embassichthys bathybius,accepted,Embassichthys bathybius,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Embassichthys,TRUE,FALSE,FALSE,280641,280641,33932,320376,Gulf of Alaska
Podothecus accipenserinus,Podothecus accipenserinus,accepted,Podothecus accipenserinus,NA,species,Actinopteri,Perciformes,Agonidae,Podothecus,TRUE,FALSE,FALSE,254501,254501,125574,320612,Gulf of Alaska
Anisarchus medius,Anisarchus medius,accepted,Anisarchus medius,NA,species,Actinopteri,Perciformes,Stichaeidae,Anisarchus,TRUE,FALSE,FALSE,127070,127070,59614,980385,Gulf of Alaska
Lamna ditropis,Lamna ditropis,accepted,Lamna ditropis,NA,species,Elasmobranchii,Lamniformes,Lamnidae,Lamna,TRUE,FALSE,FALSE,271421,271421,59204,38578,Gulf of Alaska
Anoplarchus insignis,Anoplarchus insignis,accepted,Anoplarchus insignis,NA,species,Actinopteri,Perciformes,Stichaeidae,Anoplarchus,TRUE,FALSE,FALSE,279632,279632,125605,1225888,Gulf of Alaska
Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,accepted,Reinhardtius hippoglossoides,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Reinhardtius,TRUE,FALSE,FALSE,127144,127144,34619,111784,Gulf of Alaska
Oncorhynchus kisutch,Oncorhynchus kisutch,accepted,Oncorhynchus kisutch,NA,species,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127184,127184,23772,8019,Gulf of Alaska
Malacocottus zonurus,Malacocottus zonurus,accepted,Malacocottus zonurus,NA,species,Actinopteri,Perciformes,Psychrolutidae,Malacocottus,TRUE,FALSE,FALSE,254406,254406,10681,200682,Gulf of Alaska
Clupea pallasii,Clupea pallasii,accepted,Clupea pallasii,NA,species,Actinopteri,Clupeiformes,Clupeidae,Clupea,TRUE,TRUE,TRUE,151159,151159,33891,30724,Gulf of Alaska
Sebastes proriger,Sebastes proriger,accepted,Sebastes proriger,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274838,274838,10779,394703,Gulf of Alaska
Sebastes ciliatus,Sebastes ciliatus,accepted,Sebastes ciliatus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274782,274782,140880,72065,Gulf of Alaska
Antimora microlepis,Antimora microlepis,accepted,Antimora microlepis,NA,species,Actinopteri,Gadiformes,Moridae,Antimora,TRUE,FALSE,FALSE,272460,272460,33886,497157,Gulf of Alaska
Thaleichthys pacificus,Thaleichthys pacificus,accepted,Thaleichthys pacificus,NA,species,Actinopteri,Osmeriformes,Osmeridae,Thaleichthys,TRUE,TRUE,TRUE,282959,282959,10698,240832,Gulf of Alaska
Triglops pingelii,Triglops pingelii,accepted,Triglops pingelii,NA,species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,127207,127207,89115,433391,Gulf of Alaska
Myoxocephalus polyacanthocephalus,Myoxocephalus polyacanthocephalus,accepted,Myoxocephalus polyacanthocephalus,NA,species,Actinopteri,Perciformes,Cottidae,Myoxocephalus,TRUE,FALSE,FALSE,254528,254528,101094,238839,Gulf of Alaska
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,accepted,Oncorhynchus gorbuscha,NA,species,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127182,127182,48257,8017,Gulf of Alaska
Icelinus borealis,Icelinus borealis,accepted,Icelinus borealis,NA,species,Actinopteri,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281133,281133,101081,433388,Gulf of Alaska
Beringraja rhina,Beringraja rhina,accepted,Beringraja rhina,NA,species,Elasmobranchii,Rajiformes,Rajidae,Beringraja,TRUE,FALSE,FALSE,1461133,1461133,NA,NA,Gulf of Alaska
Stichaeus punctatus,Stichaeus punctatus,accepted,Stichaeus punctatus,NA,species,Actinopteri,Perciformes,Stichaeidae,Stichaeus,TRUE,FALSE,FALSE,159819,159819,72892,980344,Gulf of Alaska
Leptocottus armatus,Leptocottus armatus,accepted,Leptocottus armatus,NA,species,Actinopteri,Perciformes,Cottidae,Leptocottus,TRUE,TRUE,FALSE,254345,254345,59606,214925,Gulf of Alaska
Lycodes brevipes,Lycodes brevipes,accepted,Lycodes brevipes,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,254595,254595,34010,433387,Gulf of Alaska
Bathyraja interrupta,Bathyraja interrupta,accepted,Bathyraja interrupta,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271515,271515,33927,341244,Gulf of Alaska
Hemitripterus bolini,Hemitripterus bolini,accepted,Hemitripterus bolini,NA,species,NA,Scorpaeniformes,Hemitripteridae,Hemitripterus,TRUE,FALSE,FALSE,254541,254541,140829,470227,Gulf of Alaska
Hemilepidotus spinosus,Hemilepidotus spinosus,accepted,Hemilepidotus spinosus,NA,species,Actinopteri,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,279413,279413,125615,271501,Gulf of Alaska
Atheresthes evermanni,Atheresthes evermanni,accepted,Atheresthes evermanni,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Atheresthes,TRUE,FALSE,FALSE,279791,279791,140418,195645,Gulf of Alaska
Psychrolutes paradoxus,Psychrolutes paradoxus,accepted,Psychrolutes paradoxus,NA,species,Actinopteri,Perciformes,Psychrolutidae,Psychrolutes,TRUE,FALSE,FALSE,254566,254566,99721,980342,Gulf of Alaska
Trichodon trichodon,Trichodon trichodon,accepted,Trichodon trichodon,NA,species,Actinopteri,Perciformes,Trichodontidae,Trichodon,TRUE,FALSE,FALSE,283043,283043,34016,209541,Gulf of Alaska
Pungitius pungitius,Pungitius pungitius,accepted,Pungitius pungitius,NA,species,Actinopteri,Perciformes,Gasterosteidae,Pungitius,TRUE,TRUE,TRUE,126507,126507,50670,134920,Gulf of Alaska
Sebastes melanops,Sebastes melanops,accepted,Sebastes melanops,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274817,274817,10711,72085,Gulf of Alaska
Salvelinus malma,Salvelinus malma,accepted,Salvelinus malma,NA,species,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,TRUE,TRUE,TRUE,254570,254570,88751,8039,Gulf of Alaska
Sebastes brevispinis,Sebastes brevispinis,accepted,Sebastes brevispinis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274778,274778,10780,72060,Gulf of Alaska
Bathyraja aleutica,Bathyraja aleutica,accepted,Bathyraja aleutica,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271506,271506,80066,341243,Gulf of Alaska
Beringraja binoculata,Beringraja binoculata,accepted,Beringraja binoculata,NA,species,Elasmobranchii,Rajiformes,Rajidae,Beringraja,TRUE,FALSE,FALSE,1021330,1021330,NA,NA,Gulf of Alaska
Triglops macellus,Triglops macellus,accepted,Triglops macellus,NA,species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,274399,274399,140470,433386,Gulf of Alaska
Cryptacanthodes giganteus,Cryptacanthodes giganteus,accepted,Cryptacanthodes giganteus,NA,species,Actinopteri,Perciformes,Cryptacanthodidae,Cryptacanthodes,TRUE,FALSE,FALSE,276392,276392,125613,433379,Gulf of Alaska
Lyopsetta exilis,Lyopsetta exilis,accepted,Lyopsetta exilis,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Lyopsetta,TRUE,FALSE,FALSE,281452,281452,15399,195626,Gulf of Alaska
Careproctus melanurus,Careproctus melanurus,accepted,Careproctus melanurus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,254549,254549,33941,274785,Gulf of Alaska
Prosopium cylindraceum,Prosopium cylindraceum,accepted,Prosopium cylindraceum,NA,species,Actinopteri,Salmoniformes,Salmonidae,Prosopium,FALSE,TRUE,TRUE,282373,282373,10574,348696,Gulf of Alaska
Gymnocanthus galeatus,Gymnocanthus galeatus,accepted,Gymnocanthus galeatus,NA,species,Actinopteri,Perciformes,Cottidae,Gymnocanthus,TRUE,FALSE,FALSE,254514,254514,101088,980328,Gulf of Alaska
Pholis laeta,Pholis laeta,accepted,Pholis laeta,NA,species,Actinopteri,Perciformes,Pholidae,Pholis,TRUE,FALSE,FALSE,273689,273689,125636,283367,Gulf of Alaska
Microgadus proximus,Microgadus proximus,accepted,Microgadus proximus,NA,species,Actinopteri,Gadiformes,Gadidae,Microgadus,TRUE,TRUE,FALSE,275873,275873,15708,80721,Gulf of Alaska
Paraliparis holomelas,Paraliparis holomelas,accepted,Paraliparis holomelas,NA,species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274583,274583,NA,NA,Gulf of Alaska
Eumicrotremus phrynoides,Eumicrotremus phrynoides,accepted,Eumicrotremus phrynoides,NA,species,Actinopteri,Perciformes,Cyclopteridae,Eumicrotremus,TRUE,FALSE,FALSE,254536,254536,NA,1482665,Gulf of Alaska
Catostomus catostomus,Catostomus catostomus,accepted,Catostomus catostomus,NA,species,Actinopteri,Cypriniformes,Catostomidae,Catostomus,FALSE,TRUE,TRUE,158706,158706,50664,43956,Gulf of Alaska
Sebastolobus altivelis,Sebastolobus altivelis,accepted,Sebastolobus altivelis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282741,282741,33887,8110,Gulf of Alaska
Esox lucius,Esox lucius,accepted,Esox lucius,NA,species,Actinopteri,Esociformes,Esocidae,Esox,FALSE,TRUE,TRUE,154210,154210,29373,8010,Gulf of Alaska
Bathyraja parmifera,Bathyraja parmifera,accepted,Bathyraja parmifera,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271528,271528,81029,341249,Gulf of Alaska
Sebastes crameri,Sebastes crameri,accepted,Sebastes crameri,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274785,274785,10788,72067,Gulf of Alaska
Triglops forficatus,Triglops forficatus,accepted,Triglops forficatus,NA,species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,254530,254530,140840,1573627,Gulf of Alaska
Liparis gibbus,Liparis gibbus,accepted,Liparis gibbus,NA,species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,159526,159526,59638,255718,Gulf of Alaska
Tarletonbeania crenularis,Tarletonbeania crenularis,accepted,Tarletonbeania crenularis,NA,species,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,TRUE,FALSE,FALSE,282927,282927,125484,91660,Gulf of Alaska
Gymnocanthus pistilliger,Gymnocanthus pistilliger,accepted,Gymnocanthus pistilliger,NA,species,Actinopteri,Perciformes,Cottidae,Gymnocanthus,TRUE,FALSE,FALSE,254519,254519,465584,1176151,Gulf of Alaska
Aspidophoroides monopterygius,Aspidophoroides monopterygius,accepted,Aspidophoroides monopterygius,NA,species,Actinopteri,Perciformes,Agonidae,Aspidophoroides,TRUE,FALSE,FALSE,159459,159459,34611,255537,Gulf of Alaska
Icosteus aenigmaticus,Icosteus aenigmaticus,accepted,Icosteus aenigmaticus,NA,species,Actinopteri,Scombriformes,Icosteidae,Icosteus,TRUE,FALSE,FALSE,281153,281153,125452,215386,Gulf of Alaska
Lycodes palearis,Lycodes palearis,accepted,Lycodes palearis,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,254585,254585,11375,215425,Gulf of Alaska
Bathyagonus nigripinnis,Bathyagonus nigripinnis,accepted,Bathyagonus nigripinnis,NA,species,Actinopteri,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254505,254505,33907,433409,Gulf of Alaska
Sebastes reedi,Sebastes reedi,accepted,Sebastes reedi,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274840,274840,10787,394704,Gulf of Alaska
Paraliparis dactylosus,Paraliparis dactylosus,accepted,Paraliparis dactylosus,NA,species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274568,274568,78141,557357,Gulf of Alaska
Chirolophis decoratus,Chirolophis decoratus,accepted,Chirolophis decoratus,NA,species,Actinopteri,Perciformes,Stichaeidae,Chirolophis,TRUE,FALSE,FALSE,254576,254576,125569,320615,Gulf of Alaska
Albatrossia pectoralis,Albatrossia pectoralis,accepted,Albatrossia pectoralis,NA,species,Actinopteri,Gadiformes,Macrouridae,Albatrossia,TRUE,FALSE,FALSE,236135,236135,34553,83392,Gulf of Alaska
Eumicrotremus orbis,Eumicrotremus orbis,accepted,Eumicrotremus orbis,NA,species,Actinopteri,Perciformes,Cyclopteridae,Eumicrotremus,TRUE,FALSE,FALSE,254535,254535,140428,433392,Gulf of Alaska
Lycodes diapterus,Lycodes diapterus,accepted,Lycodes diapterus,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,254597,254597,11378,215426,Gulf of Alaska
Sebastes helvomaculatus,Sebastes helvomaculatus,accepted,Sebastes helvomaculatus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274799,274799,10710,72079,Gulf of Alaska
