found_taxa,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,region
Gymnocanthus galeatus,Gymnocanthus galeatus,accepted,Gymnocanthus galeatus,NA,species,Actinopteri,Perciformes,Cottidae,Gymnocanthus,TRUE,FALSE,FALSE,254514,254514,101088,980328,Aleutian Islands
Careproctus faunus,Careproctus faunus,accepted,Careproctus faunus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,398463,398463,804242,1696837,Aleutian Islands
Lamna ditropis,Lamna ditropis,accepted,Lamna ditropis,NA,species,Elasmobranchii,Lamniformes,Lamnidae,Lamna,TRUE,FALSE,FALSE,271421,271421,59204,38578,Aleutian Islands
Eumicrotremus phrynoides,Eumicrotremus phrynoides,accepted,Eumicrotremus phrynoides,NA,species,Actinopteri,Perciformes,Cyclopteridae,Eumicrotremus,TRUE,FALSE,FALSE,254536,254536,NA,1482665,Aleutian Islands
Chauliodus macouni,Chauliodus macouni,accepted,Chauliodus macouni,NA,species,Actinopteri,Stomiiformes,Stomiidae,Chauliodus,TRUE,FALSE,FALSE,275055,275055,33959,302055,Aleutian Islands
Thaleichthys pacificus,Thaleichthys pacificus,accepted,Thaleichthys pacificus,NA,species,Actinopteri,Osmeriformes,Osmeridae,Thaleichthys,TRUE,TRUE,TRUE,282959,282959,10698,240832,Aleutian Islands
Bryozoichthys lysimus,Bryozoichthys lysimus,accepted,Bryozoichthys lysimus,NA,species,Actinopteri,Perciformes,Stichaeidae,Bryozoichthys,TRUE,FALSE,FALSE,279418,279418,519679,1317002,Aleutian Islands
Icelus uncinalis,Icelus uncinalis,accepted,Icelus uncinalis,NA,species,Actinopteri,Perciformes,Cottidae,Icelus,TRUE,FALSE,FALSE,274388,274388,NA,NA,Aleutian Islands
Bryozoichthys marjorius,Bryozoichthys marjorius,accepted,Bryozoichthys marjorius,NA,species,Actinopteri,Perciformes,Stichaeidae,Bryozoichthys,TRUE,FALSE,FALSE,254575,254575,NA,1311538,Aleutian Islands
Triglops forficatus,Triglops forficatus,accepted,Triglops forficatus,NA,species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,254530,254530,140840,1573627,Aleutian Islands
