species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id
Micrometrus minimus,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Micrometrus,TRUE,FALSE,FALSE,281562,281562,141912,50814
Orthodon microlepidotus,NA,Species,Actinopteri,Cypriniformes,Cyprinidae,Orthodon,FALSE,TRUE,TRUE,281934,281934,NA,71767
Hyperprosopon argenteum,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Hyperprosopon,TRUE,FALSE,FALSE,281098,281098,483226,100192
Eptatretus deani,NA,Species,Myxini,Myxiniformes,Myxinidae,Eptatretus,TRUE,FALSE,FALSE,279277,279277,33925,418109
Idiacanthus antrostomus,NA,Species,Actinopteri,Stomiiformes,Stomiidae,Idiacanthus,TRUE,FALSE,FALSE,275151,275151,125453,314241
Chirolophis decoratus,NA,Species,Actinopteri,Perciformes,Stichaeidae,Chirolophis,TRUE,FALSE,FALSE,254576,254576,125569,320615
Poromitra crassiceps,NA,Species,Actinopteri,Beryciformes,Melamphaidae,Poromitra,TRUE,FALSE,FALSE,127273,127273,34228,88708
Genyonemus lineatus,NA,Species,Actinopteri,Eupercaria incertae sedis,Sciaenidae,Genyonemus,TRUE,FALSE,FALSE,280830,280830,125526,320395
Pleuronichthys coenosus,NA,Species,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronichthys,TRUE,FALSE,FALSE,282290,282290,33921,269452
Cyprinus carpio,NA,Species,Actinopteri,Cypriniformes,Cyprinidae,Cyprinus,FALSE,TRUE,TRUE,154582,154582,27257,7962
Gymnocanthus pistilliger,NA,Species,Actinopteri,Perciformes,Cottidae,Gymnocanthus,TRUE,FALSE,FALSE,254519,254519,465584,1176151
Rhinogobiops nicholsii,NA,Species,Actinopteri,Gobiiformes,Gobiidae,Rhinogobiops,TRUE,FALSE,FALSE,282580,282580,125449,151723
Aristostomias scintillans,NA,Species,Actinopteri,Stomiiformes,Stomiidae,Aristostomias,TRUE,FALSE,FALSE,275007,275007,34006,319440
Scomber colias,NA,Species,Actinopteri,Scombriformes,Scombridae,Scomber,TRUE,TRUE,FALSE,151174,151174,71687,338315
Gibbonsia montereyensis,NA,Species,Actinopteri,Blenniiformes,Clinidae,Gibbonsia,TRUE,FALSE,FALSE,280836,280836,125652,57803
Pogonichthys macrolepidotus,NA,Species,Actinopteri,Cypriniformes,Cyprinidae,Pogonichthys,FALSE,TRUE,TRUE,282310,282310,NA,86928
Bathyraja parmifera,NA,Species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271528,271528,81029,341249
Eucryphycus californicus,NA,Species,Actinopteri,Perciformes,Zoarcidae,Eucryphycus,TRUE,FALSE,FALSE,280736,280736,140358,1311546
Anoplagonus inermis,NA,Species,Actinopteri,Perciformes,Agonidae,Anoplagonus,TRUE,FALSE,FALSE,279630,279630,393344,1154603
Oligocottus rubellio,NA,Species,Actinopteri,Perciformes,Cottidae,Oligocottus,TRUE,FALSE,FALSE,281874,281874,125660,459051
Lampetra ayresii,NA,Species,Petromyzonti,Petromyzontiformes,Petromyzontidae,Lampetra,TRUE,TRUE,TRUE,271316,271316,54220,104631
Gymnocanthus galeatus,NA,Species,Actinopteri,Perciformes,Cottidae,Gymnocanthus,TRUE,FALSE,FALSE,254514,254514,101088,980328
Oligocottus rimensis,NA,Species,Actinopteri,Perciformes,Cottidae,Oligocottus,TRUE,FALSE,FALSE,281873,281873,125659,459050
Paraliparis dactylosus,NA,Species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274568,274568,78141,557357
Acanthogobius flavimanus,NA,Species,Actinopteri,Gobiiformes,Gobiidae,Acanthogobius,TRUE,TRUE,TRUE,279475,279475,52653,86203
Salvelinus fontinalis,NA,Species,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,TRUE,TRUE,TRUE,154241,154241,10563,8038
Coryphaenoides filifer,NA,Species,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272331,272331,125470,216980
Salmo trutta,NA,Species,Actinopteri,Salmoniformes,Salmonidae,Salmo,TRUE,TRUE,TRUE,127187,127187,47318,8032
Bathophilus flemingi,NA,Species,Actinopteri,Stomiiformes,Stomiidae,Bathophilus,TRUE,FALSE,FALSE,275046,275046,125474,319449
Micrometrus aurora,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Micrometrus,TRUE,FALSE,FALSE,281561,281561,NA,1634945
Atheresthes evermanni,NA,Species,Actinopteri,Pleuronectiformes,Pleuronectidae,Atheresthes,TRUE,FALSE,FALSE,279791,279791,140418,195645
Lycenchelys crotalinus,NA,Species,Actinopteri,Perciformes,Zoarcidae,Lycenchelys,TRUE,FALSE,FALSE,254592,254592,33889,320591
Aspidophoroides monopterygius,NA,Species,Actinopteri,Perciformes,Agonidae,Aspidophoroides,TRUE,FALSE,FALSE,159459,159459,34611,255537
Phytichthys chirus,NA,Species,Actinopteri,Perciformes,Stichaeidae,Phytichthys,TRUE,FALSE,FALSE,282255,282255,NA,1738904
Sebastes levis,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274812,274812,140835,72083
Salvelinus confluentus,NA,Species,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,FALSE,TRUE,TRUE,274352,274352,88750,8037
Artedius notospilotus,NA,Species,Actinopteri,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279703,279703,76454,305505
Diaphus rafinesquii,NA,Species,Actinopteri,Myctophiformes,Myctophidae,Diaphus,TRUE,FALSE,FALSE,126596,126596,59452,473310
Hypomesus transpacificus,NA,Species,Actinopteri,Osmeriformes,Osmeridae,Hypomesus,FALSE,TRUE,TRUE,279423,279423,NA,137520
Sebastes serranoides,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274852,274852,160600,72102
Phanerodon furcatus,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Phanerodon,TRUE,FALSE,FALSE,240730,240730,140354,100200
Atherinopsis californiensis,NA,Species,Actinopteri,Atheriniformes,Atherinidae,Atherinopsis,TRUE,FALSE,FALSE,279813,279813,140353,1311532
Carcharodon carcharias,NA,Species,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,TRUE,TRUE,FALSE,105838,105838,16843,13397
Nemichthys scolopaceus,NA,Species,Actinopteri,Anguilliformes,Nemichthyidae,Nemichthys,TRUE,FALSE,FALSE,126306,126306,34569,118170
Clinocottus embryum,NA,Species,Actinopteri,Perciformes,Cottidae,Clinocottus,TRUE,FALSE,FALSE,280220,280220,125647,459046
Macropinna microstoma,NA,Species,Actinopteri,Argentiniformes,Opisthoproctidae,Macropinna,TRUE,FALSE,FALSE,281482,281482,34567,557410
Pallasina barbata,NA,Species,Actinopteri,Perciformes,Agonidae,Pallasina,TRUE,FALSE,FALSE,254396,254396,110751,740932
Psychrolutes phrictus,NA,Species,Actinopteri,Perciformes,Psychrolutidae,Psychrolutes,TRUE,FALSE,FALSE,274678,274678,59163,320385
Icelus spiniger,NA,Species,Actinopteri,Perciformes,Cottidae,Icelus,TRUE,FALSE,FALSE,254525,254525,99722,557345
Careproctus cypselurus,NA,Species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,274421,274421,33967,433400
Sebastes chlorostictus,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274781,274781,140836,72064
Elassodiscus caudatus,NA,Species,Actinopteri,Perciformes,Liparidae,Elassodiscus,TRUE,FALSE,FALSE,280629,280629,125651,446812
Liparis gibbus,NA,Species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,159526,159526,59638,255718
Paraliparis pectoralis,NA,Species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274604,274604,78116,557360
Eumicrotremus phrynoides,NA,Species,Actinopteri,Perciformes,Cyclopteridae,Eumicrotremus,TRUE,FALSE,FALSE,254536,254536,NA,1482665
Bryozoichthys marjorius,NA,Species,Actinopteri,Perciformes,Stichaeidae,Bryozoichthys,TRUE,FALSE,FALSE,254575,254575,NA,1311538
Zaniolepis latipinnis,NA,Species,Actinopteri,Perciformes,Hexagrammidae,Zaniolepis,TRUE,FALSE,FALSE,283209,283209,140736,283621
Paraliparis holomelas,NA,Species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274583,274583,NA,NA
Beringraja inornata,NA,Species,Elasmobranchii,Rajiformes,Rajidae,Beringraja,TRUE,FALSE,FALSE,1461134,1461134,NA,NA
Chesnonia verrucosa,NA,Species,Actinopteri,Perciformes,Agonidae,Chesnonia,TRUE,FALSE,FALSE,254507,254507,125588,740928
Cyclothone atraria,NA,Species,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,TRUE,FALSE,FALSE,274943,274943,34009,48443
Chirolophis nugator,NA,Species,Actinopteri,Perciformes,Stichaeidae,Chirolophis,TRUE,FALSE,FALSE,254577,254577,125612,433395
Argyropelecus sladeni,NA,Species,Actinopteri,Stomiiformes,Sternoptychidae,Argyropelecus,TRUE,FALSE,FALSE,158837,158837,125543,81870
Bothrocara molle,NA,Species,Actinopteri,Perciformes,Zoarcidae,Bothrocara,TRUE,FALSE,FALSE,234593,234593,33965,390675
Avocettina infans,NA,Species,Actinopteri,Anguilliformes,Nemichthyidae,Avocettina,TRUE,FALSE,FALSE,126304,126304,34561,121280
Perca flavescens,NA,Species,Actinopteri,Perciformes,Percidae,Perca,FALSE,TRUE,TRUE,275313,275313,11269,8167
Argyropelecus lychnus,NA,Species,Actinopteri,Stomiiformes,Sternoptychidae,Argyropelecus,TRUE,FALSE,FALSE,158836,158836,89103,875771
Coryphaenoides armatus,NA,Species,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,158952,158952,34568,76798
Liparis callyodon,NA,Species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274505,274505,191453,980332
Parmaturus xaniurus,NA,Species,Elasmobranchii,Carcharhiniformes,Pentanchidae,Parmaturus,TRUE,FALSE,FALSE,282166,282166,92276,320401
Anoplogaster cornuta,NA,Species,Actinopteri,Trachichthyiformes,Anoplogastridae,Anoplogaster,TRUE,FALSE,FALSE,126393,126393,28698,88656
Hexanchus griseus,NA,Species,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,TRUE,FALSE,FALSE,105833,105833,76504,94987
Danaphos oculatus,NA,Species,Actinopteri,Stomiiformes,Sternoptychidae,Danaphos,TRUE,FALSE,FALSE,280483,280483,503706,875787
Hyperprosopon ellipticum,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Hyperprosopon,TRUE,FALSE,FALSE,281099,281099,NA,1045556
Xeneretmus triacanthus,NA,Species,Actinopteri,Perciformes,Agonidae,Xeneretmus,TRUE,FALSE,FALSE,283174,283174,NA,NA
Triglops forficatus,NA,Species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,254530,254530,140840,1573627
Sebastes rufus,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274847,274847,160605,72100
Ptilichthys goodei,NA,Species,Actinopteri,Perciformes,Ptilichthyidae,Ptilichthys,TRUE,FALSE,FALSE,282508,282508,302399,641289
Careproctus colletti,NA,Species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,254547,254547,794624,796014
Spectrunculus grandis,NA,Species,Actinopteri,Ophidiiformes,Ophidiidae,Spectrunculus,TRUE,FALSE,FALSE,126678,126678,53025,557426
Zalembius rosaceus,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Zalembius,TRUE,FALSE,FALSE,283202,283202,140361,100204
Jordania zonope,NA,Species,Actinopteri,Perciformes,Cottidae,Jordania,TRUE,FALSE,FALSE,398459,398459,NA,274764
Mustelus henlei,NA,Species,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,TRUE,FALSE,FALSE,271386,271386,92273,376658
Brosmophycis marginata,NA,Species,Actinopteri,Ophidiiformes,Bythitidae,Brosmophycis,TRUE,FALSE,FALSE,280000,280000,79413,334377
Hyperprosopon anale,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Hyperprosopon,TRUE,FALSE,FALSE,281097,281097,76476,305783
Arctozenus risso,NA,Species,Actinopteri,Aulopiformes,Paralepididae,Arctozenus,TRUE,FALSE,FALSE,126352,126352,59407,473348
Lota lota,NA,Species,Actinopteri,Gadiformes,Lotidae,Lota,FALSE,TRUE,TRUE,154388,154388,15280,69944
Galeorhinus galeus,NA,Species,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,TRUE,FALSE,FALSE,105820,105820,12791,86063
Paraliparis cephalus,NA,Species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274562,274562,393340,1154600
Lipariscus nanus,NA,Species,Actinopteri,Perciformes,Liparidae,Lipariscus,TRUE,FALSE,FALSE,281365,281365,125657,557405
Coryphaenoides leptolepis,NA,Species,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,158959,158959,59437,216981
Beringraja stellulata,NA,Species,Elasmobranchii,Rajiformes,Rajidae,Beringraja,TRUE,FALSE,FALSE,1461135,1461135,NA,NA
Protomyctophum arcticum,NA,Species,Actinopteri,Myctophiformes,Myctophidae,Protomyctophum,TRUE,FALSE,FALSE,158917,158917,70953,473330
Lumpenus fabricii,NA,Species,Actinopteri,Perciformes,Stichaeidae,Lumpenus,TRUE,FALSE,FALSE,127073,127073,59619,NA
Lepomis gibbosus,NA,Species,Actinopteri,Centrarchiformes,Centrarchidae,Lepomis,FALSE,TRUE,TRUE,151290,151290,11137,270329
Orthonopias triacis,NA,Species,Actinopteri,Perciformes,Cottidae,Orthonopias,TRUE,FALSE,FALSE,281935,281935,76461,305512
Nezumia stelgidolepis,NA,Species,Actinopteri,Gadiformes,Macrouridae,Nezumia,TRUE,FALSE,FALSE,272428,272428,160590,1154598
Myliobatis californica,NA,Species,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,TRUE,FALSE,FALSE,271485,271485,125487,319543
Ceratoscopelus townsendi,NA,Species,Actinopteri,Myctophiformes,Myctophidae,Ceratoscopelus,TRUE,FALSE,FALSE,272656,272656,125476,875772
Liparis mucosus,NA,Species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274527,274527,76464,274786
Bathyraja kincaidii,NA,Species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,298828,298828,681603,1154593
Bothrocara pusillum,NA,Species,Actinopteri,Perciformes,Zoarcidae,Bothrocara,TRUE,FALSE,FALSE,279400,279400,NA,2048771
Lycodapus dermatinus,NA,Species,Actinopteri,Perciformes,Zoarcidae,Lycodapus,TRUE,FALSE,FALSE,279387,279387,NA,NA
Careproctus gilberti,NA,Species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,367288,367288,228188,NA
Catostomus tsiltcoosensis,NA,Species,Actinopteri,Cypriniformes,Catostomidae,Catostomus,FALSE,TRUE,TRUE,1019118,1019118,NA,1338620
Careproctus longifilis,NA,Species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,274437,274437,NA,NA
Sebastes rosaceus,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274841,274841,140738,72096
Pholis schultzi,NA,Species,Actinopteri,Perciformes,Pholidae,Pholis,TRUE,FALSE,FALSE,273693,273693,NA,NA
Stellerina xyosterna,NA,Species,Actinopteri,Perciformes,Agonidae,Stellerina,TRUE,FALSE,FALSE,254366,254366,71898,283639
Amphistichus argenteus,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Amphistichus,TRUE,FALSE,FALSE,279594,279594,140356,100186
Tarletonbeania taylori,NA,Species,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,TRUE,FALSE,FALSE,282928,282928,NA,123347
Paraliparis rosaceus,NA,Species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274608,274608,34565,557361
Argyropelecus affinis,NA,Species,Actinopteri,Stomiiformes,Sternoptychidae,Argyropelecus,TRUE,FALSE,FALSE,127307,127307,125542,81869
Talismania bifurcata,NA,Species,Actinopteri,Alepocephaliformes,Alepocephalidae,Talismania,TRUE,FALSE,FALSE,272884,272884,34564,492049
Bathyraja abyssicola,NA,Species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271503,271503,33966,341242
Acipenser medirostris,NA,Species,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,TRUE,TRUE,TRUE,271695,271695,50227,7908
Ilypnus gilberti,NA,Species,Actinopteri,Gobiiformes,Gobiidae,Ilypnus,TRUE,FALSE,FALSE,281174,281174,758038,185744
Tetragonurus cuvieri,NA,Species,Actinopteri,Scombriformes,Tetragonuridae,Tetragonurus,TRUE,FALSE,FALSE,127080,127080,18112,316150
Lethenteron camtschaticum,NA,Species,Petromyzonti,Petromyzontiformes,Petromyzontidae,Lethenteron,TRUE,TRUE,TRUE,101173,101173,206453,980415
Girella nigricans,NA,Species,Actinopteri,Centrarchiformes,Kyphosidae,Girella,TRUE,FALSE,FALSE,280865,280865,125455,214657
Plectobranchus evides,NA,Species,Actinopteri,Perciformes,Stichaeidae,Plectobranchus,TRUE,FALSE,FALSE,282283,282283,14733,57849
Symphurus atricauda,NA,Species,Actinopteri,Pleuronectiformes,Cynoglossidae,Symphurus,TRUE,FALSE,FALSE,305635,305635,750773,NA
Osmerus mordax,NA,Species,Actinopteri,Osmeriformes,Osmeridae,Osmerus,TRUE,TRUE,TRUE,126737,126737,10696,8014
Sebastes serriceps,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274853,274853,160597,201707
Sebastes melanostomus,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274819,274819,140830,72086
Allocyttus folletti,NA,Species,Actinopteri,Zeiformes,Oreosomatidae,Allocyttus,TRUE,FALSE,FALSE,254555,254555,125492,319752
Paralabrax clathratus,NA,Species,Actinopteri,Perciformes,Serranidae,Paralabrax,TRUE,FALSE,FALSE,282054,282054,125537,172714
Sarritor frenatus,NA,Species,Actinopteri,Perciformes,Agonidae,Sarritor,TRUE,FALSE,FALSE,254374,254374,NA,274777
Blepsias bilobus,NA,Species,NA,Scorpaeniformes,Hemitripteridae,Blepsias,TRUE,FALSE,FALSE,254540,254540,110737,980325
Triglops scepticus,NA,Species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,254531,254531,140469,274770
Liparis cyclopus,NA,Species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274509,274509,804235,1772089
Sebastes melanostictus,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,1015496,1015496,163038,394695
Occella dodecaedron,NA,Species,Actinopteri,Perciformes,Agonidae,Occella,TRUE,FALSE,FALSE,254398,254398,477605,1633468
Pleuronichthys verticalis,NA,Species,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronichthys,TRUE,FALSE,FALSE,282295,282295,125509,195635
Myoxocephalus scorpius,NA,Species,Actinopteri,Perciformes,Cottidae,Myoxocephalus,TRUE,TRUE,FALSE,127203,127203,59602,8097
Coregonus sardinella,NA,Species,Actinopteri,Salmoniformes,Salmonidae,Coregonus,TRUE,TRUE,TRUE,127181,127181,88743,241494
Gasterosteus aculeatus,Gasterosteus aculeatus aculeatus,Subspecies,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,TRUE,TRUE,TRUE,126505,236462,NA,481459
Amphistichus rhodoterus,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Amphistichus,TRUE,TRUE,FALSE,279596,279596,76472,72546
Lycenchelys camchatica,NA,Species,Actinopteri,Perciformes,Zoarcidae,Lycenchelys,TRUE,FALSE,FALSE,254591,254591,125599,740700
Myoxocephalus jaok,NA,Species,Actinopteri,Perciformes,Cottidae,Myoxocephalus,TRUE,FALSE,FALSE,254527,254527,201937,980339
Limanda proboscidea,NA,Species,Actinopteri,Pleuronectiformes,Pleuronectidae,Limanda,TRUE,FALSE,FALSE,254563,254563,110754,641108
Salvelinus alpinus,NA,Species,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,TRUE,TRUE,TRUE,127188,127188,80552,8036
Argyropelecus hemigymnus,NA,Species,Actinopteri,Stomiiformes,Sternoptychidae,Argyropelecus,TRUE,FALSE,FALSE,127309,127309,59409,68504
Liparis rutteri,NA,Species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274538,274538,125627,572250
Scytalina cerdale,NA,Species,Actinopteri,Perciformes,Scytalinidae,Scytalina,TRUE,FALSE,FALSE,254370,254370,NA,NA
Lycenchelys micropora,NA,Species,Actinopteri,Perciformes,Zoarcidae,Lycenchelys,TRUE,FALSE,FALSE,274073,274073,NA,NA
Lycodes beringi,NA,Species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,398582,398582,NA,215428
Lampadena urophaos,NA,Species,Actinopteri,Myctophiformes,Myctophidae,Lampadena,TRUE,FALSE,FALSE,126609,126609,59490,319455
Paraliparis deani,NA,Species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274570,274570,NA,NA
Hypsagonus quadricornis,NA,Species,Actinopteri,Perciformes,Agonidae,Hypsagonus,TRUE,FALSE,FALSE,254508,254508,101093,274775
Apristurus kampae,NA,Species,Elasmobranchii,Carcharhiniformes,Pentanchidae,Apristurus,TRUE,FALSE,FALSE,271342,271342,92271,263691
Artedius corallinus,NA,Species,Actinopteri,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279699,279699,76452,283624
Icelinus quadriseriatus,NA,Species,Actinopteri,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281141,281141,76459,305510
Antimora rostrata,NA,Species,Actinopteri,Gadiformes,Moridae,Antimora,TRUE,FALSE,FALSE,126486,126486,54209,473346
Synodus lucioceps,NA,Species,Actinopteri,Aulopiformes,Synodontidae,Synodus,TRUE,FALSE,FALSE,272132,272132,56026,320415
Icelinus burchami,NA,Species,Actinopteri,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281134,281134,33923,305506
Synchirus gilli,NA,Species,Actinopteri,Perciformes,Cottidae,Synchirus,TRUE,FALSE,FALSE,282921,282921,125638,740936
Liparis liparis,NA,Species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,127219,127219,387973,446792
Ernogrammus walkeri,NA,Species,Actinopteri,Perciformes,Stichaeidae,Ernogrammus,TRUE,FALSE,FALSE,280706,280706,NA,NA
Lyconema barbatum,NA,Species,Actinopteri,Perciformes,Zoarcidae,Lyconema,TRUE,FALSE,FALSE,281449,281449,125565,320593
Lycenchelys jordani,NA,Species,Actinopteri,Perciformes,Zoarcidae,Lycenchelys,TRUE,FALSE,FALSE,274067,274067,33981,557347
Lycodapus endemoscotus,NA,Species,Actinopteri,Perciformes,Zoarcidae,Lycodapus,TRUE,FALSE,FALSE,279388,279388,NA,557348
Carassius auratus,NA,Species,Actinopteri,Cypriniformes,Cyprinidae,Carassius,FALSE,TRUE,TRUE,154298,154298,10846,7957
Sebastes diaconus,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,1384909,1384909,NA,NA
Coryphaena hippurus,NA,Species,Actinopteri,Carangiformes,Coryphaenidae,Coryphaena,TRUE,TRUE,FALSE,126846,126846,13788,34814
Cataetyx rubrirostris,NA,Species,Actinopteri,Ophidiiformes,Bythitidae,Cataetyx,TRUE,FALSE,FALSE,272767,272767,30331,181404
Osteodiscus cascadiae,NA,Species,Actinopteri,Perciformes,Liparidae,Osteodiscus,TRUE,FALSE,FALSE,281946,281946,NA,NA
Bothragonus swanii,NA,Species,Actinopteri,Perciformes,Agonidae,Bothragonus,TRUE,FALSE,FALSE,279947,279947,393347,1154617
Ameiurus catus,NA,Species,Actinopteri,Siluriformes,Ictaluridae,Ameiurus,FALSE,TRUE,TRUE,1023048,1023048,30847,66911
Nezumia liolepis,NA,Species,Actinopteri,Gadiformes,Macrouridae,Nezumia,TRUE,FALSE,FALSE,272416,272416,125595,630687
Triakis semifasciata,NA,Species,Elasmobranchii,Carcharhiniformes,Triakidae,Triakis,TRUE,TRUE,FALSE,279060,279060,122048,30493
Rimicola muscarum,NA,Species,Actinopteri,Gobiesociformes,Gobiesocidae,Rimicola,TRUE,FALSE,FALSE,282617,282617,99728,557417
Acantholumpenus mackayi,NA,Species,Actinopteri,Perciformes,Stichaeidae,Acantholumpenus,TRUE,TRUE,FALSE,249703,249703,477607,1049575
Gibbonsia elegans,NA,Species,Actinopteri,Blenniiformes,Clinidae,Gibbonsia,TRUE,FALSE,FALSE,280833,280833,76447,57801
Oneirodes bulbosus,NA,Species,Actinopteri,Lophiiformes,Oneirodidae,Oneirodes,TRUE,FALSE,FALSE,254553,254553,140403,1154599
Bathylychnops exilis,NA,Species,Actinopteri,Argentiniformes,Opisthoproctidae,Bathylychnops,TRUE,FALSE,FALSE,126730,126730,59415,473350
Alepisaurus ferox,NA,Species,Actinopteri,Aulopiformes,Alepisauridae,Alepisaurus,TRUE,FALSE,FALSE,126333,126333,56035,88653
Eleginus gracilis,NA,Species,Actinopteri,Gadiformes,Gadidae,Eleginus,TRUE,TRUE,TRUE,254537,254537,110731,8047
Malacocottus aleuticus,NA,Species,Actinopteri,Perciformes,Psychrolutidae,Malacocottus,TRUE,FALSE,FALSE,279440,279440,NA,NA
Sebastes ovalis,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274830,274830,160608,72092
Enophrys lucasi,NA,Species,Actinopteri,Perciformes,Cottidae,Enophrys,TRUE,FALSE,FALSE,254518,254518,140421,980327
Cyclothone pallida,NA,Species,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,TRUE,FALSE,FALSE,127288,127288,59443,48449
Cyclothone pseudopallida,NA,Species,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,TRUE,FALSE,FALSE,127289,127289,76496,48451
Rhinoliparis attenuatus,NA,Species,Actinopteri,Perciformes,Liparidae,Rhinoliparis,TRUE,FALSE,FALSE,282584,282584,142497,557365
Opostomias mitsuii,NA,Species,Actinopteri,Stomiiformes,Stomiidae,Opostomias,TRUE,FALSE,FALSE,281926,281926,NA,1604631
Bathyraja spinosissima,NA,Species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271536,271536,265328,2169489
Chromis punctipinnis,NA,Species,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Chromis,TRUE,FALSE,FALSE,273751,273751,125512,231457
Melamphaes parvus,NA,Species,Actinopteri,Beryciformes,Melamphaidae,Melamphaes,TRUE,FALSE,FALSE,274935,274935,NA,880960
Triphoturus mexicanus,NA,Species,Actinopteri,Myctophiformes,Myctophidae,Triphoturus,TRUE,FALSE,FALSE,278566,278566,125486,242287
Scopelosaurus harryi,NA,Species,Actinopteri,Aulopiformes,Notosudidae,Scopelosaurus,TRUE,FALSE,FALSE,272082,272082,34003,319750
