species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id
Entosphenus tridentatus,NA,Species,Petromyzonti,Petromyzontiformes,Petromyzontidae,Entosphenus,TRUE,TRUE,TRUE,314348,314348,82408,245074
Sebastes polyspinis,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274837,274837,140837,394702
Lycodes cortezianus,NA,Species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,274097,274097,11374,57818
Bathyagonus nigripinnis,NA,Species,Actinopteri,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254505,254505,33907,433409
Tactostoma macropus,NA,Species,Actinopteri,Stomiiformes,Stomiidae,Tactostoma,TRUE,FALSE,FALSE,282922,282922,33954,319451
Chitonotus pugetensis,NA,Species,Actinopteri,Perciformes,Cottidae,Chitonotus,TRUE,FALSE,FALSE,280162,280162,33905,283635
Apristurus brunneus,NA,Species,Elasmobranchii,Carcharhiniformes,Pentanchidae,Apristurus,TRUE,FALSE,FALSE,158512,158512,33928,428037
Spirinchus thaleichthys,NA,Species,Actinopteri,Osmeriformes,Osmeridae,Spirinchus,TRUE,TRUE,TRUE,282844,282844,88732,260508
Pleurogrammus monopterygius,NA,Species,Actinopteri,Perciformes,Hexagrammidae,Pleurogrammus,TRUE,FALSE,FALSE,282289,282289,110724,192379
Sebastes nigrocinctus,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274825,274825,160601,72089
Bathyagonus pentacanthus,NA,Species,Actinopteri,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254506,254506,33924,433407
Hemilepidotus spinosus,NA,Species,Actinopteri,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,279413,279413,125615,271501
Oligocottus maculosus,NA,Species,Actinopteri,Perciformes,Cottidae,Oligocottus,TRUE,TRUE,FALSE,281872,281872,101369,328410
Ruscarius meanyi,NA,Species,Actinopteri,Perciformes,Cottidae,Ruscarius,TRUE,FALSE,FALSE,282637,282637,NA,459053
Protomyctophum crockeri,NA,Species,Actinopteri,Myctophiformes,Myctophidae,Protomyctophum,TRUE,FALSE,FALSE,272731,272731,125480,91656
Allosmerus elongatus,NA,Species,Actinopteri,Osmeriformes,Osmeridae,Allosmerus,TRUE,FALSE,FALSE,279564,279564,10694,433393
Embassichthys bathybius,NA,Species,Actinopteri,Pleuronectiformes,Pleuronectidae,Embassichthys,TRUE,FALSE,FALSE,280641,280641,33932,320376
Sebastes goodei,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,TRUE,FALSE,274798,274798,10775,72078
