verbatim_species,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,region
Tinca tinca,Tinca tinca,accepted,Tinca tinca,NA,species,Actinopteri,Cypriniformes,Cyprinidae,Tinca,FALSE,TRUE,TRUE,154343,154343,47342,27717,California Current
Trachinotus paitensis,Trachinotus paitensis,accepted,Trachinotus paitensis,NA,species,Actinopteri,Carangiformes,Carangidae,Trachinotus,TRUE,FALSE,FALSE,273296,273296,371485,875781,California Current
Epinephelus labriformis,Epinephelus labriformis,accepted,Epinephelus labriformis,NA,species,Actinopteri,Perciformes,Serranidae,Epinephelus,TRUE,FALSE,FALSE,273858,273858,11661,160722,California Current
Benthodesmus pacificus,Benthodesmus pacificus,accepted,Benthodesmus pacificus,NA,species,Actinopteri,Scombriformes,Trichiuridae,Benthodesmus,TRUE,FALSE,FALSE,274013,274013,NA,1738883,California Current
Strongylura exilis,Strongylura exilis,accepted,Strongylura exilis,NA,species,Actinopteri,Beloniformes,Belonidae,Strongylura,TRUE,TRUE,TRUE,275978,275978,NA,129062,California Current
Paricelinus hopliticus,Paricelinus hopliticus,accepted,Paricelinus hopliticus,NA,species,Actinopteri,Perciformes,Cottidae,Paricelinus,TRUE,FALSE,FALSE,282147,282147,395152,NA,California Current
Brama brama,Brama brama,accepted,Brama brama,NA,species,Actinopteri,Scombriformes,Bramidae,Brama,TRUE,FALSE,FALSE,126783,126783,13301,349651,California Current
Barbourisia rufa,Barbourisia rufa,accepted,Barbourisia rufa,NA,species,Actinopteri,Beryciformes,Barbourisiidae,Barbourisia,TRUE,FALSE,FALSE,159425,159425,91727,88660,California Current
Abudefduf troschelii,Abudefduf troschelii,accepted,Abudefduf troschelii,NA,species,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Abudefduf,TRUE,FALSE,FALSE,273702,273702,11480,36217,California Current
Icelinus burchami,Icelinus burchami,accepted,Icelinus burchami,NA,species,Actinopteri,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281134,281134,33923,305506,California Current
Sphoeroides annulatus,Sphoeroides annulatus,accepted,Sphoeroides annulatus,NA,species,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides,TRUE,TRUE,FALSE,275272,275272,125553,168377,California Current
Pareques viola,Pareques viola,accepted,Pareques viola,NA,species,Actinopteri,Eupercaria incertae sedis,Sciaenidae,Pareques,TRUE,FALSE,FALSE,282144,282144,91547,NA,California Current
Remora australis,Remora australis,accepted,Remora australis,NA,species,Actinopteri,Carangiformes,Echeneidae,Remora,TRUE,FALSE,FALSE,126850,126850,34793,490280,California Current
Porichthys analis,Porichthys analis,accepted,Porichthys analis,NA,species,Actinopteri,Batrachoidiformes,Batrachoididae,Porichthys,TRUE,FALSE,FALSE,275650,275650,373339,887122,California Current
Haemulopsis elongatus,Haemulopsis elongatus,accepted,Haemulopsis elongatus,NA,species,Actinopteri,Eupercaria incertae sedis,Haemulidae,Haemulopsis,TRUE,FALSE,FALSE,280974,280974,59262,1181260,California Current
Pleurogrammus monopterygius,Pleurogrammus monopterygius,accepted,Pleurogrammus monopterygius,NA,species,Actinopteri,Perciformes,Hexagrammidae,Pleurogrammus,TRUE,FALSE,FALSE,282289,282289,110724,192379,California Current
Hyporthodus niveatus,Hyporthodus niveatus,accepted,Hyporthodus niveatus,NA,species,Actinopteri,Perciformes,Serranidae,Hyporthodus,TRUE,FALSE,FALSE,475101,475101,669732,160726,California Current
Diaphus pacificus,Diaphus pacificus,accepted,Diaphus pacificus,NA,species,Actinopteri,Myctophiformes,Myctophidae,Diaphus,TRUE,FALSE,FALSE,272684,272684,730400,NA,California Current
Anchoa nasus,Anchoa nasus,accepted,Anchoa nasus,NA,species,Actinopteri,Clupeiformes,Engraulidae,Anchoa,TRUE,TRUE,FALSE,275528,275528,166185,485433,California Current
Bertella idiomorpha,Bertella idiomorpha,accepted,Bertella idiomorpha,NA,species,Actinopteri,Lophiiformes,Oneirodidae,Bertella,TRUE,FALSE,FALSE,279907,279907,125607,242940,California Current
Cheilopogon californicus,Cheilopogon californicus,accepted,Cheilopogon californicus,NA,species,Actinopteri,Beloniformes,Exocoetidae,Cheilopogon,TRUE,FALSE,FALSE,300136,300136,NA,NA,California Current
Bathylaco nigricans,Bathylaco nigricans,accepted,Bathylaco nigricans,NA,species,Actinopteri,Alepocephaliformes,Alepocephalidae,Bathylaco,TRUE,FALSE,FALSE,126688,126688,164333,466962,California Current
Pachycara bulbiceps,Pachycara bulbiceps,accepted,Pachycara bulbiceps,NA,species,Actinopteri,Perciformes,Zoarcidae,Pachycara,TRUE,FALSE,FALSE,127121,127121,NA,NA,California Current
Scopelosaurus adleri,Scopelosaurus adleri,accepted,Scopelosaurus adleri,NA,species,Actinopteri,Aulopiformes,Notosudidae,Scopelosaurus,TRUE,FALSE,FALSE,254552,254552,NA,NA,California Current
Anotopterus nikparini,Anotopterus nikparini,accepted,Anotopterus nikparini,NA,species,Actinopteri,Aulopiformes,Anotopteridae,Anotopterus,TRUE,FALSE,FALSE,272040,272040,33973,557333,California Current
Cheilopogon papilio,Cheilopogon papilio,accepted,Cheilopogon papilio,NA,species,Actinopteri,Beloniformes,Exocoetidae,Cheilopogon,TRUE,FALSE,FALSE,272159,272159,NA,NA,California Current
Trachinotus rhodopus,Trachinotus rhodopus,accepted,Trachinotus rhodopus,NA,species,Actinopteri,Carangiformes,Carangidae,Trachinotus,TRUE,FALSE,FALSE,273297,273297,34526,173332,California Current
Scorpaena sonorae,Scorpaena sonorae,accepted,Scorpaena sonorae,NA,species,Actinopteri,Perciformes,Scorpaenidae,Scorpaena,TRUE,FALSE,FALSE,274736,274736,466711,1317705,California Current
Halichoeres dispilus,Halichoeres dispilus,accepted,Halichoeres dispilus,NA,species,Actinopteri,Eupercaria incertae sedis,Labridae,Halichoeres,TRUE,FALSE,FALSE,275763,275763,11495,317475,California Current
Polydactylus approximans,Polydactylus approximans,accepted,Polydactylus approximans,NA,species,Actinopteri,Carangaria incertae sedis,Polynemidae,Polydactylus,TRUE,TRUE,FALSE,276587,276587,71610,320382,California Current
Malacocottus kincaidi,Malacocottus kincaidi,accepted,Malacocottus kincaidi,NA,species,Actinopteri,Perciformes,Psychrolutidae,Malacocottus,TRUE,FALSE,FALSE,279442,279442,10680,433396,California Current
Acantholiparis opercularis,Acantholiparis opercularis,accepted,Acantholiparis opercularis,NA,species,Actinopteri,Perciformes,Liparidae,Acantholiparis,TRUE,FALSE,FALSE,279480,279480,78145,557403,California Current
Agonomalus mozinoi,Agonomalus mozinoi,accepted,Agonomalus mozinoi,NA,species,Actinopteri,Perciformes,Agonidae,Agonomalus,TRUE,FALSE,FALSE,279517,279517,NA,NA,California Current
Fodiator acutus,Fodiator acutus,accepted,Fodiator acutus,NA,species,Actinopteri,Beloniformes,Exocoetidae,Fodiator,TRUE,TRUE,FALSE,280791,280791,503710,293911,California Current
Quietula y-cauda,Quietula y-cauda,accepted,Quietula y-cauda,NA,species,Actinopteri,Gobiiformes,Gobiidae,Quietula,TRUE,TRUE,FALSE,282537,282537,76494,185748,California Current
