"","accepted_name","verbatim_species","taxonomic_status","species","subspecies","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","region","fishbase_name"
"3139","Mobula mobular","Mobula mobular","accepted","Mobula mobular",NA,"species","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula",TRUE,FALSE,FALSE,105858,1579277,"Southern California Bight","Mobula mobular"
"3140","Heteropriacanthus cruentatus","Heteropriacanthus cruentatus","accepted","Heteropriacanthus cruentatus",NA,"species","Actinopteri","Eupercaria incertae sedis","Priacanthidae","Heteropriacanthus",TRUE,FALSE,FALSE,127004,342441,"Southern California Bight","Heteropriacanthus cruentatus"
"3141","Cyclothone braueri","Cyclothone braueri","accepted","Cyclothone braueri",NA,"species","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone",TRUE,FALSE,FALSE,127284,48444,"Southern California Bight","Cyclothone braueri"
"3142","Lucania parva","Lucania parva","accepted","Lucania parva",NA,"species","Actinopteri","Cyprinodontiformes","Fundulidae","Lucania",TRUE,TRUE,TRUE,159310,722640,"Southern California Bight","Lucania parva"
"3143","Merluccius angustimanus","Merluccius angustimanus","accepted","Merluccius angustimanus",NA,"species","Actinopteri","Gadiformes","Merlucciidae","Merluccius",TRUE,FALSE,FALSE,272451,247647,"Southern California Bight","Merluccius angustimanus"
"3144","Selene brevoortii","Selene brevoortii","accepted","Selene brevoortii",NA,"species","Actinopteri","Carangiformes","Carangidae","Selene",TRUE,FALSE,FALSE,273283,179364,"Southern California Bight","Selene brevoortii"
"3145","Saccopharynx lavenbergi","Saccopharynx lavenbergi","accepted","Saccopharynx lavenbergi",NA,"species","Actinopteri","Saccopharyngiformes","Saccopharyngidae","Saccopharynx",TRUE,FALSE,FALSE,274336,136490,"Southern California Bight","Saccopharynx lavenbergi"
"3146","Scopelarchoides nicholsi","Scopelarchoides nicholsi","accepted","Scopelarchoides nicholsi",NA,"species","Actinopteri","Aulopiformes","Scopelarchidae","Scopelarchoides",TRUE,FALSE,FALSE,275617,1519994,"Southern California Bight","Scopelarchoides nicholsi"
"3147","Astroscopus zephyreus","Astroscopus zephyreus","accepted","Astroscopus zephyreus",NA,"species","Actinopteri","Perciformes","Uranoscopidae","Astroscopus",TRUE,FALSE,FALSE,275976,NA,"Southern California Bight","Astroscopus zephyreus"
"3148","Clinocottus embryum","Clinocottus embryum","accepted","Clinocottus embryum",NA,"species","Actinopteri","Perciformes","Cottidae","Clinocottus",TRUE,FALSE,FALSE,280220,459046,"Southern California Bight","Clinocottus embryum"
"3149","Pareques viola","Pareques viola","accepted","Pareques viola",NA,"species","Actinopteri","Eupercaria incertae sedis","Sciaenidae","Pareques",TRUE,FALSE,FALSE,282144,NA,"Southern California Bight","Pareques viola"
"3150","Zesticelus profundorum","Zesticelus profundorum","accepted","Zesticelus profundorum",NA,"species","Actinopteri","Perciformes","Cottidae","Zesticelus",TRUE,FALSE,FALSE,283218,740938,"Southern California Bight","Zesticelus profundorum"
"3151","Sphyrna lewini","Sphyrna lewini","accepted","Sphyrna lewini",NA,"species","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna",TRUE,TRUE,FALSE,105816,7823,"Southern California Bight","Sphyrna lewini"
"3152","Magnisudis atlantica","Magnisudis atlantica","accepted","Magnisudis atlantica",NA,"species","Actinopteri","Aulopiformes","Paralepididae","Magnisudis",TRUE,FALSE,FALSE,126359,319769,"Southern California Bight","Magnisudis atlantica"
"3153","Taaningichthys paurolychnus","Taaningichthys paurolychnus","accepted","Taaningichthys paurolychnus",NA,"species","Actinopteri","Myctophiformes","Myctophidae","Taaningichthys",TRUE,FALSE,FALSE,126633,2420062,"Southern California Bight","Taaningichthys paurolychnus"
"3154","Oncorhynchus kisutch","Oncorhynchus kisutch","accepted","Oncorhynchus kisutch",NA,"species","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,127184,8019,"Southern California Bight","Oncorhynchus kisutch"
"3155","Diaphus pacificus","Diaphus pacificus","accepted","Diaphus pacificus",NA,"species","Actinopteri","Myctophiformes","Myctophidae","Diaphus",TRUE,FALSE,FALSE,272684,NA,"Southern California Bight","Diaphus pacificus"
"3156","Zenopsis nebulosa","Zenopsis nebulosa","accepted","Zenopsis nebulosa",NA,"species","Actinopteri","Zeiformes","Zeidae","Zenopsis",TRUE,FALSE,FALSE,275302,94939,"Southern California Bight","Zenopsis nebulosa"
"3157","Porichthys analis","Porichthys analis","accepted","Porichthys analis",NA,"species","Actinopteri","Batrachoidiformes","Batrachoididae","Porichthys",TRUE,FALSE,FALSE,275650,887122,"Southern California Bight","Porichthys analis"
"3158","Lutjanus argentiventris","Lutjanus argentiventris","accepted","Lutjanus argentiventris",NA,"species","Actinopteri","Eupercaria incertae sedis","Lutjanidae","Lutjanus",TRUE,TRUE,FALSE,276524,319431,"Southern California Bight","Lutjanus argentiventris"
"3159","Microlepidotus inornatus","Microlepidotus inornatus","accepted","Microlepidotus inornatus",NA,"species","Actinopteri","Eupercaria incertae sedis","Haemulidae","Microlepidotus",TRUE,FALSE,FALSE,281560,875789,"Southern California Bight","Microlepidotus inornatus"
"3160","Plagiogrammus hopkinsii","Plagiogrammus hopkinsii","accepted","Plagiogrammus hopkinsii",NA,"species","Actinopteri","Perciformes","Stichaeidae","Plagiogrammus",TRUE,FALSE,FALSE,282265,NA,"Southern California Bight","Plagiogrammus hopkinsii"
"3161","Psettichthys melanostictus","Psettichthys melanostictus","accepted","Psettichthys melanostictus",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Psettichthys",TRUE,FALSE,FALSE,282396,195639,"Southern California Bight","Psettichthys melanostictus"
"3162","Rhinoliparis attenuatus","Rhinoliparis attenuatus","accepted","Rhinoliparis attenuatus",NA,"species","Actinopteri","Perciformes","Liparidae","Rhinoliparis",TRUE,FALSE,FALSE,282584,557365,"Southern California Bight","Rhinoliparis attenuatus"
"3163","Scomberomorus concolor","Scomberomorus concolor","accepted","Scomberomorus concolor",NA,"species","Actinopteri","Scombriformes","Scombridae","Scomberomorus",TRUE,TRUE,FALSE,273812,99342,"Southern California Bight","Scomberomorus concolor"
"3164","Hypanus longus","Hypanus longus","accepted","Hypanus longus",NA,"species","Elasmobranchii","Myliobatiformes","Dasyatidae","Hypanus",TRUE,FALSE,FALSE,1042860,86357,"Southern California Bight","Hypanus longus"
"3165","Gillichthys seta","Gillichthys seta","accepted","Gillichthys seta",NA,"species","Actinopteri","Gobiiformes","Gobiidae","Gillichthys",TRUE,FALSE,FALSE,280852,79683,"Southern California Bight","Gillichthys seta"
"3166","Chaenophryne draco","Chaenophryne draco","accepted","Chaenophryne draco",NA,"species","Actinopteri","Lophiiformes","Oneirodidae","Chaenophryne",TRUE,FALSE,FALSE,126559,443685,"Southern California Bight","Chaenophryne draco"
"3167","Bathylychnops exilis","Bathylychnops exilis","accepted","Bathylychnops exilis",NA,"species","Actinopteri","Argentiniformes","Opisthoproctidae","Bathylychnops",TRUE,FALSE,FALSE,126730,473350,"Southern California Bight","Bathylychnops exilis"
"3168","Diplospinus multistriatus","Diplospinus multistriatus","accepted","Diplospinus multistriatus",NA,"species","Actinopteri","Scombriformes","Gempylidae","Diplospinus",TRUE,FALSE,FALSE,126861,372796,"Southern California Bight","Diplospinus multistriatus"
"3169","Cookeolus japonicus","Cookeolus japonicus","accepted","Cookeolus japonicus",NA,"species","Actinopteri","Eupercaria incertae sedis","Priacanthidae","Cookeolus",TRUE,FALSE,FALSE,127003,390314,"Southern California Bight","Cookeolus japonicus"
