"","accepted_name","verbatim_species","taxonomic_status","species","subspecies","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","region","fishbase_name"
"1","Gadus chalcogrammus","Gadus chalcogrammus","accepted","Gadus chalcogrammus",NA,"species","Actinopteri","Gadiformes","Gadidae","Gadus",TRUE,TRUE,FALSE,300735,1042646,"Aleutian Islands","Gadus chalcogrammus"
"2","Hippoglossus stenolepis","Hippoglossus stenolepis","accepted","Hippoglossus stenolepis",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus",TRUE,FALSE,FALSE,274290,195615,"Aleutian Islands","Hippoglossus stenolepis"
"3","Gadus macrocephalus","Gadus macrocephalus","accepted","Gadus macrocephalus",NA,"species","Actinopteri","Gadiformes","Gadidae","Gadus",TRUE,TRUE,FALSE,254538,80720,"Aleutian Islands","Gadus macrocephalus"
"4","Atheresthes stomias","Atheresthes stomias","accepted","Atheresthes stomias",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Atheresthes",TRUE,FALSE,FALSE,279792,428034,"Aleutian Islands","Atheresthes stomias"
"5","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","accepted","Reinhardtius hippoglossoides",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Reinhardtius",TRUE,FALSE,FALSE,127144,111784,"Aleutian Islands","Reinhardtius hippoglossoides"
"6","Hippoglossoides elassodon","Hippoglossoides elassodon","accepted","Hippoglossoides elassodon",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides",TRUE,FALSE,FALSE,274289,30945,"Aleutian Islands","Hippoglossoides elassodon"
"7","Sebastes polyspinis","Sebastes polyspinis","accepted","Sebastes polyspinis",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274837,394702,"Aleutian Islands","Sebastes polyspinis"
"8","Pleurogrammus monopterygius","Pleurogrammus monopterygius","accepted","Pleurogrammus monopterygius",NA,"species","Actinopteri","Perciformes","Hexagrammidae","Pleurogrammus",TRUE,FALSE,FALSE,282289,192379,"Aleutian Islands","Pleurogrammus monopterygius"
"9","Anoplopoma fimbria","Anoplopoma fimbria","accepted","Anoplopoma fimbria",NA,"species","Actinopteri","Perciformes","Anoplopomatidae","Anoplopoma",TRUE,FALSE,FALSE,159463,229290,"Aleutian Islands","Anoplopoma fimbria"
"10","Sebastes alutus","Sebastes alutus","accepted","Sebastes alutus",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,254573,72055,"Aleutian Islands","Sebastes alutus"
"11","Sebastes aleutianus","Sebastes aleutianus","accepted","Sebastes aleutianus",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274771,214485,"Aleutian Islands","Sebastes aleutianus"
"12","Sebastes variabilis","Sebastes variabilis","accepted","Sebastes variabilis",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,398442,394707,"Aleutian Islands","Sebastes variabilis"
"13","Atheresthes evermanni","Atheresthes evermanni","accepted","Atheresthes evermanni",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Atheresthes",TRUE,FALSE,FALSE,279791,195645,"Aleutian Islands","Atheresthes evermanni"
"14","Sebastolobus alascanus","Sebastolobus alascanus","accepted","Sebastolobus alascanus",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastolobus",TRUE,FALSE,FALSE,282740,72110,"Aleutian Islands","Sebastolobus alascanus"
"15","Sebastes borealis","Sebastes borealis","accepted","Sebastes borealis",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274777,394687,"Aleutian Islands","Sebastes borealis"
"16","Glyptocephalus zachirus","Glyptocephalus zachirus","accepted","Glyptocephalus zachirus",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Glyptocephalus",TRUE,FALSE,FALSE,274287,195612,"Aleutian Islands","Glyptocephalus zachirus"
"17","Stenobrachius leucopsarus","Stenobrachius leucopsarus","accepted","Stenobrachius leucopsarus",NA,"species","Actinopteri","Myctophiformes","Myctophidae","Stenobrachius",TRUE,FALSE,FALSE,254363,91658,"Aleutian Islands","Stenobrachius leucopsarus"
"18","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","accepted","Oncorhynchus tshawytscha",NA,"species","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,158075,74940,"Aleutian Islands","Oncorhynchus tshawytscha"
"19","Zaprora silenus","Zaprora silenus","accepted","Zaprora silenus",NA,"species","Actinopteri","Perciformes","Zaproridae","Zaprora",TRUE,FALSE,FALSE,254353,320590,"Aleutian Islands","Zaprora silenus"
"20","Leuroglossus schmidti","Leuroglossus schmidti","accepted","Leuroglossus schmidti",NA,"species","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus",TRUE,FALSE,FALSE,254551,557346,"Aleutian Islands","Leuroglossus schmidti"
"21","Bathylagus pacificus","Bathylagus pacificus","accepted","Bathylagus pacificus",NA,"species","Actinopteri","Argentiniformes","Bathylagidae","Bathylagus",TRUE,FALSE,FALSE,272919,557336,"Aleutian Islands","Bathylagus pacificus"
"22","Oncorhynchus keta","Oncorhynchus keta","accepted","Oncorhynchus keta",NA,"species","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,127183,8018,"Aleutian Islands","Oncorhynchus keta"
"23","Bathymaster signatus","Bathymaster signatus","accepted","Bathymaster signatus",NA,"species","Actinopteri","Perciformes","Bathymasteridae","Bathymaster",TRUE,FALSE,FALSE,254513,274808,"Aleutian Islands","Bathymaster signatus"
"24","Hemilepidotus hemilepidotus","Hemilepidotus hemilepidotus","accepted","Hemilepidotus hemilepidotus",NA,"species","Actinopteri","Perciformes","Cottidae","Hemilepidotus",TRUE,FALSE,FALSE,254521,433390,"Aleutian Islands","Hemilepidotus hemilepidotus"
"25","Lepidopsetta bilineata","Lepidopsetta bilineata","accepted","Lepidopsetta bilineata",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Lepidopsetta",TRUE,FALSE,FALSE,281305,NA,"Aleutian Islands","Lepidopsetta bilineata"
"26","Hexagrammos decagrammus","Hexagrammos decagrammus","accepted","Hexagrammos decagrammus",NA,"species","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",TRUE,FALSE,FALSE,240732,274741,"Aleutian Islands","Hexagrammos decagrammus"
"27","Ammodytes hexapterus","Ammodytes hexapterus","accepted","Ammodytes hexapterus",NA,"species","Actinopteri","Perciformes","Ammodytidae","Ammodytes",TRUE,TRUE,FALSE,254510,476914,"Aleutian Islands","Ammodytes hexapterus"
"28","Somniosus pacificus","Somniosus pacificus","accepted","Somniosus pacificus",NA,"species","Elasmobranchii","Squaliformes","Somniosidae","Somniosus",TRUE,FALSE,FALSE,271654,305516,"Aleutian Islands","Somniosus pacificus"
"29","Eumicrotremus orbis","Eumicrotremus orbis","accepted","Eumicrotremus orbis",NA,"species","Actinopteri","Perciformes","Cyclopteridae","Eumicrotremus",TRUE,FALSE,FALSE,254535,433392,"Aleutian Islands","Eumicrotremus orbis"
"30","Microstomus pacificus","Microstomus pacificus","accepted","Microstomus pacificus",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Microstomus",TRUE,FALSE,FALSE,274294,89058,"Aleutian Islands","Microstomus pacificus"
"31","Sebastes variegatus","Sebastes variegatus","accepted","Sebastes variegatus",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274863,72106,"Aleutian Islands","Sebastes variegatus"
"32","Lethotremus muticus","Lethotremus muticus","accepted","Lethotremus muticus",NA,"species","Actinopteri","Perciformes","Cyclopteridae","Lethotremus",TRUE,FALSE,FALSE,254348,1482666,"Aleutian Islands","Lethotremus muticus"
"33","Squalus acanthias","Squalus acanthias","accepted","Squalus acanthias",NA,"species","Elasmobranchii","Squaliformes","Squalidae","Squalus",TRUE,TRUE,FALSE,105923,7797,"Aleutian Islands","Squalus acanthias"
"34","Sebastes ciliatus","Sebastes ciliatus","accepted","Sebastes ciliatus",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274782,72065,"Aleutian Islands","Sebastes ciliatus"
"35","Malacocottus zonurus","Malacocottus zonurus","accepted","Malacocottus zonurus",NA,"species","Actinopteri","Perciformes","Psychrolutidae","Malacocottus",TRUE,FALSE,FALSE,254406,200682,"Aleutian Islands","Malacocottus zonurus"
"36","Bathyraja parmifera","Bathyraja parmifera","accepted","Bathyraja parmifera",NA,"species","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja",TRUE,FALSE,FALSE,271528,341249,"Aleutian Islands","Arctoraja parmifera"
"37","Hemilepidotus jordani","Hemilepidotus jordani","accepted","Hemilepidotus jordani",NA,"species","Actinopteri","Perciformes","Cottidae","Hemilepidotus",TRUE,FALSE,FALSE,254522,274759,"Aleutian Islands","Hemilepidotus jordani"
"38","Lepidopsetta polyxystra","Lepidopsetta polyxystra","accepted","Lepidopsetta polyxystra",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Lepidopsetta",TRUE,FALSE,FALSE,281307,433389,"Aleutian Islands","Lepidopsetta polyxystra"
"39","Antimora microlepis","Antimora microlepis","accepted","Antimora microlepis",NA,"species","Actinopteri","Gadiformes","Moridae","Antimora",TRUE,FALSE,FALSE,272460,497157,"Aleutian Islands","Antimora microlepis"
"40","Myoxocephalus polyacanthocephalus","Myoxocephalus polyacanthocephalus","accepted","Myoxocephalus polyacanthocephalus",NA,"species","Actinopteri","Perciformes","Cottidae","Myoxocephalus",TRUE,FALSE,FALSE,254528,238839,"Aleutian Islands","Myoxocephalus polyacanthocephalus"
"41","Limanda aspera","Limanda aspera","accepted","Limanda aspera",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Limanda",TRUE,FALSE,FALSE,254562,195624,"Aleutian Islands","Limanda aspera"
"42","Clupea pallasii","Clupea pallasii","accepted","Clupea pallasii",NA,"species","Actinopteri","Clupeiformes","Clupeidae","Clupea",TRUE,TRUE,TRUE,151159,30724,"Aleutian Islands","Clupea pallasii"
"43","Triglops scepticus","Triglops scepticus","accepted","Triglops scepticus",NA,"species","Actinopteri","Perciformes","Cottidae","Triglops",TRUE,FALSE,FALSE,254531,274770,"Aleutian Islands","Triglops scepticus"
"44","Hemitripterus bolini","Hemitripterus bolini","accepted","Hemitripterus bolini",NA,"species",NA,"Scorpaeniformes","Hemitripteridae","Hemitripterus",TRUE,FALSE,FALSE,254541,470227,"Aleutian Islands","Hemitripterus bolini"
"45","Careproctus scottae","Careproctus scottae","accepted","Careproctus scottae",NA,"species","Actinopteri","Perciformes","Liparidae","Careproctus",TRUE,FALSE,FALSE,274470,1837949,"Aleutian Islands","Careproctus scottae"
"46","Alepisaurus ferox","Alepisaurus ferox","accepted","Alepisaurus ferox",NA,"species","Actinopteri","Aulopiformes","Alepisauridae","Alepisaurus",TRUE,FALSE,FALSE,126333,88653,"Aleutian Islands","Alepisaurus ferox"
"47","Hemilepidotus zapus","Hemilepidotus zapus","accepted","Hemilepidotus zapus",NA,"species","Actinopteri","Perciformes","Cottidae","Hemilepidotus",TRUE,FALSE,FALSE,279414,274760,"Aleutian Islands","Hemilepidotus zapus"
"48","Icosteus aenigmaticus","Icosteus aenigmaticus","accepted","Icosteus aenigmaticus",NA,"species","Actinopteri","Scombriformes","Icosteidae","Icosteus",TRUE,FALSE,FALSE,281153,215386,"Aleutian Islands","Icosteus aenigmaticus"
"49","Crystallichthys cyclospilus","Crystallichthys cyclospilus","accepted","Crystallichthys cyclospilus",NA,"species","Actinopteri","Perciformes","Liparidae","Crystallichthys",TRUE,FALSE,FALSE,280451,446810,"Aleutian Islands","Crystallichthys cyclospilus"
"50","Bathyraja aleutica","Bathyraja aleutica","accepted","Bathyraja aleutica",NA,"species","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja",TRUE,FALSE,FALSE,271506,341243,"Aleutian Islands","Bathyraja aleutica"
"51","Bathyraja panthera","Bathyraja panthera","accepted","Bathyraja panthera",NA,"species","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja",TRUE,FALSE,FALSE,712390,658173,"Aleutian Islands","Bathyraja panthera"
"52","Hexagrammos lagocephalus","Hexagrammos lagocephalus","accepted","Hexagrammos lagocephalus",NA,"species","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",TRUE,FALSE,FALSE,240735,192377,"Aleutian Islands","Hexagrammos lagocephalus"
"53","Albatrossia pectoralis","Albatrossia pectoralis","accepted","Albatrossia pectoralis",NA,"species","Actinopteri","Gadiformes","Macrouridae","Albatrossia",TRUE,FALSE,FALSE,236135,83392,"Aleutian Islands","Albatrossia pectoralis"
"54","Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","accepted","Pleuronectes quadrituberculatus",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronectes",TRUE,FALSE,FALSE,254564,641111,"Aleutian Islands","Pleuronectes quadrituberculatus"
"55","Podothecus accipenserinus","Podothecus accipenserinus","accepted","Podothecus accipenserinus",NA,"species","Actinopteri","Perciformes","Agonidae","Podothecus",TRUE,FALSE,FALSE,254501,320612,"Aleutian Islands","Podothecus accipenserinus"
"56","Protomyctophum thompsoni","Protomyctophum thompsoni","accepted","Protomyctophum thompsoni",NA,"species","Actinopteri","Myctophiformes","Myctophidae","Protomyctophum",TRUE,FALSE,FALSE,272732,123331,"Aleutian Islands","Protomyctophum thompsoni"
"57","Sarritor frenatus","Sarritor frenatus","accepted","Sarritor frenatus",NA,"species","Actinopteri","Perciformes","Agonidae","Sarritor",TRUE,FALSE,FALSE,254374,274777,"Aleutian Islands","Sarritor frenatus"
"58","Rastrinus scutiger","Rastrinus scutiger","accepted","Rastrinus scutiger",NA,"species","Actinopteri","Perciformes","Cottidae","Rastrinus",TRUE,FALSE,FALSE,282552,1311559,"Aleutian Islands","Rastrinus scutiger"
"59","Sebastes ruberrimus","Sebastes ruberrimus","accepted","Sebastes ruberrimus",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274844,72098,"Aleutian Islands","Sebastes ruberrimus"
"60","Temnocora candida","Temnocora candida","accepted","Temnocora candida",NA,"species","Actinopteri","Perciformes","Liparidae","Temnocora",TRUE,FALSE,FALSE,282939,1696920,"Aleutian Islands","Temnocora candida"
"61","Allocareproctus unangas","Allocareproctus unangas","accepted","Allocareproctus unangas",NA,"species","Actinopteri","Perciformes","Liparidae","Allocareproctus",TRUE,FALSE,FALSE,279558,NA,"Aleutian Islands","Allocareproctus unangas"
"62","Sebastes proriger","Sebastes proriger","accepted","Sebastes proriger",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274838,394703,"Aleutian Islands","Sebastes proriger"
"63","Lycodapus poecilus","Lycodapus poecilus","accepted","Lycodapus poecilus",NA,"species","Actinopteri","Perciformes","Zoarcidae","Lycodapus",TRUE,FALSE,FALSE,279394,NA,"Aleutian Islands","Lycodapus poecilus"
"64","Bothrocara brunneum","Bothrocara brunneum","accepted","Bothrocara brunneum",NA,"species","Actinopteri","Perciformes","Zoarcidae","Bothrocara",TRUE,FALSE,FALSE,279397,557338,"Aleutian Islands","Bothrocara brunneum"
"65","Hexagrammos stelleri","Hexagrammos stelleri","accepted","Hexagrammos stelleri",NA,"species","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",TRUE,FALSE,FALSE,254545,192378,"Aleutian Islands","Hexagrammos stelleri"
"66","Oncorhynchus nerka","Oncorhynchus nerka","accepted","Oncorhynchus nerka",NA,"species","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,254569,8023,"Aleutian Islands","Oncorhynchus nerka"
"67","Bathyagonus alascanus","Bathyagonus alascanus","accepted","Bathyagonus alascanus",NA,"species","Actinopteri","Perciformes","Agonidae","Bathyagonus",TRUE,FALSE,FALSE,254503,433408,"Aleutian Islands","Bathyagonus alascanus"
"68","Careproctus furcellus","Careproctus furcellus","accepted","Careproctus furcellus",NA,"species","Actinopteri","Perciformes","Liparidae","Careproctus",TRUE,FALSE,FALSE,254548,557342,"Aleutian Islands","Careproctus furcellus"
"69","Cryptacanthodes aleutensis","Cryptacanthodes aleutensis","accepted","Cryptacanthodes aleutensis",NA,"species","Actinopteri","Perciformes","Cryptacanthodidae","Cryptacanthodes",TRUE,FALSE,FALSE,276390,557343,"Aleutian Islands","Cryptacanthodes aleutensis"
"70","Thyriscus anoplus","Thyriscus anoplus","accepted","Thyriscus anoplus",NA,"species","Actinopteri","Perciformes","Cottidae","Thyriscus",TRUE,FALSE,FALSE,282971,NA,"Aleutian Islands","Thyriscus anoplus"
"71","Careproctus comus","Careproctus comus","accepted","Careproctus comus",NA,"species","Actinopteri","Perciformes","Liparidae","Careproctus",TRUE,FALSE,FALSE,398460,1696836,"Aleutian Islands","Careproctus comus"
"72","Platichthys stellatus","Platichthys stellatus","accepted","Platichthys stellatus",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Platichthys",TRUE,TRUE,TRUE,154781,195632,"Aleutian Islands","Platichthys stellatus"
"73","Bathyraja interrupta","Bathyraja interrupta","accepted","Bathyraja interrupta",NA,"species","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja",TRUE,FALSE,FALSE,271515,341244,"Aleutian Islands","Bathyraja interrupta"
"74","Sebastes zacentrus","Sebastes zacentrus","accepted","Sebastes zacentrus",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274869,72108,"Aleutian Islands","Sebastes zacentrus"
"75","Sebastes babcocki","Sebastes babcocki","accepted","Sebastes babcocki",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274775,72059,"Aleutian Islands","Sebastes babcocki"
"76","Bathyagonus nigripinnis","Bathyagonus nigripinnis","accepted","Bathyagonus nigripinnis",NA,"species","Actinopteri","Perciformes","Agonidae","Bathyagonus",TRUE,FALSE,FALSE,254505,433409,"Aleutian Islands","Bathyagonus nigripinnis"
"77","Gymnocanthus galeatus","Gymnocanthus galeatus","accepted","Gymnocanthus galeatus",NA,"species","Actinopteri","Perciformes","Cottidae","Gymnocanthus",TRUE,FALSE,FALSE,254514,980328,"Aleutian Islands","Gymnocanthus galeatus"
"78","Careproctus faunus","Careproctus faunus","accepted","Careproctus faunus",NA,"species","Actinopteri","Perciformes","Liparidae","Careproctus",TRUE,FALSE,FALSE,398463,1696837,"Aleutian Islands","Careproctus faunus"
"79","Lamna ditropis","Lamna ditropis","accepted","Lamna ditropis",NA,"species","Elasmobranchii","Lamniformes","Lamnidae","Lamna",TRUE,FALSE,FALSE,271421,38578,"Aleutian Islands","Lamna ditropis"
"80","Eumicrotremus phrynoides","Eumicrotremus phrynoides","accepted","Eumicrotremus phrynoides",NA,"species","Actinopteri","Perciformes","Cyclopteridae","Eumicrotremus",TRUE,FALSE,FALSE,254536,1482665,"Aleutian Islands","Eumicrotremus phrynoides"
"81","Chauliodus macouni","Chauliodus macouni","accepted","Chauliodus macouni",NA,"species","Actinopteri","Stomiiformes","Stomiidae","Chauliodus",TRUE,FALSE,FALSE,275055,302055,"Aleutian Islands","Chauliodus macouni"
"82","Thaleichthys pacificus","Thaleichthys pacificus","accepted","Thaleichthys pacificus",NA,"species","Actinopteri","Osmeriformes","Osmeridae","Thaleichthys",TRUE,TRUE,TRUE,282959,240832,"Aleutian Islands","Thaleichthys pacificus"
"83","Bryozoichthys lysimus","Bryozoichthys lysimus","accepted","Bryozoichthys lysimus",NA,"species","Actinopteri","Perciformes","Stichaeidae","Bryozoichthys",TRUE,FALSE,FALSE,279418,1317002,"Aleutian Islands","Bryozoichthys lysimus"
"84","Icelus uncinalis","Icelus uncinalis","accepted","Icelus uncinalis",NA,"species","Actinopteri","Perciformes","Cottidae","Icelus",TRUE,FALSE,FALSE,274388,NA,"Aleutian Islands","Icelus uncinalis"
"85","Bryozoichthys marjorius","Bryozoichthys marjorius","accepted","Bryozoichthys marjorius",NA,"species","Actinopteri","Perciformes","Stichaeidae","Bryozoichthys",TRUE,FALSE,FALSE,254575,1311538,"Aleutian Islands","Bryozoichthys marjorius"
"86","Triglops forficatus","Triglops forficatus","accepted","Triglops forficatus",NA,"species","Actinopteri","Perciformes","Cottidae","Triglops",TRUE,FALSE,FALSE,254530,1573627,"Aleutian Islands","Triglops forficatus"
"87","Icelinus borealis","Icelinus borealis","accepted","Icelinus borealis",NA,"species","Actinopteri","Perciformes","Cottidae","Icelinus",TRUE,FALSE,FALSE,281133,433388,"Aleutian Islands","Icelinus borealis"
"88","Allocareproctus kallaion","Allocareproctus kallaion","accepted","Allocareproctus kallaion",NA,"species","Actinopteri","Perciformes","Liparidae","Allocareproctus",TRUE,FALSE,FALSE,279556,NA,"Aleutian Islands","Allocareproctus kallaion"
"89","Coryphaenoides cinereus","Coryphaenoides cinereus","accepted","Coryphaenoides cinereus",NA,"species","Actinopteri","Gadiformes","Macrouridae","Coryphaenoides",TRUE,FALSE,FALSE,272326,83391,"Aleutian Islands","Coryphaenoides cinereus"
"90","Nectoliparis pelagicus","Nectoliparis pelagicus","accepted","Nectoliparis pelagicus",NA,"species","Actinopteri","Perciformes","Liparidae","Nectoliparis",TRUE,FALSE,FALSE,281641,446815,"Aleutian Islands","Nectoliparis pelagicus"
"91","Sebastes melanops","Sebastes melanops","accepted","Sebastes melanops",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274817,72085,"Aleutian Islands","Sebastes melanops"
"92","Allocareproctus jordani","Allocareproctus jordani","accepted","Allocareproctus jordani",NA,"species","Actinopteri","Perciformes","Liparidae","Allocareproctus",TRUE,FALSE,FALSE,279555,1696904,"Aleutian Islands","Allocareproctus jordani"
"93","Bathymaster caeruleofasciatus","Bathymaster caeruleofasciatus","accepted","Bathymaster caeruleofasciatus",NA,"species","Actinopteri","Perciformes","Bathymasteridae","Bathymaster",TRUE,FALSE,FALSE,279415,1188226,"Aleutian Islands","Bathymaster caeruleofasciatus"
"94","Careproctus simus","Careproctus simus","accepted","Careproctus simus",NA,"species","Actinopteri","Perciformes","Liparidae","Careproctus",TRUE,FALSE,FALSE,274473,1642164,"Aleutian Islands","Careproctus simus"
"95","Bolinia euryptera","Bolinia euryptera","accepted","Bolinia euryptera",NA,"species","Actinopteri","Perciformes","Cottidae","Bolinia",TRUE,FALSE,FALSE,398458,NA,"Aleutian Islands","Bolinia euryptera"
"96","Caristius macropus","Caristius macropus","accepted","Caristius macropus",NA,"species","Actinopteri","Scombriformes","Caristiidae","Caristius",TRUE,FALSE,FALSE,126824,740692,"Aleutian Islands","Caristius macropus"
"97","Paraliparis dactylosus","Paraliparis dactylosus","accepted","Paraliparis dactylosus",NA,"species","Actinopteri","Perciformes","Liparidae","Paraliparis",TRUE,FALSE,FALSE,274568,557357,"Aleutian Islands","Paraliparis dactylosus"
"98","Icelus spiniger","Icelus spiniger","accepted","Icelus spiniger",NA,"species","Actinopteri","Perciformes","Cottidae","Icelus",TRUE,FALSE,FALSE,254525,557345,"Aleutian Islands","Icelus spiniger"
"99","Malacocottus kincaidi","Malacocottus kincaidi","accepted","Malacocottus kincaidi",NA,"species","Actinopteri","Perciformes","Psychrolutidae","Malacocottus",TRUE,FALSE,FALSE,279442,433396,"Aleutian Islands","Malacocottus kincaidi"
"100","Careproctus ectenes","Careproctus ectenes","accepted","Careproctus ectenes",NA,"species","Actinopteri","Perciformes","Liparidae","Careproctus",TRUE,FALSE,FALSE,274424,NA,"Aleutian Islands","Careproctus ectenes"
"101","Anoplarchus insignis","Anoplarchus insignis","accepted","Anoplarchus insignis",NA,"species","Actinopteri","Perciformes","Stichaeidae","Anoplarchus",TRUE,FALSE,FALSE,279632,1225888,"Aleutian Islands","Anoplarchus insignis"
"102","Embassichthys bathybius","Embassichthys bathybius","accepted","Embassichthys bathybius",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Embassichthys",TRUE,FALSE,FALSE,280641,320376,"Aleutian Islands","Microstomus bathybius"
"103","Dasycottus setiger","Dasycottus setiger","accepted","Dasycottus setiger",NA,"species","Actinopteri","Perciformes","Psychrolutidae","Dasycottus",TRUE,FALSE,FALSE,280488,274783,"Aleutian Islands","Dasycottus setiger"
"104","Artedius harringtoni","Artedius harringtoni","accepted","Artedius harringtoni",NA,"species","Actinopteri","Perciformes","Cottidae","Artedius",TRUE,FALSE,FALSE,279701,433399,"Aleutian Islands","Artedius harringtoni"
"105","Sebastes crameri","Sebastes crameri","accepted","Sebastes crameri",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274785,72067,"Aleutian Islands","Sebastes crameri"
"106","Allocareproctus ungak","Allocareproctus ungak","accepted","Allocareproctus ungak",NA,"species","Actinopteri","Perciformes","Liparidae","Allocareproctus",TRUE,FALSE,FALSE,279559,NA,"Aleutian Islands","Allocareproctus ungak"
"107","Paraliparis pectoralis","Paraliparis pectoralis","accepted","Paraliparis pectoralis",NA,"species","Actinopteri","Perciformes","Liparidae","Paraliparis",TRUE,FALSE,FALSE,274604,557360,"Aleutian Islands","Paraliparis pectoralis"
"108","Hypsagonus quadricornis","Hypsagonus quadricornis","accepted","Hypsagonus quadricornis",NA,"species","Actinopteri","Perciformes","Agonidae","Hypsagonus",TRUE,FALSE,FALSE,254508,274775,"Aleutian Islands","Hypsagonus quadricornis"
"109","Psychrolutes paradoxus","Psychrolutes paradoxus","accepted","Psychrolutes paradoxus",NA,"species","Actinopteri","Perciformes","Psychrolutidae","Psychrolutes",TRUE,FALSE,FALSE,254566,980342,"Aleutian Islands","Psychrolutes paradoxus"
"110","Sebastes reedi","Sebastes reedi","accepted","Sebastes reedi",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274840,394704,"Aleutian Islands","Sebastes reedi"
"111","Isopsetta isolepis","Isopsetta isolepis","accepted","Isopsetta isolepis",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Isopsetta",TRUE,FALSE,FALSE,281189,195617,"Aleutian Islands","Isopsetta isolepis"
"112","Lycodes diapterus","Lycodes diapterus","accepted","Lycodes diapterus",NA,"species","Actinopteri","Perciformes","Zoarcidae","Lycodes",TRUE,FALSE,FALSE,254597,215426,"Aleutian Islands","Lycodes diapterus"
"113","Icelus euryops","Icelus euryops","accepted","Icelus euryops",NA,"species","Actinopteri","Perciformes","Cottidae","Icelus",TRUE,FALSE,FALSE,274379,NA,"Aleutian Islands","Icelus euryops"
"114","Lycodes beringi","Lycodes beringi","accepted","Lycodes beringi",NA,"species","Actinopteri","Perciformes","Zoarcidae","Lycodes",TRUE,FALSE,FALSE,398582,215428,"Aleutian Islands","Lycodes beringi"
"115","Sebastolobus macrochir","Sebastolobus macrochir","accepted","Sebastolobus macrochir",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastolobus",TRUE,FALSE,FALSE,282742,98657,"Aleutian Islands","Sebastolobus macrochir"
"116","Elassodiscus tremebundus","Elassodiscus tremebundus","accepted","Elassodiscus tremebundus",NA,"species","Actinopteri","Perciformes","Liparidae","Elassodiscus",TRUE,FALSE,FALSE,280631,446813,"Aleutian Islands","Elassodiscus tremebundus"
"117","Hexagrammos octogrammus","Hexagrammos octogrammus","accepted","Hexagrammos octogrammus",NA,"species","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",TRUE,FALSE,FALSE,254544,192375,"Aleutian Islands","Hexagrammos octogrammus"
