verbatim_species,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,genusid
Laqueus californicus,Laqueus californicus,accepted,Laqueus californicus,NA,species,Brachiopoda,Rhynchonellata,Terebratulida,Laqueidae,Laqueus,TRUE,NA,NA,869890,869890,32989,33478,235265
NA,Anonyx,accepted,NA,NA,genus,Arthropoda,Malacostraca,Amphipoda,Uristidae,Anonyx,TRUE,FALSE,FALSE,NA,101592,NA,398847,101592
Oikopleura (Vexillaria) dioica,Oikopleura (Vexillaria) dioica,accepted,Oikopleura (Vexillaria) dioica,NA,species,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,TRUE,TRUE,FALSE,103407,103407,NA,NA,103367
NA,Lepidisis,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Keratoisididae,Lepidisis,TRUE,FALSE,FALSE,NA,125307,NA,44210,125307
Spiophanes bombyx,Spiophanes bombyx,accepted,Spiophanes bombyx,NA,species,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,TRUE,FALSE,FALSE,131187,131187,122720,696728,129626
NA,Onoba,accepted,NA,NA,genus,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Onoba,TRUE,TRUE,FALSE,NA,138451,NA,707136,138451
Mytilus edulis,Mytilus edulis,accepted,Mytilus edulis,NA,species,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,TRUE,NA,NA,140480,140480,28313,6550,138228
Mactromeris polynyma,Mactromeris polynyma,accepted,Mactromeris polynyma,NA,species,Mollusca,Bivalvia,Venerida,Mactridae,Mactromeris,TRUE,NA,NA,156863,156863,502829,31204,156862
Notoproctus pacificus,Notoproctus pacificus,accepted,Notoproctus pacificus,NA,species,Annelida,Polychaeta,NA,Maldanidae,Notoproctus,TRUE,FALSE,FALSE,334247,334247,NA,NA,129358
Typosyllis pulchra,Typosyllis pulchra,accepted,Typosyllis pulchra,NA,species,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,TRUE,NA,NA,334999,334999,NA,NA,147195
Pagurus granosimanus,Pagurus granosimanus,accepted,Pagurus granosimanus,NA,species,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,TRUE,FALSE,FALSE,366694,366694,395163,519093,106854
Astarte esquimalti,Astarte esquimalti,accepted,Astarte esquimalti,NA,species,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,TRUE,NA,NA,423165,423165,600755,NA,137683
Heptacarpus pugettensis,Heptacarpus pugettensis,accepted,Heptacarpus pugettensis,NA,species,Arthropoda,Malacostraca,Decapoda,Thoridae,Heptacarpus,TRUE,FALSE,FALSE,515264,515264,722666,NA,248339
Pandalus jordani,Pandalus jordani,accepted,Pandalus jordani,NA,species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,515469,515469,15889,397977,107044
Neocrangon resima,Neocrangon resima,accepted,Neocrangon resima,NA,species,Arthropoda,Malacostraca,Decapoda,Crangonidae,Neocrangon,TRUE,FALSE,FALSE,515586,515586,293146,NA,422854
Chirimia similis,Chirimia similis,accepted,Chirimia similis,NA,species,Annelida,Polychaeta,NA,Maldanidae,Chirimia,TRUE,FALSE,FALSE,1466454,1466454,NA,NA,129343
NA,Protomedeia,accepted,NA,NA,genus,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Protomedeia,TRUE,NA,NA,NA,101574,NA,2336533,101574
Heterostylites major,Heterostylites major,accepted,Heterostylites major,NA,species,Arthropoda,Copepoda,Calanoida,Heterorhabdidae,Heterostylites,TRUE,FALSE,FALSE,104587,104587,152214,503058,104179
Leuckartiara octona,Leuckartiara octona,accepted,Leuckartiara octona,NA,species,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Leuckartiara,TRUE,NA,NA,117791,117791,591922,13108,117183
Heteromastus filiformis,Heteromastus filiformis,accepted,Heteromastus filiformis,NA,species,Annelida,Polychaeta,NA,Capitellidae,Heteromastus,TRUE,FALSE,TRUE,129884,129884,370305,397554,129214
Syllis alternata,Syllis alternata,accepted,Syllis alternata,NA,species,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,TRUE,FALSE,FALSE,131413,131413,NA,868049,129680
NA,Mya,accepted,NA,NA,genus,Mollusca,Bivalvia,Myida,Myidae,Mya,TRUE,NA,NA,NA,138211,NA,6603,138211
NA,Alvania,accepted,NA,NA,genus,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,TRUE,TRUE,TRUE,NA,138439,NA,NA,138439
Pseudocalanus newmani,Pseudocalanus newmani,accepted,Pseudocalanus newmani,NA,species,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,TRUE,FALSE,FALSE,157679,157679,32378,119373,104165
Sphaerodoropsis sphaerulifer,Sphaerodoropsis sphaerulifer,accepted,Sphaerodoropsis sphaerulifer,NA,species,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,Sphaerodoropsis,TRUE,FALSE,FALSE,254759,254759,NA,NA,129601
Onuphis geophiliformis,Onuphis geophiliformis,accepted,Onuphis geophiliformis,NA,species,Annelida,Polychaeta,Eunicida,Onuphidae,Onuphis,TRUE,FALSE,FALSE,334274,334274,NA,NA,129404
Sphaerodorum papillifer,Sphaerodorum papillifer,accepted,Sphaerodorum papillifer,NA,species,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,Sphaerodorum,TRUE,FALSE,FALSE,334820,334820,NA,NA,129602
Patinopecten caurinus,Patinopecten caurinus,accepted,Patinopecten caurinus,NA,species,Mollusca,Bivalvia,Pectinida,Pectinidae,Patinopecten,TRUE,FALSE,FALSE,393720,393720,81994,294744,203965
NA,Alia,accepted,NA,NA,genus,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Alia,TRUE,FALSE,FALSE,NA,512256,NA,NA,512256
Molpadia intermedia,Molpadia intermedia,accepted,Molpadia intermedia,NA,species,Echinodermata,Holothuroidea,Molpadida,Molpadiidae,Molpadia,TRUE,FALSE,FALSE,529545,529545,99742,861512,123540
NA,Cryptolithodes,accepted,NA,NA,genus,Arthropoda,Malacostraca,Decapoda,Lithodidae,Cryptolithodes,TRUE,FALSE,FALSE,NA,550614,NA,174326,550614
NA,Tellina,accepted,NA,NA,genus,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina,TRUE,NA,NA,NA,138533,NA,59234,138533
Macoma calcarea,Macoma calcarea,accepted,Macoma calcarea,NA,species,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,TRUE,NA,NA,141580,141580,370992,1421134,138531
Boreotrophon clathratus,Boreotrophon clathratus,accepted,Boreotrophon clathratus,NA,species,Mollusca,Gastropoda,Neogastropoda,Muricidae,Boreotrophon,TRUE,NA,NA,146732,146732,449242,1471183,146731
Ophiopenia disacantha,Ophiopenia disacantha,accepted,Ophiopenia disacantha,NA,species,Echinodermata,Ophiuroidea,Ophiurida,NA,Ophiopenia,TRUE,FALSE,FALSE,243904,243904,NA,NA,242442
Leodice valens,Leodice valens,accepted,Leodice valens,NA,species,Annelida,Polychaeta,Eunicida,Eunicidae,Leodice,TRUE,FALSE,FALSE,336700,336700,770259,2109262,324708
NA,Elassochirus,accepted,NA,NA,genus,Arthropoda,Malacostraca,Decapoda,Paguridae,Elassochirus,TRUE,FALSE,FALSE,NA,366319,NA,1933394,366319
Luidia foliolata,Luidia foliolata,accepted,Luidia foliolata,NA,species,Echinodermata,Asteroidea,Paxillosida,Luidiidae,Luidia,TRUE,FALSE,FALSE,368114,368114,32894,105861,123260
Cancer productus,Cancer productus,accepted,Cancer productus,NA,species,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,TRUE,FALSE,FALSE,440382,440382,15841,88209,106876
Vilasina vernicosa,Vilasina vernicosa,accepted,Vilasina vernicosa,NA,species,Mollusca,Bivalvia,Mytilida,Mytilidae,Vilasina,TRUE,FALSE,FALSE,506195,506195,600752,NA,492088
Compsomyax subdiaphana,Compsomyax subdiaphana,accepted,Compsomyax subdiaphana,NA,species,Mollusca,Bivalvia,Venerida,Veneridae,Compsomyax,TRUE,NA,NA,507527,507527,83703,345459,492504
Puncturella galeata,Puncturella galeata,accepted,Puncturella galeata,NA,species,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Puncturella,TRUE,NA,NA,527888,527888,495467,1421148,138015
NA,Hippomedon,accepted,NA,NA,genus,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Hippomedon,TRUE,FALSE,FALSE,NA,101610,NA,2058488,101610
Eurytemora americana,Eurytemora americana,accepted,Eurytemora americana,NA,species,Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora,TRUE,TRUE,FALSE,104873,104873,NA,NA,104240
NA,Dipolydora,accepted,NA,NA,genus,Annelida,Polychaeta,Spionida,Spionidae,Dipolydora,TRUE,FALSE,FALSE,NA,129611,NA,484803,129611
Ampharete finmarchica,Ampharete finmarchica,accepted,Ampharete finmarchica,NA,species,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,TRUE,FALSE,FALSE,129778,129778,524776,1311516,129155
Travisia forbesii,Travisia forbesii,accepted,Travisia forbesii,NA,species,Annelida,Polychaeta,NA,Travisiidae,Travisia,TRUE,FALSE,FALSE,130512,130512,249107,205113,129417
Pygospio elegans,Pygospio elegans,accepted,Pygospio elegans,NA,species,Annelida,Polychaeta,Spionida,Spionidae,Pygospio,TRUE,FALSE,FALSE,131170,131170,306750,51279,129622
NA,Hyalonema,accepted,NA,NA,genus,Porifera,Hexactinellida,Amphidiscosida,Hyalonematidae,Hyalonema,TRUE,FALSE,FALSE,NA,132096,NA,472131,132096
Mya arenaria,Mya arenaria,accepted,Mya arenaria,NA,species,Mollusca,Bivalvia,Myida,Myidae,Mya,TRUE,NA,NA,140430,140430,30912,6604,138211
NA,Heteropora,accepted,NA,NA,genus,Bryozoa,Stenolaemata,Cyclostomatida,Heteroporidae,Heteropora,TRUE,NA,NA,NA,248342,NA,NA,248342
Axiothella rubrocincta,Axiothella rubrocincta,accepted,Axiothella rubrocincta,NA,species,Annelida,Polychaeta,NA,Maldanidae,Axiothella,TRUE,FALSE,FALSE,254726,254726,205781,61847,129342
Epiactis prolifera,Epiactis prolifera,accepted,Epiactis prolifera,NA,species,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Epiactis,TRUE,NA,NA,283435,283435,324508,160221,100703
Polyorchis penicillatus,Polyorchis penicillatus,accepted,Polyorchis penicillatus,NA,species,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Polyorchis,TRUE,NA,NA,290843,290843,516118,6091,267759
Sphaerodoropsis uzitunensis,Sphaerodoropsis uzitunensis,accepted,Sphaerodoropsis uzitunensis,NA,species,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,Sphaerodoropsis,TRUE,FALSE,FALSE,331992,331992,NA,NA,129601
Drilonereis falcata minor,Drilonereis falcata minor,accepted,Drilonereis falcata,Drilonereis falcata minor,subspecies,Annelida,Polychaeta,Eunicida,Oenonidae,Drilonereis,TRUE,FALSE,FALSE,327464,335424,NA,NA,129200
Astarte alaskensis,Astarte alaskensis,accepted,Astarte alaskensis,NA,species,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,TRUE,NA,NA,423164,423164,735773,NA,137683
Nutricola tantilla,Nutricola tantilla,accepted,Nutricola tantilla,NA,species,Mollusca,Bivalvia,Venerida,Veneridae,Nutricola,TRUE,NA,NA,507789,507789,80262,282298,492501
Amphissa reticulata,Amphissa reticulata,accepted,Amphissa reticulata,NA,species,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,TRUE,NA,FALSE,511362,511362,495453,1421184,137801
Chaetoderma robustum,Chaetoderma robustum,accepted,Chaetoderma robustum,NA,species,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,Chaetoderma,TRUE,NA,NA,545049,545049,NA,NA,137773
Aricidea (Strelzovia) suecica,Aricidea (Strelzovia) suecica,accepted,Aricidea (Strelzovia) suecica,NA,species,Annelida,Polychaeta,NA,Paraonidae,Aricidea,TRUE,FALSE,FALSE,734532,734532,NA,NA,129430
Odontogena borealis,Odontogena borealis,accepted,Odontogena borealis,NA,species,Mollusca,Bivalvia,Lucinida,Thyasiridae,Odontogena,TRUE,NA,NA,736369,736369,NA,NA,736367
