verbatim_species,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,genusid
NA,Thala,accepted,NA,NA,genus,Mollusca,Gastropoda,Neogastropoda,Costellariidae,Thala,TRUE,NA,NA,NA,205783,NA,1719476,205783
Enteroctopus dofleini,Enteroctopus dofleini,accepted,Enteroctopus dofleini,NA,species,Mollusca,Cephalopoda,Octopoda,Enteroctopodidae,Enteroctopus,TRUE,NA,FALSE,342305,342305,160577,267067,341422
NA,Plumarella,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Plumarella,TRUE,NA,NA,NA,177839,NA,500558,177839
Radicipes stonei,Radicipes stonei,accepted,Radicipes stonei,NA,species,Cnidaria,Anthozoa,Scleralcyonacea,Chrysogorgiidae,Radicipes,TRUE,FALSE,FALSE,1034980,1034980,NA,2086588,125297
Mycale (Mycale) loveni,Mycale (Mycale) loveni,accepted,Mycale (Mycale) loveni,NA,species,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale,TRUE,FALSE,FALSE,168642,168642,NA,NA,131907
NA,Thouarella,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Thouarella,TRUE,NA,NA,NA,125323,NA,360011,125323
Aphrocallistes vastus,Aphrocallistes vastus,accepted,Aphrocallistes vastus,NA,species,Porifera,Hexactinellida,Sceptrulophora,Aphrocallistidae,Aphrocallistes,TRUE,FALSE,FALSE,171632,171632,25624,83887,132099
NA,Tethya,accepted,NA,NA,genus,Porifera,Demospongiae,Tethyida,Tethyidae,Tethya,TRUE,FALSE,FALSE,NA,132077,NA,34493,132077
NA,Stylaster,accepted,NA,NA,genus,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,TRUE,TRUE,NA,NA,117246,NA,520368,117246
Halichondria (Eumastia) sitiens,Halichondria (Eumastia) sitiens,accepted,Halichondria (Eumastia) sitiens,NA,species,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,TRUE,FALSE,FALSE,165789,165789,NA,NA,131807
NA,Histodermella,accepted,NA,NA,genus,Porifera,Demospongiae,Poecilosclerida,Coelosphaeridae,Histodermella,TRUE,FALSE,FALSE,NA,131925,NA,NA,131925
Lithodes aequispinus,Lithodes aequispinus,accepted,Lithodes aequispinus,NA,species,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,TRUE,FALSE,FALSE,550622,550622,8401,174392,106845
Callogorgia compressa,Callogorgia compressa,accepted,Callogorgia compressa,NA,species,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Callogorgia,TRUE,FALSE,FALSE,292043,292043,NA,NA,125317
Clathrina blanca,Clathrina blanca,accepted,Clathrina blanca,NA,species,Porifera,Calcarea,Clathrinida,Clathrinidae,Clathrina,TRUE,FALSE,FALSE,233970,233970,NA,1346146,131729
Chionoecetes bairdi,Chionoecetes bairdi,accepted,Chionoecetes bairdi,NA,species,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,TRUE,FALSE,FALSE,368558,368558,8500,232428,106898
NA,Latrunculia (Latrunculia),accepted,NA,NA,subgenus,Porifera,Demospongiae,Poecilosclerida,Latrunculiidae,Latrunculia,TRUE,FALSE,FALSE,NA,231637,NA,NA,132038
NA,Gorgonocephalus,accepted,NA,NA,genus,Echinodermata,Ophiuroidea,Euryalida,Gorgonocephalidae,Gorgonocephalus,TRUE,FALSE,FALSE,NA,123586,NA,105880,123586
NA,Polymastia,accepted,NA,NA,genus,Porifera,Demospongiae,Polymastiida,Polymastiidae,Polymastia,TRUE,FALSE,FALSE,NA,132046,NA,283513,132046
NA,Callogorgia,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Callogorgia,TRUE,TRUE,NA,NA,125317,NA,767299,125317
NA,Arthrogorgia,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Arthrogorgia,TRUE,NA,NA,NA,267238,NA,500553,267238
Homaxinella amphispicula,Homaxinella amphispicula,accepted,Homaxinella amphispicula,NA,species,Porifera,Demospongiae,Suberitida,Suberitidae,Homaxinella,TRUE,FALSE,FALSE,766264,766264,NA,NA,131777
NA,Heteropolypus,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Heteropolypus,TRUE,NA,FALSE,NA,345446,NA,1826360,345446
NA,Rhabdocalyptus,accepted,NA,NA,genus,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Rhabdocalyptus,TRUE,FALSE,FALSE,NA,178290,NA,60886,178290
NA,Anthomastus,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Anthomastus,TRUE,FALSE,FALSE,NA,125285,NA,86531,125285
Paragorgia pacifica,Paragorgia pacifica,accepted,Paragorgia pacifica,NA,species,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Paragorgia,TRUE,FALSE,FALSE,517887,517887,516133,1825780,125326
NA,Paragorgia,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Paragorgia,TRUE,NA,FALSE,NA,125326,NA,44183,125326
NA,Hyas,accepted,NA,NA,genus,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,TRUE,NA,NA,NA,106903,NA,361633,106903
Halichondria (Halichondria) panicea,Halichondria (Halichondria) panicea,accepted,Halichondria (Halichondria) panicea,NA,species,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,TRUE,FALSE,FALSE,165853,165853,NA,6063,131807
Chionoecetes tanneri,Chionoecetes tanneri,accepted,Chionoecetes tanneri,NA,species,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,TRUE,FALSE,FALSE,442165,442165,8499,262399,106898
Latrunculia (Uniannulata) oparinae,Latrunculia (Uniannulata) oparinae,accepted,Latrunculia (Uniannulata) oparinae,NA,species,Porifera,Demospongiae,Poecilosclerida,Latrunculiidae,Latrunculia,TRUE,FALSE,FALSE,880531,880531,NA,NA,132038
NA,Swiftia,accepted,NA,NA,genus,Cnidaria,Anthozoa,Malacalcyonacea,Plexauridae,Swiftia,TRUE,FALSE,FALSE,NA,125314,NA,216505,125314
NA,Primnoa,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Primnoa,TRUE,NA,FALSE,NA,125321,NA,133971,125321
NA,Suberites,accepted,NA,NA,genus,Porifera,Demospongiae,Suberitida,Suberitidae,Suberites,TRUE,FALSE,FALSE,NA,132072,NA,55566,132072
Muriceides nigra,Muriceides nigra,accepted,Muriceides nigra,NA,species,Cnidaria,Anthozoa,Malacalcyonacea,Paramuriceidae,Muriceides,TRUE,NA,FALSE,286365,286365,514300,1460413,125310
NA,Muriceides,accepted,NA,NA,genus,Cnidaria,Anthozoa,Malacalcyonacea,Paramuriceidae,Muriceides,TRUE,NA,FALSE,NA,125310,NA,287921,125310
NA,Oithona,accepted,NA,NA,genus,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,TRUE,TRUE,TRUE,NA,106485,NA,NA,106485
Stylaster campylecus,Stylaster campylecus,accepted,Stylaster campylecus,NA,species,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,TRUE,NA,NA,346433,346433,NA,520390,117246
Erimacrus isenbeckii,Erimacrus isenbeckii,accepted,Erimacrus isenbeckii,NA,species,Arthropoda,Malacostraca,Decapoda,Cheiragonidae,Erimacrus,TRUE,FALSE,FALSE,440405,440405,25458,299522,439222
Chionoecetes opilio,Chionoecetes opilio,accepted,Chionoecetes opilio,NA,species,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,TRUE,FALSE,FALSE,107315,107315,25191,41210,106898
Suberites ficus,Suberites ficus,accepted,Suberites ficus,NA,species,Porifera,Demospongiae,Suberitida,Suberitidae,Suberites,TRUE,FALSE,FALSE,134285,134285,81384,86007,132072
Histodermella kagigunensis,Histodermella kagigunensis,accepted,Histodermella kagigunensis,NA,species,Porifera,Demospongiae,Poecilosclerida,Coelosphaeridae,Histodermella,TRUE,FALSE,FALSE,736899,736899,NA,NA,131925
Isodictya rigida,Isodictya rigida,accepted,Isodictya rigida,NA,species,Porifera,Demospongiae,Poecilosclerida,Isodictyidae,Isodictya,TRUE,FALSE,FALSE,168470,168470,NA,NA,131905
Primnoa pacifica,Primnoa pacifica var. willeyi,accepted,Primnoa pacifica,NA,variety,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Primnoa,TRUE,NA,FALSE,286539,409549,NA,328425,125321
Chionoecetes angulatus,Chionoecetes angulatus,accepted,Chionoecetes angulatus,NA,species,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,TRUE,FALSE,FALSE,442161,442161,8498,397937,106898
Eucalanus bungii,Eucalanus bungii,accepted,Eucalanus bungii,NA,species,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,TRUE,FALSE,FALSE,196775,196775,14421,121138,104171
Lithodes couesi,Lithodes couesi,accepted,Lithodes couesi,NA,species,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,TRUE,FALSE,FALSE,550625,550625,8400,397957,106845
Cyclohelia lamellata,Cyclohelia lamellata,accepted,Cyclohelia lamellata,NA,species,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Cyclohelia,TRUE,NA,NA,289768,289768,NA,520370,267361
Calcigorgia spiculifera,Calcigorgia spiculifera,accepted,Calcigorgia spiculifera,NA,species,Cnidaria,Anthozoa,Malacalcyonacea,Malacalcyonacea incertae sedis,Calcigorgia,TRUE,NA,FALSE,378316,378316,514295,86556,378315
Euchelipluma elongata,Euchelipluma elongata,accepted,Euchelipluma elongata,NA,species,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Euchelipluma,TRUE,FALSE,FALSE,233109,233109,NA,NA,131896
NA,Calanus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,TRUE,FALSE,FALSE,NA,104152,NA,6836,104152
NA,Chionoecetes,accepted,NA,NA,genus,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,TRUE,NA,NA,NA,106898,NA,41209,106898
NA,Alcyonium,accepted,NA,NA,genus,Cnidaria,Anthozoa,Malacalcyonacea,Alcyoniidae,Alcyonium,TRUE,FALSE,FALSE,NA,125284,NA,NA,125284
Neocalanus plumchrus,Neocalanus plumchrus,accepted,Neocalanus plumchrus,NA,species,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,TRUE,FALSE,FALSE,196772,196772,32386,119370,104155
Alaskagorgia aleutiana,Alaskagorgia aleutiana,accepted,Alaskagorgia aleutiana,NA,species,Cnidaria,Anthozoa,Malacalcyonacea,Malacalcyonacea incertae sedis,Alaskagorgia,TRUE,NA,FALSE,289377,289377,514302,270263,267210
Pseudocalanus minutus,Pseudocalanus minutus,accepted,Pseudocalanus minutus,NA,species,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,TRUE,FALSE,FALSE,104517,104517,32380,148993,104165
Distichopora borealis,Distichopora borealis,accepted,Distichopora borealis,NA,species,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Distichopora,TRUE,NA,FALSE,288320,288320,NA,520311,205513
Errinopora nanneca,Errinopora nanneca,accepted,Errinopora nanneca,NA,species,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Errinopora,TRUE,NA,FALSE,289914,289914,NA,520372,267421
Paralithodes camtschaticus,Paralithodes camtschaticus,accepted,Paralithodes camtschaticus,NA,species,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,TRUE,FALSE,FALSE,233889,233889,25186,6741,106847
Axinella blanca,Axinella blanca,accepted,Axinella blanca,NA,species,Porifera,Demospongiae,Axinellida,Axinellidae,Axinella,TRUE,FALSE,FALSE,132468,132468,NA,NA,131774
NA,Craniella,accepted,NA,NA,genus,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,TRUE,FALSE,FALSE,NA,132093,NA,496416,132093
Hyas lyratus,Hyas lyratus,accepted,Hyas lyratus,NA,species,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,TRUE,FALSE,FALSE,442167,442167,15968,397953,106903
NA,Stelletta,accepted,NA,NA,genus,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stelletta,TRUE,FALSE,FALSE,NA,131994,NA,253167,131994
Geodia robusta,Geodia robusta,accepted,Geodia robusta,NA,species,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,TRUE,FALSE,FALSE,170169,170169,NA,NA,132005
Monanchora pulchra,Monanchora pulchra,accepted,Monanchora pulchra,NA,species,Porifera,Demospongiae,Poecilosclerida,Crambeidae,Monanchora,TRUE,FALSE,FALSE,169022,169022,NA,NA,169014
NA,Pennatula,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Pennatulidae,Pennatula,TRUE,FALSE,FALSE,NA,128495,NA,NA,128495
Phakellia dalli,Phakellia dalli,accepted,Phakellia dalli,NA,species,Porifera,Demospongiae,Bubarida,Bubaridae,Phakellia,TRUE,FALSE,FALSE,132507,132507,NA,NA,131779
NA,Keratoisis,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Keratoisididae,Keratoisis,TRUE,FALSE,FALSE,NA,125306,NA,243285,125306
Stylaster brochi,Stylaster brochi,accepted,Stylaster brochi,NA,species,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,TRUE,NA,NA,285858,285858,NA,NA,117246
NA,Errinopora,accepted,NA,NA,genus,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Errinopora,TRUE,NA,FALSE,NA,267421,NA,520355,267421
NA,Mycale,accepted,NA,NA,genus,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale,TRUE,FALSE,FALSE,NA,131907,NA,86015,131907
Amphilectus digitatus infundibulus,Amphilectus digitatus infundibulus,accepted,Amphilectus digitatus,Amphilectus digitatus infundibulus,subspecies,Porifera,Demospongiae,Poecilosclerida,Esperiopsidae,Amphilectus,TRUE,FALSE,FALSE,225695,225698,NA,NA,131933
NA,Calcigorgia,accepted,NA,NA,genus,Cnidaria,Anthozoa,Malacalcyonacea,Malacalcyonacea incertae sedis,Calcigorgia,TRUE,FALSE,FALSE,NA,378315,NA,86555,378315
NA,Fiona,accepted,NA,NA,genus,Mollusca,Gastropoda,Nudibranchia,Fionidae,Fiona,TRUE,NA,NA,NA,138007,NA,1287637,138007
Plakina tanaga,Plakina tanaga,accepted,Plakina tanaga,NA,species,Porifera,Homoscleromorpha,Homosclerophorida,Plakinidae,Plakina,TRUE,FALSE,FALSE,195924,195924,NA,NA,131981
Myxilla brunnea,Myxilla brunnea,accepted,Myxilla brunnea,NA,species,Porifera,Demospongiae,Poecilosclerida,Myxillidae,Myxilla,TRUE,FALSE,FALSE,133874,133874,NA,NA,131970
Chondrocladia (Chondrocladia) concrescens,Chondrocladia (Chondrocladia) concrescens,accepted,Chondrocladia (Chondrocladia) concrescens,NA,species,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Chondrocladia,TRUE,FALSE,FALSE,168213,168213,NA,NA,131894
Plumarella superba,Plumarella superba,accepted,Plumarella superba,NA,species,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Plumarella,TRUE,FALSE,FALSE,574237,574237,514144,2175899,177839
Neocalanus cristatus,Neocalanus cristatus,accepted,Neocalanus cristatus,NA,species,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,TRUE,FALSE,FALSE,104470,104470,24528,119368,104155
Polymastia fluegeli,Polymastia fluegeli,accepted,Polymastia fluegeli,NA,species,Porifera,Demospongiae,Polymastiida,Polymastiidae,Polymastia,TRUE,FALSE,FALSE,195929,195929,NA,NA,132046
NA,Farrea,accepted,NA,NA,genus,Porifera,Hexactinellida,Sceptrulophora,Farreidae,Farrea,TRUE,FALSE,FALSE,NA,132107,NA,97976,132107
Metridia lucens lucens,Metridia lucens lucens,accepted,Metridia lucens,Metridia lucens lucens,subspecies,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,TRUE,FALSE,FALSE,104633,850801,NA,NA,104190
Oithona similis,Oithona similis,accepted,Oithona similis,NA,species,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,TRUE,TRUE,TRUE,106656,106656,142599,324873,106485
Plumarella profunda,Plumarella profunda,accepted,Plumarella profunda,NA,species,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Plumarella,TRUE,FALSE,FALSE,574234,574234,NA,NA,177839
NA,Henricia,accepted,NA,NA,genus,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,TRUE,FALSE,FALSE,NA,123276,NA,NA,123276
Amphilectus digitatus,Amphilectus digitatus,accepted,Amphilectus digitatus,NA,species,Porifera,Demospongiae,Poecilosclerida,Esperiopsidae,Amphilectus,TRUE,FALSE,FALSE,225695,225695,NA,NA,131933
NA,Discorhabdella,accepted,NA,NA,genus,Porifera,Demospongiae,Poecilosclerida,Crambeidae,Discorhabdella,TRUE,FALSE,FALSE,NA,131932,NA,NA,131932
Myxilla (Myxilla) incrustans,Myxilla (Myxilla) incrustans,accepted,Myxilla (Myxilla) incrustans,NA,species,Porifera,Demospongiae,Poecilosclerida,Myxillidae,Myxilla,TRUE,FALSE,FALSE,169466,169466,NA,NA,131970
Acartia (Acartiura) longiremis,Acartia (Acartiura) longiremis,accepted,Acartia (Acartiura) longiremis,NA,species,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,TRUE,FALSE,FALSE,346037,346037,NA,NA,104108
Callogorgia fraseri,Callogorgia fraseri,accepted,Callogorgia fraseri,NA,species,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Callogorgia,TRUE,FALSE,FALSE,292044,292044,NA,NA,125317
Stelodoryx oxeata,Stelodoryx oxeata,accepted,Stelodoryx oxeata,NA,species,Porifera,Demospongiae,Poecilosclerida,Myxillidae,Stelodoryx,TRUE,FALSE,FALSE,233108,233108,NA,NA,169507
Cryogorgia koolsae,Cryogorgia koolsae,accepted,Cryogorgia koolsae,NA,species,Cnidaria,Anthozoa,Malacalcyonacea,Malacalcyonacea incertae sedis,Cryogorgia,TRUE,NA,FALSE,289747,289747,671315,637403,267349
NA,Metridia,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,TRUE,FALSE,FALSE,NA,104190,NA,114066,104190
Calcigorgia beringi,Calcigorgia beringi,accepted,Calcigorgia beringi,NA,species,Cnidaria,Anthozoa,Malacalcyonacea,Malacalcyonacea incertae sedis,Calcigorgia,TRUE,NA,FALSE,520678,520678,514312,639591,378315
NA,Acartia,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,TRUE,FALSE,FALSE,NA,104108,NA,121148,104108
Crypthelia trophostega,Crypthelia trophostega,accepted,Crypthelia trophostega,NA,species,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Crypthelia,TRUE,NA,FALSE,285799,285799,NA,520308,117241
NA,Acanthogorgia,accepted,NA,NA,genus,Cnidaria,Anthozoa,Malacalcyonacea,Paramuriceidae,Acanthogorgia,TRUE,NA,FALSE,NA,125293,NA,44189,125293
Pandalus tridens,Pandalus tridens,accepted,Pandalus tridens,NA,species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,423633,423633,15880,98109,107044
Geodia mesotriaena,Geodia mesotriaena,accepted,Geodia mesotriaena,NA,species,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,TRUE,FALSE,FALSE,134035,134035,NA,NA,132005
Metridia pacifica,Metridia pacifica,accepted,Metridia pacifica,NA,species,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,TRUE,FALSE,FALSE,196784,196784,28710,114067,104190
Balticina willemoesi,Balticina willemoesi,accepted,Balticina willemoesi,NA,species,Cnidaria,Anthozoa,Scleralcyonacea,Balticinidae,Balticina,TRUE,FALSE,FALSE,1393616,1393616,NA,NA,146534
Placetron wosnessenskii,Placetron wosnessenskii,accepted,Placetron wosnessenskii,NA,species,Arthropoda,Malacostraca,Decapoda,Hapalogastridae,Placetron,TRUE,FALSE,FALSE,590118,590118,NA,1933399,590117
NA,Gersemia,accepted,NA,NA,genus,Cnidaria,Anthozoa,Malacalcyonacea,Alcyoniidae,Gersemia,TRUE,NA,FALSE,NA,146953,NA,134439,146953
Plumarella aleutiana,Plumarella aleutiana,accepted,Plumarella aleutiana,NA,species,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Plumarella,TRUE,NA,FALSE,574236,574236,NA,2175897,177839
NA,Balticina,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Balticinidae,Balticina,TRUE,FALSE,FALSE,NA,146534,NA,NA,146534
Oregonia gracilis,Oregonia gracilis,accepted,Oregonia gracilis,NA,species,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Oregonia,TRUE,FALSE,FALSE,442171,442171,72586,553030,439494
Hippasteria phrygiana,Hippasteria phrygiana,accepted,Hippasteria phrygiana,NA,species,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Hippasteria,TRUE,FALSE,FALSE,124043,124043,193686,1277726,123297
Tedania (Tedania) kagalaskai,Tedania (Tedania) kagalaskai,accepted,Tedania (Tedania) kagalaskai,NA,species,Porifera,Demospongiae,Poecilosclerida,Tedaniidae,Tedania,TRUE,FALSE,FALSE,225434,225434,NA,NA,131974
Geodia carolae,Geodia carolae,accepted,Geodia carolae,NA,species,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,TRUE,FALSE,FALSE,1424278,1424278,NA,NA,132005
Leptasterias (Hexasterias) camtschatica,Leptasterias (Hexasterias) camtschatica,accepted,Leptasterias (Hexasterias) camtschatica,NA,species,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,TRUE,FALSE,FALSE,369160,369160,NA,NA,123222
NA,Halichondria,accepted,NA,NA,genus,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,TRUE,FALSE,FALSE,NA,131807,NA,6061,131807
Caryophyllia (Caryophyllia) alaskensis,Caryophyllia (Caryophyllia) alaskensis,accepted,Caryophyllia (Caryophyllia) alaskensis,NA,species,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Caryophyllia,TRUE,FALSE,FALSE,286724,286724,NA,NA,135085
NA,Halocynthia,accepted,NA,NA,genus,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Halocynthia,TRUE,NA,NA,NA,103519,NA,7728,103519
Polymastia boletiformis,Polymastia boletiformis,accepted,Polymastia boletiformis,NA,species,Porifera,Demospongiae,Polymastiida,Polymastiidae,Polymastia,TRUE,FALSE,FALSE,134194,134194,239892,942651,132046
NA,Parantipathes,accepted,NA,NA,genus,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Parantipathes,TRUE,NA,NA,NA,103306,NA,578577,103306
Craniella spinosa,Craniella spinosa,accepted,Craniella spinosa,NA,species,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,TRUE,FALSE,FALSE,171352,171352,NA,NA,132093
Onykia robusta,Onykia robusta,accepted,Onykia robusta,NA,species,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onykia,TRUE,NA,FALSE,410385,410385,608191,72292,138292
Spirontocaris arcuata,Spirontocaris arcuata,accepted,Spirontocaris arcuata,NA,species,Arthropoda,Malacostraca,Decapoda,Thoridae,Spirontocaris,TRUE,FALSE,FALSE,254485,254485,NA,1620914,106994
NA,Pteraster,accepted,NA,NA,genus,Echinodermata,Asteroidea,Velatida,Pterasteridae,Pteraster,TRUE,FALSE,FALSE,NA,123335,NA,105872,123335
Craniella villosa,Craniella villosa,accepted,Craniella villosa,NA,species,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,TRUE,FALSE,FALSE,171357,171357,245295,NA,132093
Semisuberites cribrosa,Semisuberites cribrosa,accepted,Semisuberites cribrosa,NA,species,Porifera,Demospongiae,Poecilosclerida,Esperiopsidae,Semisuberites,TRUE,FALSE,FALSE,168379,168379,NA,NA,168378
NA,Pseudocalanus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,TRUE,FALSE,FALSE,NA,104165,NA,119371,104165
Ophiopholis aculeata,Ophiopholis aculeata,accepted,Ophiopholis aculeata,NA,species,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Ophiopholis,TRUE,FALSE,FALSE,125125,125125,30197,35052,123622
Cladocroce attu,Cladocroce attu,accepted,Cladocroce attu,NA,species,Porifera,Demospongiae,Haplosclerida,Chalinidae,Cladocroce,TRUE,FALSE,FALSE,737452,737452,NA,NA,131832
Oikopleura (Vexillaria) labradoriensis,Oikopleura (Vexillaria) labradoriensis,accepted,Oikopleura (Vexillaria) labradoriensis,NA,species,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,TRUE,NA,NA,103413,103413,NA,NA,103367
Stylaster alaskanus,Stylaster alaskanus,accepted,Stylaster alaskanus,NA,species,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,TRUE,NA,FALSE,285846,285846,NA,NA,117246
NA,Caryophyllia,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Caryophyllia,TRUE,NA,FALSE,NA,135085,NA,130052,135085
Ptilosarcus gurneyi,Ptilosarcus gurneyi,accepted,Ptilosarcus gurneyi,NA,species,Cnidaria,Anthozoa,Scleralcyonacea,Pennatulidae,Ptilosarcus,TRUE,FALSE,FALSE,290947,290947,349039,161601,267795
NA,Inflatella,accepted,NA,NA,genus,Porifera,Demospongiae,Poecilosclerida,Coelosphaeridae,Inflatella,TRUE,FALSE,FALSE,NA,131926,NA,1336926,131926
NA,Gaetanus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Aetideidae,Gaetanus,TRUE,FALSE,FALSE,NA,104121,NA,202828,104121
Paralomis multispina,Paralomis multispina,accepted,Paralomis multispina,NA,species,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralomis,TRUE,FALSE,FALSE,378131,378131,19013,324080,106848
Littorina sitkana,Littorina sitkana,accepted,Littorina sitkana,NA,species,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,TRUE,FALSE,FALSE,445754,445754,172887,45752,138135
Thysanoessa longipes,Thysanoessa longipes,accepted,Thysanoessa longipes,NA,species,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,TRUE,NA,NA,237873,237873,82023,210625,110679
NA,Stylatula,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Virgulariidae,Stylatula,TRUE,FALSE,FALSE,NA,128502,NA,86581,128502
Suberites domuncula,Suberites domuncula,accepted,Suberites domuncula,NA,species,Porifera,Demospongiae,Suberitida,Suberitidae,Suberites,TRUE,FALSE,FALSE,134282,134282,151715,55567,132072
NA,Geodia,accepted,NA,NA,genus,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,TRUE,FALSE,FALSE,NA,132005,NA,6046,132005
Neocalanus tonsus,Neocalanus tonsus,accepted,Neocalanus tonsus,NA,species,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,TRUE,FALSE,FALSE,344701,344701,32385,148992,104155
Javania borealis,Javania borealis,accepted,Javania borealis,NA,species,Cnidaria,Anthozoa,Scleractinia,Flabellidae,Javania,TRUE,NA,FALSE,287032,287032,NA,NA,135115
