found_taxa,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,genusid
Grubeulepis tebblei,Grubeulepis tebblei,accepted,Grubeulepis tebblei,NA,species,Annelida,Polychaeta,Phyllodocida,Eulepethidae,Grubeulepis,TRUE,FALSE,FALSE,328175,328175,NA,NA,129276
Zebina browniana,Zebina browniana,accepted,Zebina browniana,NA,species,Mollusca,Gastropoda,Littorinimorpha,Zebinidae,Zebina,TRUE,FALSE,FALSE,419645,419645,772826,NA,138460
Cosmotriphora ornata,Cosmotriphora ornata,accepted,Cosmotriphora ornata,NA,species,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Triphoridae,Cosmotriphora,TRUE,NA,NA,419895,419895,NA,NA,138570
Oxynoe antillarum,Oxynoe antillarum,accepted,Oxynoe antillarum,NA,species,Mollusca,Gastropoda,NA,Oxynoidae,Oxynoe,TRUE,NA,NA,420566,420566,302882,382447,138309
Limea bronniana,Limea bronniana,accepted,Limea bronniana,NA,species,Mollusca,Bivalvia,Limida,Limidae,Limea,TRUE,NA,NA,420756,420756,NA,NA,138128
Laticorophium baconi,Laticorophium baconi,accepted,Laticorophium baconi,NA,species,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Laticorophium,TRUE,NA,NA,421577,421577,752225,NA,415544
Lithadia vertiginosa,Lithadia vertiginosa,accepted,Lithadia vertiginosa,NA,species,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Lithadia,TRUE,FALSE,FALSE,441191,441191,NA,NA,415575
Microlissa brasiliensis,Microlissa brasiliensis,accepted,Microlissa brasiliensis,NA,species,Arthropoda,Malacostraca,Decapoda,Epialtidae,Microlissa,TRUE,FALSE,FALSE,441607,441607,NA,NA,415636
Olivella arionata,Olivella arionata,accepted,Olivella arionata,NA,species,Mollusca,Gastropoda,Neogastropoda,Olividae,Olivella,TRUE,NA,NA,448185,448185,NA,NA,138274
Cerithiella pernambucoensis,Cerithiella pernambucoensis,accepted,Cerithiella pernambucoensis,NA,species,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Newtoniellidae,Cerithiella,TRUE,NA,NA,457159,457159,NA,NA,137763
Parasergestes diapontius,Parasergestes diapontius,accepted,Parasergestes diapontius,NA,species,Arthropoda,Malacostraca,Decapoda,Sergestidae,Parasergestes,TRUE,FALSE,FALSE,514137,514137,NA,NA,513960
