found_taxa,worms_name,verbatim_name,gbif_name,ncbi_name,ncbi_commonname,gbif_usagekey,ncbi_uid,gbif_status,worms_aphiaid,worms_status,freshwater_only,kingdom,phylum,class,order,family,genus
Lumpenella longirostris,Lumpenella longirostris,Lumpenella longirostris,Lumpenella longirostris,Lumpenella longirostris,longsnout prickleback,2394845,557408,accepted,254351,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Lumpenella
Gymnosarda unicolor,Gymnosarda unicolor,Gymnosarda unicolor,Gymnosarda unicolor,Gymnosarda unicolor,dogtooth tuna,2374086,372805,accepted,219712,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Gymnosarda
Tetragonurus atlanticus,Tetragonurus atlanticus,Tetragonurus atlanticus,Tetragonurus atlanticus,Tetragonurus atlanticus,bigeye squaretail,5209331,1051621,accepted,127079,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Tetragonuridae,Tetragonurus
Katsuwonus pelamis,Katsuwonus pelamis,Katsuwonus pelamis,Katsuwonus pelamis,Katsuwonus pelamis,skipjack tuna,2374191,8226,accepted,127018,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Katsuwonus
Pareques iwamotoi,Pareques iwamotoi,Pareques iwamotoi,Pareques iwamotoi,Pareques iwamotoi,,2399852,3019057,accepted,315192,accepted,0,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Pareques
Tetragonurus pacificus,Tetragonurus pacificus,Tetragonurus pacificus,Tetragonurus pacificus,Tetragonurus pacificus,,5209333,1502865,accepted,274002,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Tetragonuridae,Tetragonurus
Stichaeopsis nevelskoi,Stichaeopsis nevelskoi,Stichaeopsis nevelskoi,Stichaeopsis nevelskoi,Stichaeopsis nevelskoi,,2395008,1049578,accepted,282889,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Stichaeopsis
Lycenchelys rassi,Lycenchelys rassi,Lycenchelys rassi,Lycenchelys rassi,Lycenchelys rassi,,2380653,2768265,accepted,274082,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycenchelys
Psenes pellucidus,Psenes pellucidus,Psenes pellucidus,Psenes pellucidus,Psenes pellucidus,bluefin driftfish,2381861,316144,accepted,126993,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Nomeidae,Psenes
Hypoatherina golanii,Hypoatherina golanii,Hypoatherina golanii,Hypoatherina golanii,Hypoatherina golanii,Red Sea silverside,8089977,1395007,accepted,834910,accepted,0,Animalia,Chordata,Teleostei,Atheriniformes,Atherinidae,Hypoatherina
Gasterochisma melampus,Gasterochisma melampus,Gasterochisma melampus,Gasterochisma melampus,Gasterochisma melampus,butterfly kingfish,2374226,13537,accepted,219709,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Gasterochisma
Ethmalosa fimbriata,Ethmalosa fimbriata,Ethmalosa fimbriata,Ethmalosa fimbriata,Ethmalosa fimbriata,Bonga shad,2413194,297798,accepted,280725,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Ethmalosa
Stichaeus punctatus,Stichaeus punctatus,Stichaeus punctatus,Stichaeus punctatus,Stichaeus punctatus,Arctic shanny,4284936,980344,accepted,159819,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Stichaeus
Decodon pacificus,Decodon pacificus,Decodon pacificus,Decodon pacificus,Decodon pacificus,ten-tooth wrasse,5209743,1585641,accepted,276746,accepted,0,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Decodon
Pterygotrigla hemisticta,Pterygotrigla hemisticta,Pterygotrigla hemisticta,Pterygotrigla hemisticta,Pterygotrigla hemisticta,blackspotted gurnard,2336624,1367116,accepted,277041,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Pterygotrigla
Niphon spinosus,Niphon spinosus,Niphon spinosus,Niphon spinosus,Niphon spinosus,,2387966,228254,accepted,281758,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Niphon
Hypoatherina gobio,NA,Hypoatherina gobio,Hypoatherina gobio,Hypoatherina gobio,,2411934,2012921,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Atheriniformes,Atherinidae,Hypoatherina
Hypoatherina temminckii,Hypoatherina temminckii,Hypoatherina temminckii,Hypoatherina temminckii,Hypoatherina temminckii,Samoan silverside,2411900,753916,accepted,217883,accepted,0,Animalia,Chordata,Teleostei,Atheriniformes,Atherinidae,Hypoatherina
Uaru amphiacanthoides,Uaru amphiacanthoides,Uaru amphiacanthoides,Uaru amphiacanthoides,Uaru amphiacanthoides,uaru,2371462,74137,accepted,1020068,accepted,1,Animalia,Chordata,Teleostei,Cichliformes,Cichlidae,Uaru
Caristius sp. CBM:ZF:15591,NA,Caristius sp. CBM:ZF:15591,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Scombriformes,Caristiidae,Caristius
Caristius macropus,Caristius macropus,Caristius macropus,Caristius macropus,Caristius macropus,bigmough manefish,2392038,740692,accepted,126824,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Caristiidae,Caristius
Thorichthys meeki,Thorichthys meeki,Thorichthys meeki,Thorichthys meeki,Thorichthys meeki,firemouth cichlid,2370898,61805,accepted,991200,accepted,1,Animalia,Chordata,Teleostei,Cichliformes,Cichlidae,Thorichthys
Caristius fasciatus,Caristius fasciatus,Caristius groenlandicus,Caristius groenlandicus,Caristius groenlandicus,Greenland manefish,2392040,1263175,synonym,873087,unaccepted,0,Animalia,Chordata,Teleostei,Scombriformes,Caristiidae,Caristius
Micrenophrys lilljeborgii,Micrenophrys lilljeborgii,Micrenophrys lilljeborgii,Micrenophrys lilljeborgii,Micrenophrys lilljeborgii,,2333845,2821466,accepted,127201,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Micrenophrys
Taurulus bubalis,Taurulus bubalis,Taurulus bubalis,Taurulus bubalis,Taurulus bubalis,,2334227,61643,accepted,127204,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Taurulus
Siniperca fortis,Siniperca fortis,Siniperca fortis,Siniperca fortis,Siniperca fortis,,2380463,358387,accepted,1015713,accepted,1,Animalia,Chordata,Teleostei,Centrarchiformes,Percichthyidae,Siniperca
Eumesogrammus praecisus,Eumesogrammus praecisus,Eumesogrammus praecisus,Eumesogrammus praecisus,Eumesogrammus praecisus,fourline snakeblenny,2394920,980387,accepted,159817,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Eumesogrammus
Opisthocentrus ocellatus,Opisthocentrus ocellatus,Opisthocentrus ocellatus,Opisthocentrus ocellatus,Opisthocentrus ocellatus,ocellated blenny,5211331,476928,accepted,281916,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Opisthocentrus
Perca fluviatilis,Perca fluviatilis,Perca fluviatilis,Perca fluviatilis,Perca fluviatilis,European perch,8140485,8168,accepted,151353,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Percidae,Perca
Lepidotrigla kanagashira,Lepidotrigla kanagashira,Lepidotrigla kanagashira,Lepidotrigla kanagashira,Lepidotrigla kanagashira,"Lepidotrigla kanagashira Kamohara, 1936",2336685,2202272,accepted,274896,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Lepidotrigla
Xenolumpenus longipterus,Xenolumpenus longipterus,Xenolumpenus longipterus,Xenolumpenus longipterus,Xenolumpenus longipterus,,5962157,1317009,accepted,712783,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xenolumpenus
Pholis fangi,Pholis fangi,Pholis fangi,Pholis fangi,Pholis fangi,,5210430,643647,accepted,273688,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Pholidae,Pholis
Pholis crassispina,Pholis crassispina,Pholis crassispina,Pholis crassispina,Pholis crassispina,gunnel,5210429,283025,accepted,273687,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Pholidae,Pholis
Ulvaria subbifurcata,Ulvaria subbifurcata,Ulvaria subbifurcata,Ulvaria subbifurcata,Ulvaria subbifurcata,radiated shanny,5211302,1225721,accepted,159821,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Ulvaria
Satyrichthys laticeps,Satyrichthys laticeps,Satyrichthys cf. laticeps AN-2018,Satyrichthys laticeps,Satyrichthys cf. laticeps AN-2018,,8267815,2211147,accepted,1011966,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Peristediidae,Satyrichthys
Stenatherina panatela,Stenatherina panatela,Stenatherina panatela,Stenatherina panatela,Stenatherina panatela,Panatella silverside,2411871,1395009,accepted,282882,accepted,0,Animalia,Chordata,Teleostei,Atheriniformes,Atherinidae,Stenatherina
Euthynnus affinis,Euthynnus affinis,Euthynnus affinis,Euthynnus affinis,Euthynnus affinis,eastern little tuna,5208561,8227,accepted,219708,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Euthynnus
Acanthocybium solandri,Acanthocybium solandri,Acanthocybium solandri,Acanthocybium solandri,Acanthocybium solandri,wahoo,2374069,13323,accepted,127014,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Acanthocybium
Astronesthes gemmifer,Astronesthes gemmifer,Astronesthes gemmifer,Astronesthes gemmifer,Astronesthes gemmifer,snaggletooth,2347027,700625,accepted,127322,accepted,0,Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Astronesthes
Astronesthes sp. CBM:ZF:15526,NA,Astronesthes sp. CBM:ZF:15526,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Astronesthes
Astronesthes sp. CBM:ZF:14326,NA,Astronesthes sp. CBM:ZF:14326,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Astronesthes
Astronesthes sp. CBM:ZF:14679,NA,Astronesthes sp. CBM:ZF:14679,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Astronesthes
Opisthocentrus zonope,Opisthocentrus zonope,Opisthocentrus zonope,Opisthocentrus zonope,Opisthocentrus zonope,,5211336,986102,accepted,281918,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Opisthocentrus
Opisthocentrus tenuis,Opisthocentrus tenuis,Opisthocentrus tenuis,Opisthocentrus tenuis,Opisthocentrus tenuis,,5211337,476930,accepted,281917,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Opisthocentrus
Stichaeopsis epallax,Stichaeopsis epallax,Stichaeopsis epallax,Stichaeopsis epallax,Stichaeopsis epallax,,2395010,1358737,accepted,282887,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Stichaeopsis
Stichaeopsis nana,Stichaeopsis nana,Stichaeopsis nana,Stichaeopsis nana,Stichaeopsis nana,,2395006,1638156,accepted,282888,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Stichaeopsis
Ernogrammus hexagrammus,Ernogrammus hexagrammus,Ernogrammus hexagrammus,Ernogrammus hexagrammus,Ernogrammus hexagrammus,,2394858,641279,accepted,280705,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Ernogrammus
Askoldia variegata,Askoldia variegata,Askoldia variegata,Askoldia variegata,Askoldia variegata,,2394849,986104,accepted,279746,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Askoldia
Lycodes hubbsi,Lycodes hubbsi,Lycodes hubbsi,Lycodes hubbsi,Lycodes hubbsi,,5209470,1332316,accepted,274102,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes caudimaculatus,Lycodes caudimaculatus,Lycodes caudimaculatus,Lycodes caudimaculatus,Lycodes caudimaculatus,,5209448,1471301,accepted,274096,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Bathymaster derjugini,Bathymaster derjugini,Bathymaster derjugini,Bathymaster derjugini,Bathymaster derjugini,,2394454,561508,accepted,279416,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Bathymasteridae,Bathymaster
Mikrogeophagus altispinosus,Mikrogeophagus altispinosus,Mikrogeophagus altispinosus,Mikrogeophagus altispinosus,Mikrogeophagus altispinosus,,2373109,74129,accepted,1017752,accepted,1,Animalia,Chordata,Teleostei,Cichliformes,Cichlidae,Mikrogeophagus
Stomias nebulosus,Stomias nebulosus,Stomias nebulosus,Stomias nebulosus,Stomias nebulosus,Alcock's boafish,2346858,595391,accepted,217619,accepted,0,Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Stomias
Sarda chiliensis,Sarda chiliensis,Sarda chiliensis,Sarda chiliensis,Sarda chiliensis,Pacific bonito,5712278,8231,accepted,293729,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Sarda
Cryptacanthodes giganteus,Cryptacanthodes giganteus,Cryptacanthodes giganteus,Cryptacanthodes giganteus,Cryptacanthodes giganteus,giant wrymouth,2387407,433379,accepted,276392,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes
Perca schrenkii,Perca schrenkii,Perca schrenkii,Perca schrenkii,Perca schrenkii,Balkhash perch,2382002,210850,accepted,1020373,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Percidae,Perca
Satyrichthys moluccensis,Satyrichthys moluccensis,Satyrichthys moluccensis,Satyrichthys moluccensis,Satyrichthys moluccensis,,7367983,2910012,accepted,1011965,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Peristediidae,Satyrichthys
Petenia splendida,Petenia splendida,Petenia splendida,Petenia splendida,Petenia splendida,bay snook,5208130,96998,accepted,1021117,accepted,1,Animalia,Chordata,Teleostei,Cichliformes,Cichlidae,Petenia
Siniperca scherzeri,Siniperca scherzeri,Siniperca scherzeri,Siniperca scherzeri,Siniperca scherzeri,leopard mandarin fish,2380457,228252,accepted,282799,accepted,0,Animalia,Chordata,Teleostei,Centrarchiformes,Percichthyidae,Siniperca
Sarda sarda,Sarda sarda,Sarda sarda,Sarda sarda,Sarda sarda,Atlantic bonito,5208593,8232,accepted,127021,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Sarda
Rastrinus scutiger,Rastrinus scutiger,Rastrinus scutiger,Rastrinus scutiger,Rastrinus scutiger,roughskin sculpin,2333863,1311559,accepted,282552,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Rastrinus
Bathygobius petrophilus,Bathygobius petrophilus,Bathygobius petrophilus,Bathygobius petrophilus,Bathygobius petrophilus,,2377055,2768276,accepted,277635,accepted,0,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Bathygobius
Sander marinus,Sander marinus,Sander marinus,Sander marinus,Sander marinus,estuarine perch,2382183,417912,accepted,275310,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Percidae,Sander
Dictyosoma burgeri,Dictyosoma burgeri,Dictyosoma burgeri,Dictyosoma burgeri,Dictyosoma burgeri,,5211347,57790,accepted,280546,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Dictyosoma
Leptostomias multifilis,Leptostomias multifilis,Leptostomias multifilis,Leptostomias multifilis,Leptostomias multifilis,,2346905,2768236,accepted,275159,accepted,0,Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Leptostomias
Argentina sphyraena,Argentina sphyraena,Argentina sphyraena,Argentina sphyraena,Argentina sphyraena,European argentine,5214448,442169,accepted,126716,accepted,0,Animalia,Chordata,Teleostei,Argentiniformes,Argentinidae,Argentina
Rachycentron canadum,Rachycentron canadum,Rachycentron canadum,Rachycentron canadum,Rachycentron canadum,cobia,2391729,141264,accepted,127006,accepted,0,Animalia,Chordata,Teleostei,Carangiformes,Rachycentridae,Rachycentron
Lycodes toyamensis,Lycodes toyamensis,Petroschmidtia toyamensis,Petroschmidtia toyamensis,Petroschmidtia toyamensis,eelpout,2380710,181467,synonym,274126,unaccepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Petroschmidtia
Lycenchelys kolthoffi,Lycenchelys kolthoffi,Lycenchelys kolthoffi,Lycenchelys kolthoffi,Lycenchelys kolthoffi,checkered wolf eel,2380654,1266875,accepted,127098,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycenchelys
Cryptocentrus nigrocellatus,Cryptocentrus nigrocellatus,Cryptocentrus nigrocellatus,Cryptocentrus nigrocellatus,Cryptocentrus nigrocellatus,Blackspot shrimpgoby,5209066,622405,accepted,278339,accepted,0,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Cryptocentrus
Bajacalifornia megalops,Bajacalifornia megalops,Bajacalifornia megalops,Bajacalifornia megalops,Bajacalifornia megalops,bigeye smooth-head,2410715,492034,accepted,126687,accepted,0,Animalia,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Bajacalifornia
Sarda orientalis,Sarda orientalis,Sarda orientalis,Sarda orientalis,Sarda orientalis,striped bonito,5208602,8230,accepted,219713,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Sarda
Petroschmidtia albonotatus,NA,Petroschmidtia albonotatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Petroschmidtia
Lycodapus microchir,Lycodapus microchir,Lycodapus microchir,Lycodapus microchir,Lycodapus microchir,obdurate eelpout,2380882,1696856,accepted,279392,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodapus
Barbourisia rufa,Barbourisia rufa,Barbourisia rufa,Barbourisia rufa,Barbourisia rufa,red whalefish,2351705,88660,accepted,159425,accepted,0,Animalia,Chordata,Teleostei,Beryciformes,Barbourisiidae,Barbourisia
Icelus toyamensis,Icelus toyamensis,Icelus toyamensis,Icelus toyamensis,Icelus toyamensis,,5201208,2607498,accepted,274387,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Icelus
Lycenchelys paxillus,Lycenchelys paxillus,Lycenchelys paxillus,Lycenchelys paxillus,Lycenchelys paxillus,common wolf eel,2380587,1266876,accepted,159257,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycenchelys
Lycodes raridens,Lycodes raridens,Lycodes raridens,Lycodes raridens,Lycodes raridens,marbled eelpout,5209445,512206,accepted,254598,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Malacocottus zonurus,Malacocottus zonurus,Malacocottus zonurus,Malacocottus zonurus,Malacocottus zonurus,darkfin sculpin,2334870,200682,accepted,254406,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Malacocottus
Megalocottus platycephalus,Megalocottus platycephalus,Megalocottus platycephalus,Megalocottus platycephalus,Megalocottus platycephalus,,4286462,476925,accepted,254411,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Megalocottus
Gymnocanthus tricuspis,Gymnocanthus tricuspis,Gymnocanthus tricuspis,Gymnocanthus tricuspis,Gymnocanthus tricuspis,Arctic staghorn sculpin,2334007,980329,accepted,127198,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Gymnocanthus
Malacocottus gibber,Malacocottus gibber,Malacocottus gibber,Malacocottus gibber,Malacocottus gibber,sepparikajika,2334874,708428,accepted,279441,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Malacocottus
Pterygotrigla ryukyuensis,Pterygotrigla ryukyuensis,Pterygotrigla ryukyuensis,Pterygotrigla ryukyuensis,Pterygotrigla ryukyuensis,Ryukyu gurnard,2336611,1585512,accepted,277052,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Pterygotrigla
Lycodapus mandibularis,Lycodapus mandibularis,Lycodapus mandibularis,Lycodapus mandibularis,Lycodapus mandibularis,pallid eelpout,2380870,557350,accepted,279391,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodapus
Bothrocarina nigrocaudata,Bothrocarina nigrocaudata,Bothrocarina nigrocaudata,Bothrocarina nigrocaudata,Bothrocarina nigrocaudata,,2381023,512201,accepted,279949,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Bothrocarina
Lycodapus parviceps,Lycodapus parviceps,Lycodapus parviceps,Lycodapus parviceps,Lycodapus parviceps,,2380879,1772030,accepted,279393,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodapus
Lycodes vahlii,Lycodes vahlii,Lycodes vahlii,Lycodes vahlii,Lycodes vahlii,Vahl's eelpout,5209425,215424,accepted,127118,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes terraenovae,Lycodes terraenovae,Lycodes terraenovae,Lycodes terraenovae,Lycodes terraenovae,Newfoundland eelpout,5209385,215415,accepted,127117,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes paamiuti,Lycodes paamiuti,Lycodes paamiuti,Lycodes paamiuti,Lycodes paamiuti,Paamiut eelpout,5209356,215421,accepted,159262,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes squamiventer,Lycodes squamiventer,Lycodes squamiventer,Lycodes squamiventer,Lycodes squamiventer,,5209418,2995744,accepted,127116,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes esmarkii,Lycodes esmarkii,Lycodes esmarkii,Lycodes esmarkii,Lycodes esmarkii,greater eelpout,5209392,215432,accepted,127103,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes nakamurae,Lycodes nakamurae,Lycodes nakamurae,Lycodes nakamurae,Lycodes nakamurae,,5209466,561260,accepted,274112,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes luetkenii,Lycodes luetkenii,Lycodes luetkenii,Lycodes luetkenii,Lycodes luetkenii,Lutken's eelpout,5209409,215423,accepted,127108,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes pallidus,Lycodes pallidus,Lycodes pallidus,Lycodes pallidus,Lycodes pallidus,pale eelpout,5209368,215420,accepted,127110,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes mcallisteri,Lycodes mcallisteri,Lycodes mcallisteri,Lycodes mcallisteri,Lycodes mcallisteri,McAllister's eelpout,5209373,215422,accepted,274109,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes eudipleurostictus,Lycodes eudipleurostictus,Lycodes eudipleurostictus,Lycodes eudipleurostictus,Lycodes eudipleurostictus,doublelone eelpout,5209362,215433,accepted,127104,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Bothrocara hollandi,Bothrocara hollandi,Bothrocara hollandi,Bothrocara hollandi,Bothrocara hollandi,,5209480,153719,accepted,279399,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Bothrocara
Lycodes pectoralis,Lycodes pectoralis,Lycodes pectoralis,Lycodes pectoralis,Lycodes pectoralis,,5209384,1419732,accepted,274118,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Bothrocara zestum,Bothrocara zestum,Bothrocara zestum,Bothrocara zestum,Bothrocara zestum,western eelpout,8890521,1049576,accepted,1566163,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Bothrocara
Lycodes polaris,Lycodes polaris,Lycodes polaris,Lycodes polaris,Lycodes polaris,Canadian eelpout,5209460,8197,accepted,127111,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes teraoi,Lycodes teraoi,Lycodes teraoi,Lycodes teraoi,Lycodes teraoi,,5209464,1419731,accepted,274125,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Ophthalmolycus amberensis,Ophthalmolycus amberensis,Ophthalmolycus amberensis,Ophthalmolycus amberensis,Ophthalmolycus amberensis,,2380973,948067,accepted,234617,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Ophthalmolycus
Lycodes sadoensis,Lycodes sadoensis,Lycodes sadoensis,Lycodes sadoensis,Lycodes sadoensis,,5209421,1358734,accepted,274119,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes japonicus,Lycodes japonicus,Lycodes japonicus,Lycodes japonicus,Lycodes japonicus,,5209403,1358733,accepted,274103,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycenchelys remissaria,Lycenchelys remissaria,Lycenchelys remissaria,Lycenchelys remissaria,Lycenchelys remissaria,,2380609,2768264,accepted,274083,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycenchelys
Lycodes lavalaei,Lycodes lavalaei,Lycodes lavalaei,Lycodes lavalaei,Lycodes lavalaei,Laval's eelpout,5209413,1266878,accepted,127107,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes brevipes,Lycodes brevipes,Lycodes brevipes,Lycodes brevipes,Lycodes brevipes,shortfin eelpout,5209357,433387,accepted,254595,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes reticulatus,Lycodes reticulatus,Lycodes reticulatus,Lycodes reticulatus,Lycodes reticulatus,Arctic eelpout,8406566,215418,accepted,127112,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes tanakae,Lycodes tanakae,Lycodes tanakae,Lycodes tanakae,Lycodes tanakae,,5209451,1358735,accepted,274124,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Bothrocarina microcephala,Bothrocarina microcephala,Bothrocarina microcephala,Bothrocarina microcephala,Bothrocarina microcephala,,2381021,390674,accepted,279948,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Bothrocarina
Lycodes fasciatus,Lycodes fasciatus,Lycodes fasciatus,Lycodes fasciatus,Lycodes fasciatus,,5209364,1696857,accepted,274098,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes sigmatoides,Lycodes sigmatoides,Lycodes sigmatoides,Lycodes sigmatoides,Lycodes sigmatoides,,5209441,1696858,accepted,274122,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes palearis,Lycodes palearis,Lycodes palearis,Lycodes palearis,Lycodes palearis,wattled eelpout,5209395,215425,accepted,254585,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes beringi,Lycodes beringi,Lycodes diapterus beringi,Lycodes diapterus beringi,Lycodes diapterus beringi,Bering eelpout,5209379,215428,synonym,398582,unaccepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodonus mirabilis,Lycodonus mirabilis,Lycodonus mirabilis,Lycodonus mirabilis,Lycodonus mirabilis,,2381118,2995749,accepted,159266,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodonus
Lycodes seminudus,Lycodes seminudus,Lycodes seminudus,Lycodes seminudus,Lycodes seminudus,longear eelpout,5209415,215416,accepted,127115,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
Lycodes sp. ADK-2014,NA,Lycodes sp. ADK-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes
